 	il	a	fait	bouillir	de	l'	eau	</S>
a23	0.39336	0.246017	0.118392	0.0780097	0.0616333	0.0430968	0.0304768	0.0290143
a13	0.395872	0.267969	0.115244	0.0920103	0.0534993	0.0295825	0.0230832	0.0227396
a53	0.249147	0.233229	0.175275	0.103658	0.0585843	0.044319	0.0526928	0.0830947
a20	0.304694	0.306433	0.197358	0.109924	0.0398958	0.020795	0.0126482	0.00825222
a73	0.239858	0.26222	0.217339	0.179628	0.0569329	0.022052	0.0132131	0.00875702
a37	0.234904	0.233925	0.215205	0.179498	0.0689581	0.0307656	0.0206657	0.0160781
a61	0.216946	0.231221	0.220067	0.18436	0.0646523	0.0319372	0.0269335	0.0238834
a71	0.158382	0.198451	0.238276	0.225228	0.0871758	0.0379242	0.0285561	0.0260074
a9	0.0945375	0.123955	0.189887	0.232347	0.137553	0.0907277	0.0668721	0.0641198
a38	0.0658705	0.0541176	0.0795622	0.10614	0.119073	0.158642	0.184277	0.232318
a25	0.0637901	0.0532768	0.0908116	0.128947	0.128207	0.134801	0.16849	0.231676
a44	0.0598028	0.0427242	0.0607845	0.0784463	0.111938	0.171798	0.216528	0.257978
a11	0.0329173	0.0186948	0.0266805	0.046247	0.0988455	0.183317	0.262362	0.330937
a75	0.0100041	0.00584842	0.00873894	0.018639	0.0500053	0.136973	0.312081	0.45771
a96	0.0118251	0.00694445	0.00854271	0.0126001	0.0259988	0.0988921	0.306149	0.529048
a18	0.00505095	0.00290857	0.00402046	0.00870097	0.023285	0.0898925	0.312674	0.553468
a53	0.00518352	0.00176888	0.00149961	0.00333414	0.0173234	0.0802397	0.267147	0.623504
a93	0.00120419	0.0006898	0.000952196	0.00234827	0.0103678	0.0581181	0.264976	0.661344
a13	0.00130386	0.000756595	0.00105377	0.00250676	0.0108812	0.0596689	0.268773	0.655056
a9	0.00617684	0.00215968	0.00184572	0.00390908	0.0204831	0.0848422	0.255043	0.62554
a87	0.0614898	0.0283042	0.0181447	0.01865	0.0384715	0.0807511	0.18639	0.567799
a23	0.318098	0.190753	0.116028	0.0659519	0.0609572	0.0654244	0.07603	0.106758
a87	0.138767	0.0899904	0.0620602	0.0461393	0.0771162	0.149933	0.222734	0.213261
a23	0.0136194	0.00908691	0.0102822	0.0135381	0.0479635	0.167453	0.342165	0.395892
a87	0.0263974	0.0164929	0.0155765	0.0161053	0.0535009	0.175093	0.329233	0.3676
</S>	0.0162824	0.013817	0.0146096	0.0186367	0.0638845	0.178451	0.324114	0.370205
