 	avant	de	sortir	cette	femme	a	l'	habitude	de	se	regarder	dans	le	miroir	</S>
a57	0.151953	0.106204	0.0528012	0.0705766	0.0730613	0.0726627	0.0952563	0.100899	0.0848003	0.0669835	0.0677939	0.0244979	0.0148498	0.00993473	0.00772599
a10	0.21298	0.138722	0.0631821	0.0499077	0.0440842	0.0464193	0.0655693	0.0676775	0.0648609	0.0760076	0.0564946	0.0480673	0.0326026	0.0195365	0.0138882
a87	0.111518	0.0881837	0.082666	0.0720339	0.0696447	0.0647647	0.0861044	0.0918107	0.0873192	0.0837106	0.0557147	0.0343316	0.0264298	0.0270675	0.0187007
a23	0.150712	0.111652	0.0852839	0.0652469	0.0596293	0.0545513	0.0830817	0.0839897	0.0788725	0.0770425	0.0608787	0.0359564	0.0231191	0.0169109	0.0130735
a53	0.1008	0.0802884	0.0961516	0.0884984	0.0871817	0.0730141	0.0958398	0.0865697	0.0788669	0.0676919	0.0521257	0.0371445	0.0204158	0.0175799	0.0178316
a4	0.232671	0.186611	0.105198	0.0660643	0.0624682	0.0478696	0.0622588	0.058398	0.0476898	0.0377593	0.0281055	0.0256803	0.0143109	0.0141443	0.010771
a93	0.0953925	0.142196	0.240841	0.112243	0.0886808	0.0586976	0.0585789	0.0592051	0.0433082	0.0283785	0.024925	0.0196065	0.0100423	0.00946243	0.0084428
a56	0.0795326	0.127373	0.236393	0.119901	0.0951469	0.0672761	0.0575305	0.0570823	0.0443065	0.031104	0.0242917	0.0220728	0.0143487	0.0126174	0.0110234
a75	0.0710373	0.115411	0.223459	0.12446	0.0990417	0.076433	0.0609887	0.0593105	0.0475541	0.0324693	0.0251983	0.0224744	0.0151801	0.0140165	0.012967
a56	0.0485909	0.0899338	0.158242	0.111474	0.0952097	0.086857	0.0739709	0.0743588	0.0633076	0.0469212	0.0454434	0.0336528	0.0223051	0.0251198	0.0246132
a12	0.0669062	0.11231	0.185625	0.121766	0.0975691	0.0808649	0.0671336	0.0674289	0.0560519	0.0394202	0.0308595	0.0205072	0.0158692	0.0183979	0.0192904
a47	0.0518416	0.0780458	0.128443	0.115353	0.104178	0.0936462	0.0835322	0.0859845	0.0771658	0.060268	0.0431597	0.0222852	0.0172357	0.0183863	0.0204749
a96	0.0263005	0.0353562	0.0696583	0.103631	0.108254	0.106792	0.100681	0.104656	0.0943595	0.0880011	0.0684862	0.0288366	0.0246901	0.0213931	0.0189041
a88	0.0160544	0.0206782	0.0456791	0.0959915	0.115974	0.117863	0.110057	0.116812	0.106719	0.0949172	0.0683007	0.0256809	0.0200872	0.0215846	0.0236016
a43	0.0131117	0.0165078	0.0341306	0.0740578	0.103289	0.115578	0.113257	0.12339	0.118631	0.110185	0.0814381	0.0284174	0.0202316	0.0216419	0.0261336
a90	0.0124405	0.0140333	0.0199973	0.0495083	0.0810243	0.10576	0.116742	0.13621	0.145391	0.129024	0.0929602	0.0310807	0.018538	0.0194961	0.0277934
a98	0.00709187	0.00886817	0.0166075	0.0560682	0.0705452	0.0882441	0.079475	0.0896043	0.0912369	0.0963955	0.119523	0.0662484	0.0664094	0.0674437	0.0762382
