 	appuie-toi	sur	le	mur	de	la	case	</S>
a85	0.658457	0.134088	0.0861659	0.0384858	0.0263357	0.0228717	0.0176763	0.0159193
a87	0.494963	0.0909791	0.0924741	0.0915871	0.0791253	0.0607261	0.0467069	0.0434387
a23	0.26491	0.113506	0.121557	0.0872446	0.092104	0.0950487	0.103985	0.121646
a38	0.461388	0.163347	0.172578	0.0552529	0.0270819	0.0248616	0.0374416	0.0580487
a24	0.45919	0.350078	0.132494	0.0218509	0.00964021	0.007785	0.0088333	0.0101299
a41	0.292114	0.401191	0.205976	0.0504159	0.020373	0.0117208	0.00896751	0.00924119
a18	0.281693	0.28963	0.21055	0.097992	0.0400665	0.026761	0.0248459	0.0284614
a75	0.230118	0.219433	0.176346	0.114736	0.0737644	0.0609751	0.0583184	0.0663098
a56	0.223106	0.203102	0.188227	0.154024	0.0779601	0.0560152	0.0483486	0.0492169
a96	0.193733	0.175676	0.173748	0.157606	0.103411	0.0774346	0.0605032	0.057888
a75	0.113456	0.116577	0.102619	0.129711	0.137131	0.143718	0.13112	0.125668
a41	0.0527879	0.0536654	0.0537636	0.130949	0.208502	0.211461	0.157705	0.131166
a66	0.0358007	0.0284615	0.0292517	0.083281	0.188282	0.241723	0.204941	0.18826
a38	0.0233575	0.0154605	0.0141226	0.0250241	0.0962082	0.203862	0.294156	0.327808
a73	0.0248533	0.0103725	0.00868318	0.0139596	0.0730701	0.194518	0.309391	0.365152
a35	0.0151909	0.00591659	0.00576303	0.0118272	0.0653234	0.182544	0.315956	0.397479
a24	0.0171623	0.00516613	0.00401523	0.00673165	0.0312245	0.110081	0.31554	0.510078
a41	0.0075376	0.0021349	0.00157019	0.00482355	0.0342278	0.125858	0.322079	0.501769
a12	0.0142177	0.00452162	0.00341281	0.0109078	0.0526832	0.14792	0.319602	0.446734
a31	0.00894629	0.00387985	0.00296971	0.00645931	0.0313621	0.101286	0.284955	0.560142
a88	0.0117926	0.00606195	0.00460271	0.00708399	0.0276665	0.0919601	0.27742	0.573412
a71	0.0197112	0.00737645	0.0048951	0.0061865	0.0261479	0.0826756	0.275845	0.577163
a25	0.0179379	0.00444183	0.00356745	0.00535077	0.026499	0.091093	0.279487	0.571623
a87	0.0198713	0.00660105	0.00663478	0.00862362	0.0271735	0.0886747	0.276361	0.56606
</S>	0.0146138	0.0078682	0.00839278	0.0118822	0.0374656	0.121503	0.2836	0.514674
