 	goûte	cette	soupe	s'	il	te	plait	</S>
a15	0.533707	0.179911	0.0649332	0.0386743	0.0398966	0.0604468	0.0504168	0.0320143
a66	0.424965	0.16224	0.0870448	0.0796446	0.0758935	0.0772514	0.0572913	0.0356698
a87	0.564378	0.182124	0.0722993	0.0447234	0.0363698	0.0337078	0.0358474	0.0305502
a23	0.563343	0.252911	0.0799846	0.0265953	0.0217898	0.0210369	0.0198371	0.0145032
a94	0.28158	0.183944	0.167945	0.0731251	0.0751138	0.0882673	0.0680371	0.0619874
a21	0.389648	0.163588	0.0899794	0.036536	0.0487735	0.0972476	0.0785656	0.0956621
a5	0.268285	0.234369	0.170861	0.082763	0.0702522	0.0791511	0.0499477	0.0443716
a43	0.18029	0.196178	0.23283	0.135005	0.0845527	0.0838066	0.0471747	0.0401639
a94	0.0995871	0.198132	0.226818	0.180078	0.102978	0.0766285	0.0605878	0.0551898
a11	0.0612495	0.145153	0.158649	0.176983	0.133894	0.11835	0.106058	0.099664
a75	0.0241697	0.0559325	0.0548372	0.111838	0.148014	0.182732	0.198204	0.224273
a79	0.0159478	0.030501	0.0188787	0.0630506	0.166976	0.248037	0.247606	0.209002
a21	0.00569991	0.0119178	0.00774375	0.0337426	0.112293	0.210115	0.285622	0.332867
a12	0.00513676	0.00621667	0.00350804	0.0152233	0.0602656	0.166508	0.301144	0.441997
a31	0.00259221	0.00285375	0.0015049	0.00672026	0.0318497	0.0983088	0.263114	0.593056
a88	0.00229746	0.00246433	0.00146962	0.0076278	0.0320178	0.0912807	0.252991	0.609851
a38	0.00308821	0.00313215	0.00257674	0.00958423	0.0388419	0.119733	0.259689	0.563355
a25	0.00439837	0.00381851	0.0045436	0.0170691	0.0730785	0.14724	0.249047	0.500805
a87	0.140247	0.0806739	0.033208	0.0521226	0.102341	0.118681	0.172451	0.300275
a23	0.445686	0.298978	0.0679706	0.0351679	0.03631	0.0349092	0.0375526	0.0434257
a87	0.154405	0.100958	0.0324325	0.034395	0.0568188	0.116459	0.195641	0.308891
</S>	0.0246787	0.013987	0.00488378	0.00882867	0.0248089	0.104685	0.277352	0.540776
