 	le	coup	de	poing	lui	a	donné	une	enflure	à	la	face	</S>
a66	0.111786	0.0773014	0.0627738	0.0468779	0.058505	0.0889607	0.120077	0.151357	0.147506	0.0773978	0.0340468	0.0149753	0.00843625
a10	0.408265	0.20884	0.0981331	0.066064	0.0297409	0.0274322	0.0241022	0.0321862	0.0356106	0.0271327	0.0174912	0.012461	0.0125414
a87	0.229627	0.160889	0.100313	0.101632	0.0749142	0.072318	0.0687194	0.0678162	0.0597656	0.0302826	0.0176768	0.00802035	0.00802671
a23	0.152308	0.157864	0.110837	0.121439	0.0917134	0.0801423	0.0831612	0.0754661	0.067515	0.0287049	0.0186484	0.00716368	0.0050359
a79	0.151273	0.148351	0.087629	0.127007	0.0847969	0.0854086	0.0955949	0.0780071	0.0553529	0.032135	0.0318185	0.0124046	0.0102219
a90	0.196259	0.149804	0.11869	0.140371	0.0685357	0.0705755	0.0654601	0.0548951	0.07665	0.0262643	0.0192791	0.00715296	0.00606309
a69	0.140374	0.146321	0.14212	0.164749	0.11345	0.0919936	0.0640819	0.040813	0.0621198	0.0146794	0.00975517	0.00567919	0.00386403
a90	0.0773697	0.101109	0.124573	0.16961	0.147672	0.118713	0.0767453	0.0454819	0.0606218	0.0248631	0.0195461	0.0182125	0.0154826
a25	0.066623	0.0835916	0.109736	0.165282	0.152053	0.125327	0.0802602	0.051923	0.0628982	0.030402	0.0249484	0.0260408	0.0209156
a75	0.056353	0.0753918	0.102028	0.130146	0.159179	0.128185	0.0872282	0.0655994	0.0578899	0.0391835	0.0308918	0.0332683	0.0346561
a56	0.0535811	0.0514063	0.0744599	0.113399	0.147009	0.128971	0.0971567	0.0823184	0.0824007	0.0543405	0.0404946	0.0350172	0.0394453
a90	0.0503953	0.0469186	0.0630573	0.0897076	0.145724	0.135371	0.115747	0.10363	0.100371	0.056707	0.0341999	0.0263905	0.0317806
a56	0.0224391	0.0172992	0.0233125	0.0372395	0.118075	0.143945	0.145646	0.137357	0.13394	0.0885611	0.0574543	0.0346387	0.0400934
a93	0.0197719	0.0134657	0.0167293	0.024547	0.0885005	0.126697	0.153827	0.159385	0.155925	0.100268	0.0620648	0.0358932	0.0429268
a12	0.0141991	0.0102895	0.012479	0.0180541	0.0623289	0.106367	0.143379	0.162551	0.171182	0.118967	0.076693	0.0454613	0.0580477
a93	0.00785931	0.00612234	0.0072834	0.0104415	0.0313081	0.0635417	0.117338	0.166747	0.189859	0.145408	0.101371	0.0659398	0.0867804
a56	0.0100548	0.00750634	0.00826546	0.0110296	0.0299996	0.0608307	0.108347	0.150462	0.173991	0.15089	0.121974	0.0749748	0.091676
a96	0.00396858	0.002894	0.00366516	0.00476389	0.0127028	0.0289101	0.0660224	0.124703	0.169064	0.187873	0.156152	0.10548	0.133802
a93	0.00388748	0.00284799	0.00331849	0.00417382	0.00968766	0.0184362	0.0404583	0.0867907	0.124836	0.18491	0.177902	0.135697	0.207054
a56	0.00320104	0.00212117	0.00256282	0.00323619	0.00714689	0.0147856	0.0319713	0.0701976	0.127716	0.200996	0.212723	0.153175	0.170168
a47	0.00354018	0.00236476	0.00279951	0.00293636	0.00549981	0.0108615	0.0240233	0.0524356	0.0784522	0.173745	0.218996	0.202635	0.22171
a61	0.00118607	0.000733499	0.000854287	0.00115887	0.00310098	0.0065584	0.0165512	0.0433726	0.0759854	0.146029	0.18491	0.193611	0.325948
a47	0.00128913	0.000978398	0.00107879	0.00115254	0.00285459	0.00495093	0.0106536	0.0248548	0.030301	0.0999084	0.143116	0.239686	0.439175
a96	0.00110696	0.000772031	0.000988334	0.00144365	0.00371222	0.00649548	0.0134587	0.0301701	0.0550143	0.10511	0.130408	0.224165	0.427155
a88	0.000488129	0.000319005	0.000387477	0.00052627	0.00140243	0.00261937	0.00577761	0.0146198	0.02782	0.0730458	0.107294	0.249372	0.516328
a71	0.000630557	0.000338365	0.000359619	0.000385089	0.000930201	0.00223164	0.00465173	0.0128877	0.0288471	0.0716608	0.0909345	0.213376	0.572767
a9	0.00545442	0.00345042	0.00343492	0.00366344	0.00503659	0.0104548	0.0205367	0.0519738	0.0921717	0.131712	0.129907	0.170179	0.372025
a99	0.0286875	0.0187834	0.0181289	0.0168389	0.0205037	0.031155	0.0377362	0.0759304	0.101997	0.156392	0.145049	0.139936	0.208862
a87	0.045072	0.0286321	0.0218058	0.0150942	0.014076	0.0185168	0.0210606	0.0354424	0.0415474	0.0822448	0.0978709	0.166079	0.412558
a97	0.125703	0.0879471	0.0628561	0.04248	0.031504	0.0387493	0.0386782	0.0621922	0.0431831	0.0755917	0.0946485	0.109518	0.186949
a87	0.0936187	0.0696958	0.0515615	0.0398203	0.0301614	0.0330417	0.0338206	0.0717925	0.0545073	0.101247	0.116061	0.108704	0.195969
a23	0.0984265	0.0728082	0.0513025	0.0486741	0.0433155	0.0470402	0.0458031	0.0796783	0.0665269	0.0826258	0.0953035	0.101052	0.167444
a99	0.0297671	0.0233159	0.0180356	0.0244923	0.0298778	0.0401158	0.0361792	0.050467	0.0328622	0.0675275	0.116352	0.198844	0.332164
a97	0.0239463	0.0207465	0.0175215	0.0240909	0.0356474	0.0392301	0.029341	0.0323651	0.0245523	0.0470326	0.087744	0.200761	0.417021
</S>	0.036773	0.0309788	0.0266797	0.0355839	0.060042	0.0548683	0.0390779	0.038329	0.0350931	0.0407165	0.0600405	0.133998	0.407819
