 	retire	l'	aiguillon	de	l'	abeille	qui	est	enfoncé	dans	mon	bras	</S>
a23	0.0777767	0.0951859	0.103972	0.142908	0.145822	0.131235	0.106934	0.0687831	0.0501387	0.0298116	0.0184942	0.0149283	0.0140099
a87	0.099217	0.14344	0.118093	0.108906	0.104351	0.104383	0.0676671	0.0462966	0.0417347	0.0374293	0.0391381	0.0423047	0.0470394
a10	0.0866356	0.15012	0.144445	0.131	0.113276	0.0953148	0.0578943	0.0389401	0.0306824	0.0288537	0.0353257	0.0400058	0.0475067
a87	0.0889812	0.15144	0.156941	0.153486	0.115029	0.0771382	0.0500694	0.039488	0.0312748	0.0301206	0.0327677	0.0342292	0.0390353
a99	0.149152	0.179695	0.15169	0.121431	0.0931134	0.0647782	0.0414086	0.0353869	0.0297231	0.0293221	0.0323408	0.0345665	0.0373915
a57	0.161216	0.214847	0.169352	0.133012	0.0889768	0.0491393	0.0403438	0.0350072	0.0243689	0.0221931	0.0209216	0.0197635	0.0208577
a62	0.10655	0.155547	0.189537	0.193736	0.116094	0.0563956	0.044786	0.0390789	0.0232277	0.018959	0.0183323	0.017598	0.0201582
a26	0.302766	0.267113	0.154245	0.100869	0.0689931	0.0365359	0.0248322	0.0156361	0.00930991	0.00612414	0.00489007	0.0041773	0.00450777
a35	0.203002	0.22897	0.165437	0.127608	0.0950672	0.0568167	0.0415397	0.0283261	0.0178696	0.0114733	0.00879799	0.00745365	0.00763849
a75	0.141445	0.188236	0.162661	0.135567	0.11271	0.078923	0.0558102	0.0374387	0.0266749	0.018495	0.0151876	0.0138093	0.0130426
a35	0.167231	0.1609	0.132949	0.123983	0.110457	0.0890584	0.0664042	0.0455573	0.0342255	0.0225277	0.0168721	0.0151578	0.0146763
a30	0.153867	0.16197	0.146285	0.124706	0.11253	0.0907237	0.0679654	0.0476127	0.0348496	0.0208946	0.0145625	0.0124686	0.0115649
a2	0.129458	0.149206	0.156593	0.130842	0.122406	0.0972499	0.0747177	0.0503006	0.0353845	0.0194316	0.0129512	0.0111555	0.0103045
a57	0.0292866	0.0586134	0.112925	0.164339	0.162993	0.14972	0.1109	0.0670569	0.0485118	0.0283707	0.0229348	0.0211219	0.0232274
a53	0.0342882	0.0601009	0.122973	0.166167	0.160922	0.141346	0.0985199	0.0630164	0.0420447	0.0250397	0.0247485	0.0264694	0.0343635
a90	0.0869836	0.122433	0.149986	0.153948	0.138377	0.114798	0.085152	0.053116	0.0380441	0.0200548	0.0129451	0.0118812	0.0122821
a9	0.062743	0.091122	0.114349	0.15366	0.139639	0.128361	0.11174	0.0752117	0.0550399	0.0292059	0.0156427	0.0118674	0.0114193
a38	0.0181077	0.0416506	0.0926	0.144552	0.145549	0.152273	0.125854	0.09579	0.0780297	0.0430532	0.0244953	0.018606	0.0194388
a75	0.010538	0.0266096	0.0830243	0.149876	0.152091	0.157708	0.126684	0.0971913	0.0758578	0.0424131	0.0274238	0.0235928	0.0269891
a76	0.0301312	0.0557298	0.0855822	0.135175	0.131654	0.138362	0.114141	0.0853107	0.0713891	0.0478436	0.0352554	0.0335429	0.0358839
a94	0.0407733	0.0655906	0.0773002	0.102354	0.103718	0.115384	0.0937201	0.077342	0.0714677	0.058413	0.0560177	0.0650106	0.0729088
a76	0.0159946	0.0302506	0.0509993	0.0998257	0.108816	0.137544	0.129254	0.114076	0.103629	0.0738591	0.0512541	0.0416614	0.0428357
a94	0.0266448	0.0476133	0.0640769	0.0849708	0.0925529	0.107929	0.0935267	0.0845243	0.0856406	0.0762179	0.0728174	0.078673	0.0848119
a35	0.00889941	0.0223931	0.0422721	0.0812554	0.0932205	0.127744	0.115499	0.105748	0.106969	0.0880062	0.0724875	0.0644542	0.0710511
