 	le	puiné	de	notre	famille	est	à	brazaville	</S>
a66	0.389534	0.259711	0.0888063	0.061351	0.0608206	0.0651913	0.0387139	0.0207229	0.0151483
a87	0.412414	0.265883	0.103121	0.0598226	0.0425525	0.0388347	0.027452	0.0266412	0.0232798
a23	0.459921	0.334607	0.0933517	0.0320759	0.014877	0.0114914	0.0108301	0.0173156	0.0255307
a79	0.43603	0.276937	0.0913532	0.0355872	0.0174335	0.019101	0.0291061	0.0367717	0.05768
a57	0.521019	0.225831	0.103403	0.0460268	0.0257665	0.018152	0.0186603	0.0168454	0.0242951
a82	0.22099	0.157026	0.1684	0.150117	0.0936866	0.0620429	0.0556414	0.0407763	0.05132
a38	0.191426	0.137637	0.132875	0.149872	0.108444	0.0688836	0.0689401	0.0606747	0.0812462
a12	0.16564	0.130338	0.146457	0.162866	0.103477	0.0733235	0.081038	0.062155	0.0747055
a21	0.0678547	0.121834	0.307824	0.296376	0.122857	0.0384811	0.0197895	0.0122635	0.0127202
a5	0.0526037	0.0980434	0.260226	0.302938	0.16195	0.0571592	0.0285906	0.0192928	0.0191952
a36	0.0441841	0.0664734	0.18387	0.289515	0.200842	0.0929389	0.0519312	0.0358915	0.034353
a5	0.0503953	0.0478421	0.103078	0.230118	0.247007	0.115416	0.0665677	0.066944	0.0726319
a43	0.0541152	0.0521451	0.0994556	0.217448	0.238559	0.138613	0.0775311	0.0617909	0.0603415
a75	0.0409014	0.0403359	0.0654752	0.133843	0.215566	0.193974	0.112828	0.0961928	0.100883
a47	0.0152483	0.0156946	0.0346209	0.0972151	0.184056	0.215616	0.176313	0.138613	0.122623
a36	0.0108619	0.00933681	0.0161214	0.0563167	0.150914	0.228773	0.175027	0.156385	0.196264
a44	0.0150319	0.0105258	0.0109948	0.0216217	0.053116	0.130824	0.204651	0.245266	0.307968
a90	0.0172827	0.0119356	0.0108305	0.0182022	0.0427117	0.115429	0.202565	0.25428	0.326763
a15	0.00487781	0.00352287	0.00338572	0.00699684	0.0248648	0.098279	0.231087	0.286515	0.340471
a69	0.00116454	0.000801537	0.000946166	0.00230655	0.00908603	0.0398425	0.14639	0.309316	0.490147
a44	0.00205558	0.0013868	0.00108904	0.00188583	0.00664505	0.0315345	0.120803	0.312738	0.521862
a94	0.00228959	0.00151621	0.0010549	0.00178068	0.0059418	0.0245354	0.0960206	0.302484	0.564377
a18	0.00098131	0.000578325	0.000424515	0.000861161	0.00335814	0.0136877	0.0650468	0.262502	0.652561
a25	0.0062258	0.00380054	0.00224583	0.00370198	0.0112515	0.0363527	0.0942067	0.273632	0.568583
a87	0.042178	0.0242334	0.0154954	0.0187315	0.0329701	0.0541284	0.091163	0.21547	0.50563
a23	0.367219	0.253296	0.057136	0.028448	0.0243224	0.0298264	0.0390871	0.0777111	0.122954
a87	0.250592	0.167872	0.0544256	0.0322295	0.0350885	0.0423039	0.0639905	0.125703	0.227796
</S>	0.0651128	0.0497096	0.0189529	0.0181496	0.0241403	0.0367107	0.0919602	0.243581	0.451683
