 	j'	aime	manger	la	peau	du	silure	électrique	</S>
a66	0.288463	0.158112	0.111878	0.104537	0.121283	0.100197	0.0600554	0.0287045	0.0267699
a87	0.262014	0.144397	0.148016	0.132325	0.12196	0.0848608	0.0585172	0.0297782	0.0181323
a23	0.565487	0.246543	0.0870373	0.0376732	0.0191628	0.00974804	0.00915797	0.0137492	0.0114412
a18	0.5169	0.269226	0.0954826	0.0399167	0.0168055	0.0102433	0.0130815	0.0197977	0.0185461
a50	0.394972	0.237773	0.124337	0.0713139	0.0381757	0.0268103	0.0320144	0.0387291	0.0358748
a62	0.388106	0.248693	0.134814	0.0806767	0.0506243	0.0323529	0.0280137	0.023187	0.0135329
a88	0.302262	0.249124	0.169821	0.115067	0.0763085	0.0365665	0.0224135	0.0163762	0.0120612
a62	0.242608	0.229387	0.189836	0.132546	0.0846672	0.0458654	0.0289817	0.0255159	0.0205923
a75	0.200805	0.207878	0.208313	0.166906	0.105546	0.044271	0.024149	0.0217476	0.0203852
a85	0.127785	0.153873	0.196711	0.18618	0.166425	0.0662985	0.0369757	0.0324838	0.0332688
a6	0.0906559	0.0995312	0.133996	0.161481	0.194519	0.108311	0.0579104	0.0710903	0.082505
a36	0.121756	0.139161	0.179765	0.200075	0.180454	0.0695327	0.0322223	0.0329484	0.0440859
a44	0.0535049	0.0796819	0.14383	0.232538	0.266869	0.101369	0.0458961	0.035983	0.0403292
a43	0.0573703	0.0822108	0.136379	0.216723	0.249981	0.120214	0.0543473	0.0376261	0.0451493
a75	0.0352331	0.0455033	0.0725881	0.137365	0.229154	0.167244	0.103289	0.092283	0.117339
a56	0.00850107	0.0119235	0.0214972	0.0461279	0.128864	0.2078	0.184284	0.169258	0.221744
a21	0.02407	0.0327633	0.0506369	0.0848203	0.141754	0.184792	0.162861	0.151034	0.167268
a5	0.0108836	0.0124418	0.0163825	0.0265405	0.055419	0.11732	0.177506	0.269536	0.31397
a75	0.00732093	0.00860897	0.0119383	0.0212056	0.0413141	0.0934079	0.172053	0.268235	0.375916
a85	0.00131773	0.00148065	0.00221958	0.00467338	0.0140037	0.0517094	0.139706	0.281029	0.503861
a5	0.000709927	0.000760679	0.000939558	0.00162906	0.00500298	0.0227611	0.0816951	0.257977	0.628524
a61	0.00120412	0.00114534	0.00139401	0.00236311	0.00552602	0.0248084	0.0906573	0.212411	0.660491
a37	0.00132146	0.00100633	0.00103815	0.00149186	0.00314299	0.0130439	0.0577408	0.241479	0.679735
a6	0.00203967	0.00151265	0.00158461	0.00224834	0.00545932	0.0261917	0.0877789	0.22163	0.651555
a36	0.000488901	0.000364367	0.00043162	0.000660152	0.00182822	0.0134984	0.0731552	0.294856	0.614717
a26	0.00739768	0.00522131	0.00524282	0.00690135	0.0163806	0.0677901	0.133027	0.268084	0.489954
a57	0.121628	0.0731152	0.0720968	0.0813645	0.107874	0.115285	0.113997	0.126689	0.18795
a87	0.373267	0.160352	0.103201	0.0764552	0.0657214	0.0537111	0.0518795	0.0534497	0.0619631
a23	0.359896	0.186063	0.123622	0.0857492	0.0755593	0.0503656	0.0467345	0.0359551	0.0360557
a10	0.128967	0.0705975	0.0558699	0.0384544	0.0351621	0.054523	0.107065	0.180235	0.329126
a87	0.0305017	0.0146853	0.0131979	0.0134456	0.020896	0.0433394	0.0853463	0.241875	0.536713
</S>	0.0217789	0.0105396	0.0076855	0.00686717	0.0112076	0.0266261	0.0603917	0.285371	0.569532
