 	de	petits	enfants	acclamaient	le	grand	vol	de	termites	dans	la	cour	</S>
a87	0.0567976	0.039313	0.0780003	0.101957	0.15694	0.170494	0.16616	0.150298	0.0477198	0.0128912	0.00808389	0.00629697	0.00504878
a23	0.120655	0.0577786	0.105666	0.0559218	0.0941506	0.110348	0.0973274	0.107118	0.066104	0.0355182	0.0432652	0.0495497	0.0565978
a54	0.165631	0.10741	0.114061	0.0604809	0.0807744	0.0729862	0.0596987	0.0621657	0.0524311	0.0380567	0.0423393	0.056877	0.0870881
a37	0.245761	0.121849	0.0612133	0.0495224	0.0724886	0.0532907	0.0752998	0.0824709	0.0542707	0.0431486	0.0454831	0.0428401	0.0523613
a6	0.2596	0.159332	0.091575	0.09752	0.11794	0.0734738	0.0546595	0.0394718	0.0178147	0.0149082	0.0177756	0.0223941	0.033535
a44	0.1817	0.112862	0.0847037	0.0998438	0.126776	0.0962185	0.085235	0.0635652	0.0316863	0.0226955	0.0237594	0.0297526	0.0412019
a54	0.168897	0.113744	0.0982727	0.122418	0.14523	0.100822	0.0729508	0.0516899	0.0284343	0.022331	0.0230388	0.0247733	0.0273986
a47	0.117228	0.0906205	0.0811861	0.106687	0.127792	0.11204	0.0979478	0.070517	0.0385669	0.0302861	0.0345651	0.0422601	0.0503027
a6	0.129632	0.114969	0.104515	0.141926	0.145673	0.11187	0.0725704	0.0508616	0.0260719	0.0208423	0.0232298	0.0272165	0.0306223
a37	0.136637	0.140348	0.135095	0.15689	0.143662	0.0981196	0.0715396	0.0473356	0.0203381	0.011766	0.0112878	0.0124705	0.0145107
a66	0.115224	0.129328	0.132424	0.170428	0.156308	0.109833	0.0755834	0.0464339	0.0187234	0.0111761	0.0104317	0.0112964	0.0128103
a61	0.0834112	0.125318	0.140654	0.196329	0.153644	0.106698	0.0663688	0.0396088	0.0191636	0.0139029	0.0146174	0.0179535	0.0223324
a62	0.0779973	0.117504	0.134274	0.202455	0.158737	0.126025	0.0738735	0.0400888	0.0157219	0.0116508	0.0115869	0.0136212	0.0164646
a83	0.0609397	0.0957236	0.135496	0.167944	0.13699	0.147243	0.10114	0.0599243	0.0227212	0.016615	0.0161223	0.017881	0.0212591
a0	0.0546613	0.0930697	0.148341	0.142024	0.119204	0.135608	0.108954	0.0681353	0.0265838	0.0214147	0.0218681	0.026941	0.033195
