 	il	y	a	beaucoup	de	brouillard	aujourd'	hui	</S>
a23	0.236855	0.135721	0.115504	0.10542	0.113339	0.140996	0.0782305	0.0439746	0.0299585
a87	0.252375	0.220515	0.140601	0.131571	0.102668	0.0874172	0.0304966	0.0181789	0.0161769
a23	0.154674	0.16599	0.124587	0.130834	0.117853	0.120552	0.0582743	0.0515143	0.0757216
a87	0.19193	0.220668	0.193521	0.16247	0.103979	0.0586454	0.0229839	0.0198633	0.0259379
a23	0.15379	0.165534	0.166147	0.175287	0.145513	0.0869962	0.0365482	0.0317292	0.038454
a83	0.176592	0.171259	0.168877	0.173831	0.141997	0.0721008	0.030465	0.0293969	0.035482
a24	0.268614	0.225381	0.228012	0.144841	0.0833226	0.0245764	0.00921658	0.00789909	0.00813713
a41	0.191629	0.200771	0.245088	0.187542	0.122549	0.0308209	0.00854269	0.00672005	0.00633613
a18	0.130163	0.137318	0.186018	0.203983	0.184273	0.0854658	0.0315611	0.0223628	0.0188541
a94	0.121684	0.131303	0.158333	0.183942	0.178633	0.111586	0.049768	0.0348038	0.0299479
a26	0.127679	0.125731	0.142919	0.174628	0.171159	0.115012	0.0605325	0.044236	0.0381035
a24	0.114712	0.103871	0.109958	0.148425	0.165933	0.138529	0.0899929	0.0670186	0.0615609
a71	0.115189	0.120015	0.122053	0.155074	0.162156	0.131242	0.0819518	0.0573501	0.0549696
a26	0.0862209	0.092728	0.0889342	0.127531	0.156569	0.148313	0.119286	0.0909821	0.0894358
a24	0.0740493	0.080584	0.0818052	0.123335	0.158458	0.148413	0.131148	0.101659	0.100549
a26	0.0753352	0.0815475	0.0837032	0.129834	0.160649	0.143069	0.124952	0.1004	0.10051
a24	0.0587434	0.0600861	0.0600151	0.100106	0.135607	0.142168	0.150484	0.142026	0.150765
a25	0.0515113	0.0594417	0.0641391	0.0966579	0.126122	0.14338	0.140789	0.146944	0.171015
a38	0.046652	0.0405883	0.0379882	0.0568319	0.0789693	0.111536	0.157016	0.20146	0.268958
a14	0.0309808	0.0274848	0.0256253	0.038842	0.0577922	0.0908672	0.152322	0.234335	0.341751
a73	0.033107	0.0287878	0.0251865	0.0358831	0.0545022	0.0925587	0.16654	0.240182	0.323252
a20	0.0207059	0.017071	0.0123239	0.0157409	0.0218616	0.0506631	0.134815	0.274909	0.45191
a84	0.0293543	0.0223421	0.0136271	0.0150815	0.0194164	0.0343087	0.12143	0.270125	0.474315
a57	0.0140688	0.0137311	0.00803497	0.00954199	0.012709	0.0274589	0.084583	0.240563	0.589309
a87	0.0382421	0.0336045	0.0177936	0.0157499	0.0168961	0.0372229	0.106654	0.233366	0.500471
</S>	0.0357982	0.0263416	0.0216469	0.0263322	0.0401869	0.0972465	0.15901	0.246039	0.347399
