 	l'	avocat	est	devenu	mou	</S>
a66	0.431194	0.229996	0.145159	0.11182	0.0554524	0.0263784
a87	0.455028	0.2551	0.149277	0.0908029	0.0314004	0.0183923
a23	0.507242	0.293421	0.142201	0.0347619	0.0111956	0.0111775
a10	0.530514	0.290403	0.118807	0.0299471	0.010896	0.0194324
a54	0.494598	0.239154	0.109569	0.0452046	0.040082	0.0713917
a44	0.278721	0.299472	0.23997	0.108184	0.0471765	0.0264764
a4	0.262727	0.353073	0.240546	0.0859804	0.0362909	0.0213831
a57	0.254478	0.312387	0.232835	0.104707	0.0612508	0.0343417
a54	0.139327	0.239496	0.234045	0.15011	0.138633	0.0983894
a47	0.0773246	0.143725	0.186892	0.193156	0.216311	0.182591
a36	0.0689105	0.11083	0.138851	0.14347	0.237586	0.300351
a40	0.062527	0.0584766	0.0740447	0.117669	0.255749	0.431534
a37	0.0536336	0.0449016	0.0602429	0.145951	0.325158	0.370113
a11	0.0342429	0.0247138	0.0286966	0.10187	0.276726	0.533751
a90	0.011312	0.00905679	0.0104839	0.0471256	0.235281	0.686741
a69	0.00671807	0.00604893	0.00761512	0.0353908	0.223474	0.720753
a58	0.000682912	0.000730595	0.001191	0.0116953	0.145246	0.840454
a53	0.000674054	0.000497232	0.00076497	0.00857634	0.060735	0.928752
a4	0.00168743	0.0016703	0.00300168	0.0236825	0.0984169	0.871541
a57	0.00212572	0.00192085	0.00318271	0.0302517	0.138821	0.823698
a3	0.00315545	0.00249047	0.00480762	0.0381899	0.141018	0.810339
a87	0.293474	0.168886	0.136946	0.127253	0.0881231	0.185317
a23	0.392368	0.209827	0.144543	0.106606	0.0621034	0.0845528
a87	0.220178	0.119017	0.0977738	0.104556	0.145794	0.312681
a10	0.0186268	0.0135752	0.0135786	0.0399918	0.219784	0.694443
a87	0.0514533	0.0545705	0.0561181	0.0923871	0.213923	0.531548
</S>	0.0236441	0.0245545	0.0260958	0.0556446	0.202977	0.667084
