 	il	aiguise	son	couteau	</S>
a23	0.356074	0.296189	0.17371	0.103298	0.0707302
a30	0.392254	0.24523	0.145226	0.117663	0.0996274
a53	0.330671	0.231868	0.142807	0.145872	0.148782
a20	0.471511	0.30164	0.122128	0.0638569	0.0408643
a14	0.447204	0.355848	0.125977	0.0465765	0.0243954
a35	0.484145	0.339894	0.113997	0.0397003	0.0222636
a14	0.472611	0.318475	0.12986	0.0495335	0.0295204
a43	0.511319	0.288529	0.113017	0.050992	0.0361427
a11	0.428446	0.31459	0.142178	0.0641225	0.0506638
a75	0.362049	0.313707	0.187801	0.0834692	0.0529741
a41	0.374562	0.285215	0.192643	0.0907947	0.0567851
a35	0.370557	0.270418	0.175597	0.107919	0.0755095
a54	0.215584	0.231189	0.225153	0.186231	0.141844
a14	0.127023	0.149377	0.193393	0.247368	0.282839
a41	0.0998605	0.163772	0.234629	0.256385	0.245353
a24	0.0453473	0.0815032	0.184691	0.330375	0.358083
a25	0.0292297	0.0536487	0.132854	0.329452	0.454816
a38	0.0166799	0.0379796	0.110018	0.309918	0.525405
a35	0.0112053	0.0273438	0.0981332	0.30729	0.556027
a14	0.0156449	0.0242956	0.0782829	0.291885	0.589892
a76	0.0113516	0.0152345	0.0537518	0.27122	0.648442
a73	0.0286956	0.0358993	0.0875686	0.291501	0.556336
a57	0.0175741	0.0256781	0.0714223	0.27784	0.607486
a87	0.0259724	0.0312463	0.0778687	0.262973	0.601939
</S>	0.0424667	0.0447363	0.104286	0.307445	0.501065
