 	le	voyageur	a	bourré	son	sac	de	manioc	</S>
a66	0.168552	0.203587	0.214399	0.219739	0.0962569	0.0491064	0.0225003	0.0140692	0.0117901
a87	0.323113	0.176791	0.146382	0.13793	0.0937968	0.0595505	0.0288376	0.0176836	0.0159158
a97	0.253091	0.255017	0.196734	0.140491	0.0658945	0.0384533	0.0199967	0.0142939	0.0160288
a3	0.279068	0.269997	0.229943	0.14778	0.0423832	0.0140014	0.00574628	0.00492784	0.00615376
a99	0.277084	0.255894	0.223637	0.151642	0.0454549	0.0177171	0.00928158	0.0087623	0.0105268
a97	0.297632	0.260655	0.216216	0.130661	0.041441	0.0178898	0.0116499	0.0112008	0.0126555
a87	0.264474	0.262423	0.23271	0.148432	0.0456138	0.017646	0.00963773	0.00907869	0.00998424
a23	0.256108	0.252595	0.227994	0.156	0.0524632	0.021683	0.0116052	0.0103203	0.0112312
a87	0.299975	0.234403	0.18619	0.155	0.0523403	0.025668	0.0156422	0.0141335	0.0166485
a30	0.299882	0.249915	0.2039	0.142058	0.0486456	0.0221019	0.0121658	0.010375	0.0109564
a4	0.336779	0.239447	0.17905	0.120174	0.0491374	0.0277534	0.0169918	0.0149037	0.0157643
a90	0.302843	0.178351	0.144118	0.146938	0.0747964	0.0528984	0.035609	0.0295929	0.0348527
a92	0.269556	0.162301	0.137225	0.108831	0.0800392	0.0857254	0.0570211	0.046793	0.0525084
a79	0.175866	0.150519	0.151204	0.130995	0.087411	0.0988424	0.0735875	0.0615731	0.0700026
a98	0.142935	0.151374	0.167341	0.145957	0.0908601	0.0987584	0.072845	0.0602694	0.06966
a5	0.0875506	0.0968696	0.111143	0.117264	0.135683	0.159266	0.108196	0.0865295	0.0974991
a12	0.142053	0.151048	0.170818	0.143648	0.0849401	0.0807665	0.0696912	0.0708715	0.086164
a96	0.145143	0.187758	0.213109	0.173189	0.0948513	0.0613969	0.0390106	0.0383881	0.0471536
a66	0.0995445	0.182521	0.215445	0.193238	0.112294	0.0650889	0.040746	0.0408657	0.0502564
a71	0.0445846	0.135008	0.166783	0.254041	0.15889	0.0901937	0.054955	0.0436703	0.0518753
a38	0.0413709	0.116106	0.147829	0.230415	0.156269	0.0985483	0.0741357	0.0653702	0.0699544
a21	0.0363649	0.120934	0.152724	0.252275	0.162369	0.0823901	0.0584445	0.0620814	0.0724173
a5	0.0196723	0.0571204	0.079539	0.131748	0.174255	0.157353	0.136143	0.119116	0.125055
a36	0.00998961	0.0295809	0.0441291	0.0943186	0.165001	0.158817	0.164796	0.161427	0.171942
a21	0.0157732	0.0420809	0.0651104	0.182568	0.209227	0.124017	0.11409	0.119359	0.127776
a47	0.00600567	0.012768	0.0169061	0.0343859	0.0851478	0.123952	0.229896	0.256358	0.23458
a61	0.00901389	0.0203185	0.0285806	0.0704167	0.116234	0.121414	0.19689	0.216529	0.220603
a21	0.00575047	0.0116172	0.0162017	0.0360079	0.0646994	0.0791659	0.187265	0.294738	0.304554
a12	0.00287453	0.0046751	0.00577003	0.0122615	0.0332044	0.0710275	0.213236	0.338079	0.318872
a47	0.00189029	0.0031051	0.00374403	0.00895037	0.0239359	0.047669	0.156164	0.34074	0.413802
a96	0.00382808	0.00610437	0.00743698	0.0172684	0.0276501	0.0418293	0.127474	0.317889	0.45052
a66	0.00118269	0.00244378	0.00316477	0.0107894	0.0222401	0.0372224	0.118124	0.317418	0.487415
a53	0.018846	0.0235917	0.0257622	0.0400875	0.0560801	0.0554935	0.114793	0.271947	0.393399
a90	0.00234852	0.0045636	0.0048995	0.0116584	0.0189212	0.0277993	0.1004	0.324362	0.505047
a69	0.00035799	0.000883184	0.00109249	0.00409488	0.0105323	0.0205546	0.0824135	0.311631	0.56844
a58	0.000519285	0.00101031	0.00106685	0.00318372	0.00809551	0.017186	0.0751647	0.309648	0.584126
a82	0.0064438	0.00807846	0.00666242	0.00797008	0.0138765	0.0269071	0.102037	0.310725	0.5173
a87	0.107968	0.106678	0.0792383	0.0927052	0.101684	0.0720714	0.0983764	0.151181	0.190098
a23	0.0999503	0.105948	0.0913382	0.107402	0.133785	0.0989767	0.112702	0.121665	0.128233
a99	0.0445662	0.0490991	0.043628	0.0630904	0.113586	0.0900388	0.130059	0.202906	0.263027
a97	0.0180071	0.0228258	0.0233206	0.0484786	0.0861902	0.0888891	0.135181	0.225437	0.351671
</S>	0.0128766	0.0230954	0.0229577	0.0391028	0.0532876	0.0661623	0.123525	0.238708	0.420285
