 	il	n'	a	pas	répondu	quand	je	l'	ai	appelé	</S>
a66	0.215371	0.191147	0.116696	0.0948689	0.083094	0.0514096	0.0575914	0.0519348	0.0542082	0.0467276	0.036952
a87	0.149565	0.135283	0.10294	0.0884996	0.0862897	0.0838489	0.111035	0.0770823	0.0745148	0.0476872	0.0432535
a23	0.267556	0.201007	0.106917	0.0783954	0.0999515	0.0479006	0.0599964	0.0425961	0.0388416	0.0310729	0.0257659
a30	0.228421	0.171223	0.0999693	0.0837361	0.135122	0.065254	0.0663189	0.0410554	0.039144	0.0336794	0.0360782
a20	0.233421	0.181969	0.104869	0.0890065	0.100033	0.0426141	0.0418267	0.0345193	0.0406321	0.0584702	0.0726394
a79	0.264823	0.245475	0.147994	0.124212	0.105521	0.0368403	0.0236886	0.0131906	0.0120161	0.0117036	0.0145355
a94	0.187741	0.194454	0.17016	0.176597	0.163776	0.0471332	0.0239201	0.0112152	0.00893711	0.00782627	0.00824049
a44	0.095318	0.107259	0.133594	0.161868	0.188596	0.103631	0.0644188	0.0353309	0.0338224	0.0352527	0.0409093
a70	0.0657738	0.0801817	0.118338	0.155259	0.205551	0.127454	0.0805441	0.0457489	0.0400541	0.0383098	0.0427857
a50	0.0406798	0.048	0.0819841	0.124411	0.170729	0.154294	0.111067	0.0704741	0.0640031	0.0656656	0.068693
a34	0.0249426	0.024407	0.0446501	0.0756084	0.108166	0.175452	0.149838	0.107083	0.0917998	0.0979758	0.100077
a5	0.0253698	0.0285458	0.054398	0.0888779	0.112843	0.169536	0.155893	0.111762	0.0911476	0.0828177	0.0788096
a12	0.0203809	0.0187556	0.0319957	0.0524136	0.0543381	0.131427	0.152501	0.142369	0.134927	0.137021	0.123871
a96	0.0135411	0.0120698	0.0215897	0.0357684	0.0386181	0.119135	0.156134	0.160957	0.152279	0.154315	0.135594
a18	0.0132648	0.0118551	0.0204132	0.0317441	0.036309	0.113995	0.150424	0.160062	0.15107	0.157327	0.153536
a11	0.0115651	0.00992088	0.0146681	0.0207007	0.0237444	0.0777914	0.123797	0.166686	0.167486	0.189743	0.193898
a70	0.00709068	0.00626157	0.00768446	0.00874879	0.0102958	0.0339433	0.0648698	0.143786	0.200051	0.248977	0.268291
a61	0.00397529	0.00318478	0.00381222	0.00422991	0.00499215	0.0197188	0.0453184	0.123929	0.20636	0.283476	0.301004
a54	0.00303231	0.0023238	0.00311956	0.00344765	0.0039427	0.0148107	0.0306671	0.0862926	0.171074	0.309083	0.372206
a79	0.00310705	0.00224507	0.00378949	0.00461755	0.00547683	0.0182361	0.0309736	0.0837684	0.170999	0.311133	0.365654
a44	0.00555077	0.0043571	0.00753841	0.0085996	0.00624286	0.0157985	0.0290766	0.0906788	0.161806	0.308697	0.361655
a56	0.00168849	0.00119827	0.0017762	0.0020443	0.00194909	0.00748167	0.0172902	0.0590692	0.129175	0.302089	0.476238
a70	0.00196344	0.00131776	0.00174556	0.00175141	0.00166108	0.00736964	0.016736	0.0553931	0.135353	0.301974	0.474735
a66	0.00168477	0.00112557	0.00149463	0.00146772	0.00152392	0.00782832	0.0177094	0.0540219	0.138183	0.307539	0.467421
a34	0.00357658	0.0027813	0.00299207	0.00278923	0.0030716	0.00908231	0.0164506	0.0505777	0.143388	0.335185	0.430106
a5	0.00130583	0.000912801	0.00111654	0.00110171	0.00113566	0.0057815	0.0135753	0.0437739	0.11711	0.309063	0.505123
a7	0.00317988	0.00220362	0.00253487	0.00227752	0.00200976	0.00822226	0.0168751	0.0436855	0.119542	0.307363	0.492106
a26	0.00158745	0.00117756	0.00154728	0.00155346	0.00170318	0.00738387	0.0144331	0.0377063	0.0995312	0.318971	0.514406
a10	0.0148051	0.0103651	0.00951853	0.00776282	0.00698363	0.0193837	0.0335326	0.064358	0.121746	0.314807	0.396738
a82	0.0891112	0.060262	0.0428356	0.0294472	0.0255618	0.0349455	0.0569065	0.0848346	0.124983	0.223676	0.227436
a10	0.0595408	0.0474385	0.0370197	0.030083	0.0323311	0.0383085	0.063738	0.0905982	0.141315	0.227281	0.232347
a82	0.0528207	0.0432106	0.0381331	0.034635	0.0349857	0.0392992	0.0578722	0.0926524	0.155501	0.230008	0.220882
a97	0.0481536	0.0420263	0.0388016	0.0382639	0.0410877	0.0489714	0.0692601	0.1125	0.166572	0.201768	0.192595
a30	0.050018	0.0437011	0.0413632	0.0377843	0.0344597	0.041269	0.0757749	0.123337	0.164585	0.19645	0.191258
a82	0.115402	0.0838574	0.0727448	0.0594897	0.0421405	0.0676981	0.104311	0.111442	0.113048	0.109627	0.120238
a27	0.204892	0.136228	0.0954771	0.0634925	0.038372	0.0428832	0.0660257	0.0742086	0.0827334	0.0904125	0.105274
a82	0.174202	0.11293	0.0888499	0.0629799	0.0336119	0.0439347	0.0719333	0.0908824	0.096948	0.103957	0.119771
</S>	0.1726	0.107751	0.0789263	0.0550016	0.0336603	0.0483718	0.0784167	0.0942457	0.103093	0.106822	0.121111
