 	celui	qui	caresse	l'	enfant	en	premier	c'	est	sa	maman	</S>
a66	0.374834	0.245974	0.102577	0.0611499	0.0456265	0.0379477	0.034334	0.0182944	0.0169065	0.017666	0.0195862	0.0251045
a87	0.329531	0.210573	0.0681212	0.0471598	0.068176	0.103398	0.0844902	0.0214049	0.0134811	0.0138882	0.016954	0.0228223
a23	0.378075	0.313968	0.165476	0.0617116	0.035757	0.0179365	0.00939709	0.00329315	0.00255219	0.00271914	0.00360876	0.00550516
a79	0.254583	0.270725	0.161504	0.0698567	0.0574806	0.0342281	0.0259181	0.0136926	0.0156403	0.0204833	0.0311193	0.0447683
a4	0.180011	0.132868	0.0658611	0.0355192	0.0411174	0.0505293	0.0865106	0.0636424	0.0750191	0.0802534	0.0923278	0.0963412
a44	0.171795	0.162101	0.149931	0.106986	0.0978798	0.085819	0.0948053	0.036369	0.02683	0.0229852	0.0213477	0.0231502
a54	0.126736	0.134841	0.174732	0.194819	0.155945	0.0759942	0.0607742	0.0224822	0.0146111	0.0127155	0.0122427	0.0141081
a47	0.0584604	0.0818635	0.129532	0.196132	0.202791	0.121267	0.100011	0.0314222	0.0201919	0.0176276	0.0179115	0.0227892
a37	0.0368391	0.0549599	0.098904	0.208893	0.25056	0.145553	0.0874626	0.0282132	0.0199443	0.0183783	0.0219947	0.0282983
a34	0.0593112	0.0720629	0.0995827	0.150143	0.224573	0.171503	0.0976908	0.0275629	0.0209223	0.0198868	0.0241377	0.0326242
a98	0.0699178	0.0999812	0.135088	0.167424	0.180389	0.141054	0.085466	0.0286275	0.0216641	0.0197448	0.0221158	0.0285272
a85	0.00941111	0.0130116	0.0266448	0.0751998	0.145841	0.19643	0.137773	0.0903366	0.0878217	0.0738273	0.0675413	0.076162
a92	0.00922882	0.0106669	0.020258	0.0480556	0.084269	0.147332	0.123143	0.124581	0.127773	0.106387	0.0938146	0.104491
a37	0.00807116	0.00959414	0.0170552	0.0335188	0.0409553	0.0657839	0.0715545	0.130383	0.167023	0.157161	0.140403	0.158497
a93	0.0128162	0.0132212	0.0187085	0.0284088	0.0286085	0.0422477	0.0459825	0.132516	0.203387	0.164055	0.144044	0.166004
a44	0.0101965	0.010679	0.0127106	0.0160624	0.0133654	0.0215302	0.0250688	0.0869069	0.181685	0.199012	0.195574	0.227209
a11	0.00434348	0.00407804	0.00518371	0.0063243	0.00597334	0.0086277	0.0113075	0.0402674	0.119795	0.200154	0.267888	0.326057
a12	0.00585936	0.00357795	0.00304089	0.00344438	0.00404998	0.00654328	0.0128333	0.0388342	0.0939467	0.146766	0.273243	0.407861
a96	0.0020975	0.00187853	0.002001	0.00221985	0.00234382	0.00428962	0.0053849	0.020862	0.0661075	0.157992	0.313596	0.421227
a94	0.000749513	0.000851924	0.00113354	0.00136597	0.00158381	0.00300662	0.0046272	0.0164676	0.0516913	0.130409	0.313804	0.47431
a93	0.00139939	0.00100959	0.00103994	0.00127348	0.00163965	0.00401898	0.00811589	0.0289975	0.0698902	0.139674	0.294328	0.448614
a13	0.0010508	0.000728761	0.000666923	0.000822725	0.00108641	0.00308321	0.00716456	0.0273308	0.0659372	0.140667	0.305781	0.44568
a9	0.00675791	0.00413285	0.0023512	0.00235641	0.00358061	0.0132432	0.0314497	0.0775531	0.127201	0.167951	0.233487	0.329936
a99	0.134627	0.0620955	0.0330054	0.0325925	0.0304802	0.0437876	0.048649	0.0891152	0.13331	0.133794	0.128363	0.130182
a87	0.169587	0.109527	0.0672934	0.0572881	0.0496368	0.056386	0.0535631	0.0704238	0.0794	0.0898654	0.0933647	0.103665
a23	0.300639	0.210422	0.101331	0.0602634	0.0359102	0.0307978	0.0245027	0.0311412	0.0344944	0.0427846	0.0514955	0.0762179
a87	0.163066	0.175157	0.132505	0.0923293	0.0502978	0.0347782	0.0249704	0.0367803	0.0409954	0.0584737	0.0742293	0.116417
</S>	0.128187	0.117418	0.081911	0.0666627	0.0403392	0.0309246	0.02162	0.0360877	0.0441602	0.0756306	0.127584	0.229475
