 	j'	ai	un	ami	à	baya	</S>
a66	0.357887	0.187146	0.14676	0.146475	0.099557	0.0432524	0.0189232
a87	0.464174	0.301325	0.114359	0.0538391	0.0313653	0.0173797	0.017558
a23	0.540459	0.270388	0.0981445	0.0340866	0.0213862	0.0163545	0.0191813
a99	0.478041	0.315694	0.122516	0.0321272	0.0143117	0.0152289	0.0220806
a38	0.323301	0.287911	0.144258	0.0535099	0.0353164	0.0589732	0.0967304
a88	0.386027	0.277601	0.16799	0.0629425	0.0311474	0.0335908	0.0407018
a31	0.28193	0.359216	0.236683	0.0719382	0.0245319	0.0128123	0.012888
a12	0.202816	0.33441	0.291074	0.110358	0.0362714	0.0138832	0.0111882
a75	0.20403	0.323103	0.297911	0.113626	0.0375685	0.0135286	0.0102329
a85	0.127148	0.260116	0.323976	0.16752	0.0702785	0.0290347	0.0219275
a6	0.0801763	0.146207	0.232152	0.230735	0.163285	0.091142	0.0563027
a36	0.134715	0.169871	0.250629	0.22176	0.118653	0.0532193	0.0511529
a6	0.0649844	0.0784968	0.193663	0.290725	0.19052	0.0854552	0.0961553
a37	0.0383201	0.0462007	0.151061	0.261672	0.22622	0.139246	0.137281
a85	0.0291377	0.0280274	0.085595	0.258396	0.304269	0.148219	0.146356
a47	0.0104341	0.010072	0.0367247	0.150868	0.296694	0.246983	0.248225
a36	0.0139583	0.0129139	0.0348055	0.111133	0.23052	0.263312	0.333356
a2	0.0347651	0.028454	0.0429392	0.0875869	0.184165	0.240416	0.381674
a57	0.106352	0.0840993	0.0773946	0.0923107	0.146139	0.198532	0.295173
a53	0.139244	0.0873952	0.07695	0.0965394	0.175363	0.202429	0.22208
a15	0.115439	0.0560349	0.0491841	0.0619859	0.113601	0.190411	0.413344
a69	0.00794002	0.00486271	0.0077081	0.021144	0.0704599	0.282475	0.60541
a98	0.00543456	0.00371734	0.00587386	0.0153293	0.0492093	0.239758	0.680677
a85	0.00264621	0.00189541	0.00331575	0.0084377	0.028117	0.21589	0.739698
a6	0.000876072	0.000741183	0.00179348	0.0060263	0.0257202	0.231729	0.733114
a36	0.00131744	0.000796287	0.00138787	0.003794	0.0171205	0.208424	0.76716
a2	0.00156422	0.000997427	0.00146521	0.0034997	0.0141956	0.180847	0.797431
a82	0.0163708	0.0109419	0.011667	0.019408	0.0598236	0.25655	0.625238
a87	0.127796	0.0580234	0.0496491	0.0571313	0.105757	0.243271	0.358372
a23	0.332023	0.0972674	0.0542567	0.0484397	0.076496	0.20053	0.190987
a87	0.160249	0.0478759	0.0232218	0.0286957	0.0747975	0.2479	0.41726
a97	0.027921	0.00851834	0.00700692	0.0150185	0.0429489	0.208105	0.690482
</S>	0.151592	0.0810608	0.0605075	0.0607849	0.0774581	0.172943	0.395654
