 	tu	fais	vrombir	le	bateau	</S>
a15	0.426243	0.20681	0.148476	0.117494	0.066652	0.034325
a66	0.325876	0.2493	0.234022	0.103266	0.0518236	0.0357121
a87	0.672721	0.173748	0.0590653	0.0339215	0.0294718	0.0310723
a23	0.601469	0.23169	0.0740318	0.0401573	0.0277325	0.0249198
a54	0.572773	0.257784	0.0759744	0.0271519	0.0256064	0.04071
a92	0.282452	0.249424	0.14074	0.102611	0.118367	0.106405
a25	0.171982	0.286959	0.239713	0.127271	0.103239	0.0708369
a56	0.146168	0.256648	0.308317	0.141951	0.0846279	0.0622874
a0	0.166829	0.285943	0.311592	0.135768	0.0627815	0.0370853
a75	0.185342	0.28483	0.28751	0.124898	0.0664967	0.050922
a56	0.130264	0.198988	0.224043	0.156892	0.141889	0.147924
a54	0.135956	0.180108	0.231891	0.177656	0.1311	0.143289
a56	0.061714	0.0623947	0.0986273	0.172592	0.232768	0.371904
a75	0.054905	0.0489371	0.0825292	0.192077	0.263554	0.357998
a85	0.0123762	0.011255	0.0248301	0.120845	0.312237	0.518456
a47	0.00406682	0.00338684	0.00946901	0.074386	0.349783	0.558908
a0	0.00155655	0.00119769	0.00384733	0.0418548	0.270652	0.680891
a90	0.00338388	0.00255185	0.00708092	0.0397817	0.181729	0.765472
a15	0.00304703	0.00184504	0.00445445	0.0251705	0.157031	0.808452
a20	0.00148876	0.00135185	0.00437922	0.0304101	0.179008	0.783362
a7	0.00147274	0.00130526	0.00485118	0.0364473	0.194982	0.760941
a84	0.00496153	0.0046968	0.0132894	0.0675784	0.249337	0.660137
a87	0.12335	0.0809347	0.0889648	0.104087	0.208082	0.394582
a23	0.487053	0.241437	0.110071	0.0557906	0.0486281	0.0570209
a87	0.19124	0.0959002	0.068092	0.111998	0.235879	0.29689
a23	0.120044	0.0352052	0.0232851	0.0522448	0.217271	0.55195
a38	0.0722598	0.0294478	0.0206628	0.0505686	0.21652	0.610541
a99	0.0278496	0.0124578	0.0128214	0.053591	0.248224	0.645057
</S>	0.0222938	0.0129052	0.0155303	0.0669422	0.267274	0.615054
