 	dieu	a	créé	ce	monde	</S>
a66	0.449945	0.192126	0.211874	0.0811376	0.0368358	0.0280813
a87	0.477694	0.239843	0.195314	0.0410658	0.0226174	0.0234658
a23	0.470315	0.296883	0.172061	0.0275167	0.015533	0.0176905
a99	0.450738	0.273548	0.187758	0.0385441	0.0244267	0.0249852
a38	0.492742	0.212068	0.153467	0.0563417	0.0406951	0.0446856
a7	0.293058	0.197396	0.225894	0.113792	0.0828009	0.0870583
a4	0.183549	0.174281	0.210345	0.171324	0.126845	0.133656
a54	0.167353	0.159004	0.168859	0.177835	0.147422	0.179527
a56	0.130623	0.112592	0.122115	0.169383	0.185463	0.279824
a12	0.072297	0.0636065	0.086369	0.172916	0.236746	0.368065
a56	0.0262406	0.0253263	0.0379102	0.1191	0.260375	0.531049
a43	0.0306848	0.0356286	0.0637791	0.152905	0.26386	0.453143
a90	0.0148743	0.0155674	0.0355451	0.147866	0.287995	0.498152
a93	0.0129141	0.0150081	0.0399757	0.176254	0.308987	0.446861
a70	0.00353155	0.00302518	0.00686686	0.0723935	0.286293	0.62789
a11	0.00176558	0.00153531	0.00347661	0.0487578	0.285573	0.658891
a24	0.00145776	0.00110582	0.00275205	0.0419983	0.251215	0.701472
a83	0.00149074	0.00123704	0.00315479	0.0414783	0.248282	0.704357
a99	0.00186997	0.00187908	0.00528389	0.0493579	0.264785	0.676824
a9	0.00489401	0.00427487	0.00855379	0.0584472	0.267128	0.656702
a99	0.168946	0.0675017	0.0508488	0.0875493	0.217089	0.408066
a9	0.216231	0.100814	0.0588064	0.0710108	0.183553	0.369584
a87	0.193395	0.104063	0.0652232	0.0744768	0.199535	0.363306
a23	0.17437	0.119352	0.0968272	0.0966887	0.20477	0.307993
a87	0.10948	0.0611956	0.0515041	0.111427	0.26593	0.400463
</S>	0.0763993	0.0496115	0.0498677	0.123031	0.280917	0.420173
