 	le	féticheur	a	reconnu	son	innocence	</S>
a66	0.319034	0.266535	0.15316	0.102253	0.0838328	0.0475917	0.0275934
a87	0.396881	0.197992	0.114723	0.0754986	0.0965393	0.0657515	0.0526145
a97	0.240834	0.152301	0.109557	0.166691	0.146945	0.11523	0.0684418
a3	0.234979	0.160175	0.129133	0.199107	0.129709	0.0933121	0.0535855
a99	0.324492	0.207658	0.137243	0.132664	0.091332	0.067948	0.0386625
a83	0.437945	0.252805	0.125227	0.0518844	0.054415	0.0481898	0.0295332
a54	0.43979	0.254428	0.141547	0.0431066	0.0486033	0.042939	0.0295852
a92	0.305354	0.246656	0.179966	0.0746945	0.0898368	0.0597075	0.0437854
a37	0.26757	0.257893	0.201909	0.087216	0.087067	0.053538	0.0448064
a5	0.220574	0.236112	0.219803	0.12183	0.0920962	0.0556914	0.0538927
a36	0.189822	0.209987	0.210347	0.15026	0.117984	0.0657955	0.0558037
a43	0.100161	0.140205	0.179554	0.218802	0.159894	0.106402	0.0949823
a21	0.0737902	0.0980133	0.127901	0.196952	0.18664	0.16086	0.155844
a5	0.0731073	0.111062	0.150961	0.216413	0.189086	0.138303	0.121067
a61	0.0467799	0.0807495	0.130239	0.211983	0.202947	0.163293	0.164009
a56	0.020689	0.0367435	0.0736794	0.189792	0.219692	0.227217	0.232188
a44	0.0120415	0.0225583	0.0550778	0.173258	0.229241	0.25588	0.251943
a90	0.0062071	0.0119052	0.033802	0.122111	0.191512	0.273298	0.361165
a98	0.00783233	0.0172054	0.0488787	0.139591	0.199609	0.254503	0.33238
a92	0.00244572	0.006055	0.0220031	0.0855863	0.143063	0.243166	0.497681
a34	0.00182012	0.00412495	0.0150169	0.0658371	0.131534	0.231203	0.550464
a56	0.000872276	0.00167161	0.00571644	0.0336026	0.0817573	0.19649	0.679889
a43	0.00075913	0.0015503	0.00473763	0.0344046	0.0908036	0.188212	0.679533
a11	0.000920281	0.00164051	0.00403076	0.029615	0.0855112	0.216064	0.662218
a70	0.00262773	0.00329098	0.00620099	0.0330847	0.0905663	0.264597	0.599632
a13	0.00135113	0.00191171	0.00431769	0.0270584	0.0811849	0.234423	0.649753
a9	0.00516836	0.00630888	0.00969831	0.0424802	0.087093	0.219221	0.63003
a3	0.0152497	0.0114101	0.0120849	0.051341	0.0802583	0.284656	0.545
a97	0.0307088	0.0209982	0.0199315	0.0680639	0.0937542	0.282258	0.484285
a3	0.0300981	0.0237646	0.0243244	0.0813116	0.108869	0.272466	0.459166
a97	0.0245474	0.0199225	0.0237183	0.0876656	0.120268	0.255807	0.468072
a30	0.0141304	0.01635	0.0266432	0.0736321	0.108857	0.219457	0.54093
</S>	0.0159574	0.0177736	0.0291348	0.0732314	0.113772	0.230528	0.519602
