 	nous	avons	déjà	trouvé	une	maison	</S>
a13	0.376314	0.183063	0.10457	0.102629	0.101824	0.0702048	0.0613954
a75	0.229978	0.134414	0.143922	0.121541	0.155253	0.140053	0.0748394
a43	0.533766	0.236461	0.0976656	0.0528465	0.0375391	0.023339	0.0183827
a11	0.445487	0.271258	0.122431	0.0797274	0.0434802	0.0222465	0.0153696
a75	0.223345	0.242248	0.194158	0.138805	0.0849606	0.0620891	0.0543936
a61	0.340742	0.285117	0.147234	0.0949788	0.057088	0.0391594	0.0356815
a43	0.20042	0.244136	0.182372	0.128903	0.0974538	0.0796119	0.0671025
a75	0.0866852	0.126382	0.135364	0.128753	0.147875	0.171383	0.203557
a98	0.114604	0.144013	0.132573	0.137545	0.141801	0.145245	0.18422
a92	0.0601535	0.094128	0.105739	0.137212	0.164235	0.187282	0.25125
a66	0.0305668	0.0409684	0.0602872	0.107011	0.159053	0.22495	0.377164
a61	0.00829592	0.0119381	0.0220586	0.0485058	0.0959423	0.21319	0.600069
a21	0.00786825	0.0112076	0.0236043	0.0479048	0.0984195	0.228861	0.582135
a5	0.0118397	0.0157582	0.0275153	0.054917	0.109931	0.234443	0.545596
a61	0.00676393	0.00957838	0.0192506	0.0416335	0.0862831	0.208497	0.627993
a88	0.00251359	0.00369647	0.0100048	0.0248394	0.0645166	0.186221	0.708209
a21	0.00190248	0.00263957	0.00736016	0.0199492	0.0512627	0.160002	0.756884
a47	0.00344457	0.00529257	0.0150922	0.0417066	0.0864775	0.181144	0.666842
a88	0.00275669	0.00410411	0.0128808	0.0357387	0.0781111	0.191136	0.675273
a9	0.00212746	0.00306144	0.00907322	0.0251822	0.055283	0.152666	0.752607
a87	0.0275002	0.0287837	0.0510011	0.0856379	0.122555	0.200307	0.484214
a23	0.12636	0.0817653	0.106653	0.12266	0.151266	0.178896	0.232398
a87	0.0820886	0.0715984	0.116126	0.14404	0.149834	0.171256	0.265057
</S>	0.0210636	0.0248379	0.0529876	0.0920124	0.152458	0.229059	0.427581
