 	les	grillons	stridulent	dans	la	nuit	</S>
a23	0.52662	0.235734	0.0837118	0.0483137	0.0414813	0.0340741	0.0300646
a87	0.591095	0.24668	0.0695595	0.0308792	0.0264171	0.0186309	0.0167388
a23	0.309916	0.195972	0.147578	0.0995492	0.0823081	0.0702739	0.0944017
a27	0.442259	0.270405	0.1326	0.0464333	0.0348089	0.0303019	0.0431923
a66	0.319557	0.275098	0.134017	0.0509507	0.0541164	0.0621969	0.104064
a83	0.272298	0.179731	0.154792	0.0929265	0.0830242	0.0853502	0.131878
a18	0.316241	0.153433	0.137922	0.089073	0.0902856	0.0921636	0.120881
a11	0.262336	0.154872	0.120448	0.094344	0.103586	0.11587	0.148544
a56	0.192092	0.133992	0.114017	0.105616	0.127502	0.144495	0.182286
a96	0.134577	0.115417	0.123575	0.122861	0.140176	0.159356	0.204037
a70	0.0972606	0.0937191	0.11626	0.130758	0.152211	0.176444	0.233348
a61	0.0819997	0.0797662	0.132531	0.145226	0.158395	0.175697	0.226386
a56	0.0555105	0.0525866	0.102469	0.157688	0.184903	0.201958	0.244884
a70	0.0405805	0.0493269	0.0938576	0.151931	0.196432	0.224718	0.243155
a54	0.0213349	0.0239585	0.0782062	0.166788	0.212557	0.239433	0.257723
a56	0.00863176	0.00966621	0.0653349	0.17567	0.227205	0.242548	0.270944
a12	0.00705584	0.00812057	0.0451854	0.147688	0.217875	0.262403	0.311672
a96	0.0025139	0.00277116	0.019948	0.0999365	0.199011	0.297552	0.378267
a11	0.000725717	0.000772115	0.00598702	0.0498393	0.14998	0.31982	0.472876
a12	0.00016074	0.000128779	0.00108176	0.0176754	0.0908171	0.299509	0.590627
a90	0.00020649	0.000149016	0.00131645	0.0181775	0.0918958	0.290303	0.597952
a79	0.00016467	0.000121642	0.00110219	0.015477	0.0783873	0.268991	0.635757
a44	0.000108752	0.000107017	0.00101606	0.0150345	0.0733967	0.248611	0.661726
a26	4.22626e-05	3.54689e-05	0.000310644	0.00636037	0.0455273	0.223189	0.724535
a58	0.00106936	0.000692525	0.00284377	0.0186782	0.0849508	0.284177	0.607589
a4	0.00375833	0.00320498	0.00866065	0.0261575	0.0838788	0.260967	0.613372
a70	0.000928652	0.000574094	0.00301706	0.0202385	0.0893421	0.268952	0.616948
a99	0.000192118	0.000132748	0.00118461	0.0109238	0.0606201	0.241961	0.684985
a18	0.00064864	0.000381755	0.00155851	0.0120363	0.0681901	0.263265	0.653919
a9	0.00494612	0.00304321	0.00679954	0.0214128	0.0733695	0.246662	0.643767
a3	0.00654135	0.00425529	0.00861436	0.0258233	0.0835455	0.256243	0.614977
a97	0.0277642	0.0172539	0.0220672	0.0440839	0.105165	0.255742	0.527923
a87	0.0465775	0.0259998	0.0325593	0.0710443	0.139329	0.25864	0.425851
a97	0.0550673	0.0443016	0.0605147	0.103442	0.145389	0.223379	0.367907
a87	0.0458665	0.0478903	0.107061	0.157587	0.193289	0.208955	0.239351
a23	0.0462382	0.0469147	0.086735	0.138515	0.17913	0.220775	0.281693
a87	0.0578554	0.0508416	0.0811736	0.126175	0.170133	0.217792	0.29603
a23	0.0910922	0.0732806	0.106503	0.12397	0.158865	0.197641	0.248648
a87	0.107265	0.0858185	0.124174	0.1292	0.151155	0.178939	0.223448
a97	0.0885959	0.0802231	0.127214	0.139858	0.161119	0.186013	0.216978
a87	0.0992814	0.0849876	0.118464	0.128597	0.154441	0.18818	0.226049
a97	0.0729805	0.0600881	0.113004	0.151567	0.181921	0.202365	0.218074
a87	0.0856594	0.0783205	0.106133	0.122652	0.162425	0.200342	0.244468
a23	0.061402	0.0596793	0.0903845	0.121697	0.169313	0.222998	0.274527
a97	0.0735657	0.0707016	0.102055	0.136756	0.176856	0.209054	0.231011
</S>	0.0732378	0.0699311	0.101663	0.114159	0.154203	0.209556	0.277251
