 	mon	épouse	se	répand	toujours	en	lamentations	</S>
a66	0.395983	0.269505	0.145297	0.0716505	0.038882	0.0244352	0.0230259	0.0312222
a87	0.3512	0.20962	0.0953348	0.0392087	0.0511768	0.0669358	0.0899531	0.0965707
a23	0.41721	0.207435	0.0890717	0.0419626	0.0423333	0.0520074	0.0759694	0.0740108
a7	0.285469	0.112229	0.0608471	0.0389602	0.0495407	0.0967772	0.197489	0.158687
a84	0.459842	0.162461	0.0976296	0.0654464	0.0532722	0.0481398	0.0550667	0.0581417
a54	0.263863	0.13614	0.121663	0.125397	0.130689	0.0999055	0.0658357	0.0565065
a36	0.121202	0.151603	0.1955	0.236837	0.151945	0.0751784	0.0382535	0.0294809
a37	0.0863129	0.112644	0.169116	0.242616	0.14889	0.0935604	0.0749648	0.0718961
a54	0.0849011	0.0940591	0.136463	0.168371	0.141227	0.125294	0.135238	0.114446
a6	0.0746112	0.090537	0.136545	0.152062	0.141938	0.144525	0.121216	0.138567
a36	0.0565385	0.0647825	0.0946665	0.105302	0.124799	0.15178	0.187431	0.214701
a18	0.0282656	0.0204365	0.0278238	0.0306405	0.0502967	0.126061	0.257536	0.458939
a90	0.00459499	0.00310482	0.00349823	0.00589367	0.0146275	0.0529816	0.182377	0.732922
a44	0.00403327	0.00302992	0.00338136	0.00574273	0.012912	0.0455411	0.186317	0.739042
a32	0.00265135	0.00238699	0.00292323	0.00486156	0.013406	0.0512053	0.187361	0.735204
a11	0.00642442	0.00511889	0.00389734	0.00381203	0.00861019	0.0359601	0.166596	0.769581
a12	0.0216895	0.0110708	0.00584702	0.00426	0.00720071	0.0274666	0.144025	0.778441
a18	0.00415369	0.00354869	0.00361852	0.00477948	0.0106801	0.0415726	0.189698	0.741949
a71	0.0110814	0.00873279	0.00532499	0.00517201	0.00996845	0.0335501	0.13027	0.7959
a9	0.0112373	0.0101024	0.00691351	0.00720335	0.0137491	0.0440694	0.16475	0.741975
a87	0.160296	0.0958859	0.0491947	0.0324896	0.0405882	0.0778625	0.167542	0.376141
a23	0.277408	0.171848	0.0837851	0.0466861	0.0472117	0.0734925	0.128736	0.170833
a87	0.24151	0.131603	0.0652754	0.0582088	0.0490117	0.0911622	0.158403	0.204826
</S>	0.0543309	0.0366329	0.0310016	0.0406175	0.0497963	0.119318	0.246966	0.421337
