 	j'	avais	construit	une	maison	à	ongonza	</S>
a66	0.305779	0.26021	0.161514	0.126298	0.0737107	0.036667	0.0216793	0.0141422
a87	0.2484	0.150486	0.130612	0.11972	0.122889	0.0881492	0.0774302	0.0623136
a97	0.30554	0.184419	0.089294	0.0660486	0.0790386	0.0699148	0.0956816	0.110063
a87	0.295985	0.230708	0.122951	0.0851748	0.0760987	0.0496148	0.0651769	0.0742918
a97	0.286222	0.224259	0.116699	0.0825782	0.0760757	0.0552633	0.073924	0.0849787
a13	0.304057	0.212463	0.113489	0.0923633	0.0754971	0.0597567	0.0679473	0.0744269
a44	0.381406	0.223426	0.120928	0.0945735	0.0534442	0.0431643	0.0403598	0.0426985
a94	0.390936	0.256256	0.127075	0.0860875	0.0514304	0.0339548	0.0254229	0.0288374
a75	0.345852	0.255074	0.146968	0.096867	0.0703816	0.0374113	0.0229841	0.0244612
a5	0.239455	0.232752	0.165555	0.128099	0.0941987	0.0535977	0.0399361	0.046406
a85	0.218054	0.225849	0.169764	0.126538	0.0932987	0.0558505	0.0512661	0.0593811
a6	0.14841	0.209081	0.193695	0.147114	0.106695	0.0683023	0.0570055	0.0696979
a36	0.147627	0.209315	0.182863	0.135306	0.0985358	0.0712738	0.0719339	0.083145
a27	0.106096	0.183654	0.175903	0.139769	0.105762	0.0830018	0.0904492	0.115365
a18	0.0603731	0.101726	0.134905	0.140803	0.1159	0.116035	0.138673	0.191585
a21	0.0370255	0.0555221	0.0927302	0.135817	0.133235	0.152099	0.172936	0.220636
a5	0.0327719	0.0523833	0.0750515	0.103578	0.136162	0.186219	0.201255	0.21258
a18	0.0150981	0.0254458	0.0423651	0.0703179	0.109619	0.19452	0.250821	0.291814
a47	0.00620732	0.00969611	0.0191036	0.0444779	0.0864262	0.181166	0.296888	0.356035
a31	0.0128401	0.0193103	0.0325202	0.057842	0.0880579	0.178285	0.288752	0.322392
a11	0.00293694	0.00489597	0.00980803	0.021322	0.0427038	0.129775	0.308499	0.480059
a93	0.00140853	0.00188968	0.00390158	0.00986262	0.029887	0.0891273	0.290893	0.573031
a70	0.00117868	0.00180814	0.0043688	0.0112168	0.0273951	0.090663	0.287557	0.575812
a4	0.000737641	0.00109842	0.00302755	0.00876662	0.0271484	0.0932945	0.285166	0.580761
a93	0.000532415	0.000791946	0.0020876	0.00597991	0.0207368	0.0828762	0.283591	0.603404
a70	0.000351093	0.000490653	0.0014076	0.00445596	0.0172859	0.0767586	0.276014	0.623237
a24	0.000674685	0.000732132	0.00205055	0.00554165	0.0192518	0.0809791	0.301437	0.589333
a38	0.00136978	0.00144922	0.00425551	0.0108454	0.0298198	0.0987056	0.319646	0.533909
a9	0.00126066	0.00125184	0.00333349	0.009046	0.0260711	0.090919	0.309997	0.558121
a97	0.0517407	0.0442234	0.0534782	0.0670141	0.0943849	0.151045	0.23518	0.302934
a87	0.185887	0.130554	0.0965125	0.0840358	0.0926764	0.0998808	0.1411	0.169353
a97	0.117135	0.0822171	0.0679715	0.0617991	0.0630974	0.0851595	0.198143	0.324478
a82	0.0609238	0.0456252	0.0462858	0.0489207	0.0573945	0.0983736	0.245698	0.396778
a30	0.0511007	0.0443243	0.0499426	0.0516591	0.0624501	0.092718	0.236519	0.411286
</S>	0.0465768	0.0344661	0.0394461	0.0415166	0.0590831	0.0889579	0.229648	0.460306
