 	ii	lui	apprend	à	piéger	</S>
a85	0.38231	0.247839	0.181585	0.106487	0.0512824	0.0304972
a66	0.505904	0.191352	0.129525	0.072961	0.0541798	0.0460791
a87	0.455197	0.183576	0.126371	0.0880118	0.0742868	0.0725571
a23	0.470391	0.210228	0.14908	0.0848368	0.0486501	0.0368139
a79	0.548672	0.196962	0.116687	0.0587822	0.0402868	0.0386103
a20	0.441168	0.177616	0.10353	0.0688186	0.0966551	0.112212
a30	0.341977	0.252548	0.197501	0.096953	0.0575708	0.0534505
a44	0.295295	0.286642	0.23635	0.112164	0.0458067	0.023743
a30	0.25997	0.271316	0.227077	0.141232	0.0635059	0.0368996
a41	0.161944	0.237228	0.230449	0.183196	0.116469	0.0707134
a24	0.157296	0.259614	0.293382	0.198497	0.0613333	0.0298775
a41	0.175105	0.260339	0.295588	0.184778	0.0570706	0.0271202
a43	0.144791	0.215938	0.270362	0.220294	0.100429	0.0481867
a75	0.0972653	0.171873	0.220691	0.225817	0.143263	0.141091
a14	0.0726256	0.151971	0.223237	0.256239	0.166482	0.129445
a94	0.0779493	0.160072	0.253684	0.254714	0.167971	0.08561
a90	0.0835643	0.132028	0.196975	0.26387	0.161828	0.161735
a98	0.0980977	0.139347	0.180098	0.23046	0.162727	0.18927
a14	0.0826947	0.105991	0.138865	0.213898	0.22762	0.230932
a30	0.0710914	0.0929807	0.119827	0.184106	0.265751	0.266244
a2	0.126138	0.131921	0.150915	0.205186	0.223694	0.162146
a24	0.0521293	0.0554352	0.0868838	0.166714	0.31775	0.321088
a61	0.107557	0.0732348	0.0922126	0.166328	0.274934	0.285734
a32	0.0400881	0.0389443	0.0528219	0.141475	0.319938	0.406733
a26	0.0244603	0.0222339	0.0271755	0.070196	0.303664	0.55227
a75	0.0280095	0.0255964	0.0310722	0.0740452	0.282571	0.558706
a85	0.0250455	0.0228204	0.0258075	0.0612502	0.249148	0.615929
a14	0.0153985	0.0158377	0.0213535	0.0683797	0.322864	0.556167
a35	0.0271969	0.0251002	0.0267361	0.0679737	0.319449	0.533544
a14	0.0243759	0.019531	0.0208997	0.049298	0.293618	0.592278
a35	0.0269308	0.0209428	0.0221009	0.0530681	0.326435	0.550523
a37	0.013504	0.009597	0.0114206	0.0323475	0.212442	0.720689
a41	0.0231002	0.0144033	0.0157896	0.0382881	0.186254	0.722165
a85	0.0159292	0.0113529	0.0146124	0.042741	0.24177	0.673594
a30	0.0286087	0.0191949	0.0210447	0.0463332	0.246784	0.638034
a2	0.0263561	0.0160802	0.0156871	0.0308837	0.165158	0.745835
a30	0.0389044	0.0216446	0.0233649	0.0495959	0.247397	0.619093
a87	0.0553547	0.0408905	0.0422218	0.0672168	0.294026	0.500291
</S>	0.0249599	0.0220883	0.0305842	0.0828058	0.282136	0.557426
