 	j'	ai	ramassé	des	longues	plumes	de	coq	dans	la	cour	</S>
a66	0.215293	0.169499	0.126056	0.104895	0.0837405	0.0747905	0.0690727	0.0622079	0.0394536	0.0231661	0.0168419	0.0149835
a87	0.447748	0.204925	0.0916025	0.0527762	0.0320347	0.0291905	0.0247311	0.0299901	0.0266823	0.0204508	0.0202285	0.0196405
a23	0.412051	0.202075	0.105796	0.052566	0.0316431	0.0188493	0.0164274	0.021955	0.0251747	0.0299454	0.0387625	0.0447542
a97	0.368055	0.221284	0.107677	0.0548306	0.0446456	0.0216291	0.0186912	0.0226648	0.0245343	0.0284733	0.0404989	0.0470163
a99	0.298382	0.227232	0.149299	0.0822883	0.0593222	0.0304309	0.0249234	0.0266544	0.024286	0.0226073	0.0267047	0.0278699
a24	0.297478	0.256654	0.152384	0.0691821	0.0455331	0.0248258	0.0229749	0.0237377	0.0235754	0.0242506	0.0288245	0.03058
a31	0.280184	0.293394	0.176029	0.0735079	0.0418191	0.0190834	0.0198175	0.0183321	0.0186432	0.017909	0.0197635	0.0215175
a88	0.276298	0.340158	0.207977	0.0798623	0.0354679	0.012787	0.0113837	0.00959982	0.00863613	0.00655533	0.00584478	0.0054295
a38	0.251282	0.324382	0.202129	0.096838	0.047098	0.0156171	0.0124885	0.012047	0.0110405	0.0092166	0.00894669	0.00891499
a75	0.217582	0.269906	0.195206	0.124481	0.0696982	0.0240222	0.0183265	0.018406	0.0169622	0.0147497	0.0149502	0.0157105
a25	0.177557	0.234779	0.186841	0.161651	0.113545	0.0365757	0.0264054	0.0197568	0.0133362	0.00938495	0.00916957	0.0109968
a56	0.0818158	0.119307	0.138519	0.170948	0.161504	0.0836189	0.0586735	0.0503286	0.0340187	0.030455	0.031449	0.0393622
a12	0.100299	0.138157	0.163488	0.194848	0.176505	0.075802	0.0480851	0.0331802	0.019089	0.0150598	0.0158791	0.0196082
a96	0.107676	0.150482	0.174159	0.189374	0.152901	0.0766046	0.0492036	0.0326092	0.0179797	0.0138299	0.0154266	0.0197536
a21	0.0722403	0.113377	0.156691	0.182285	0.181272	0.095827	0.0598186	0.0422526	0.0252472	0.0210295	0.0227721	0.0271873
a92	0.0462213	0.0633029	0.0966078	0.12874	0.159069	0.136268	0.10346	0.0851885	0.051556	0.0410896	0.0412543	0.0472428
a56	0.00910018	0.0141735	0.0368631	0.0780209	0.126432	0.158693	0.13895	0.123936	0.0915096	0.0776805	0.0707246	0.0739156
a98	0.0127041	0.015939	0.0314966	0.0649001	0.126169	0.180843	0.146143	0.131143	0.07978	0.0662475	0.0685319	0.076104
a85	0.00422968	0.00604849	0.0174877	0.0456305	0.0869765	0.164893	0.14846	0.134494	0.103237	0.0965786	0.0931419	0.098823
a47	0.00529919	0.00693129	0.0140596	0.0312986	0.069079	0.155425	0.164518	0.153084	0.105358	0.0955844	0.0935793	0.105784
a36	0.00701413	0.00784437	0.0151165	0.0318297	0.0640718	0.15172	0.153607	0.132208	0.0893683	0.0936047	0.111088	0.142528
a56	0.0119341	0.0109356	0.0144278	0.0216833	0.0470699	0.115161	0.132416	0.116907	0.0852701	0.0970259	0.140686	0.206484
a43	0.00216923	0.00219674	0.00377919	0.00776843	0.0260147	0.0814888	0.120462	0.121346	0.104151	0.136848	0.172604	0.221171
a25	0.00147646	0.00116765	0.00152925	0.00253493	0.00846568	0.036107	0.065245	0.08151	0.0739565	0.141989	0.238239	0.347779
a92	0.0105315	0.00610473	0.00538701	0.00635983	0.0127354	0.0455755	0.07798	0.0894882	0.0775242	0.146055	0.225301	0.296958
a79	0.00087092	0.000934227	0.00190832	0.00410521	0.0103778	0.0346658	0.0519368	0.0531223	0.0809414	0.176784	0.264758	0.319596
a75	0.000684344	0.000791036	0.00168258	0.00356304	0.00831612	0.0279793	0.0422995	0.0438988	0.067516	0.1743	0.284633	0.344337
a6	0.000497569	0.000576854	0.00125631	0.00279915	0.00671329	0.0215738	0.0330476	0.0335583	0.0580779	0.164458	0.302543	0.374898
a37	0.000353323	0.000300162	0.000566046	0.00109066	0.00319292	0.0142773	0.0275938	0.0352198	0.0583412	0.1684	0.295029	0.395635
a88	0.00104745	0.000686962	0.000779759	0.00120915	0.00278127	0.0137412	0.0279929	0.0417098	0.0569693	0.160707	0.277398	0.414978
a71	0.00672541	0.00462916	0.00429902	0.00583897	0.00826385	0.0286357	0.0439251	0.0532713	0.067734	0.153035	0.238446	0.385196
a9	0.0286698	0.0174486	0.015496	0.0212575	0.0232309	0.0489951	0.0610311	0.0619478	0.0796603	0.136655	0.192322	0.313286
a87	0.105705	0.0438787	0.0327463	0.0348449	0.0316105	0.0658114	0.0716842	0.0724192	0.0840406	0.116762	0.140112	0.200385
a23	0.175538	0.055256	0.0288945	0.0272889	0.0285141	0.0620695	0.0777753	0.087385	0.106285	0.111719	0.107369	0.131907
a3	0.0217975	0.00812654	0.00601439	0.00822757	0.0135785	0.0482152	0.0679769	0.10129	0.12385	0.182099	0.21389	0.204935
a97	0.0108066	0.00576995	0.00600151	0.00835612	0.011165	0.0276434	0.0365341	0.0671054	0.0804685	0.154191	0.254191	0.337767
</S>	0.0189547	0.00873201	0.00667775	0.0069186	0.00757157	0.0183501	0.0256009	0.0541182	0.0722988	0.150645	0.263357	0.366775
