 	le	cabri	est	attaché	au	piquet	</S>
a87	0.441521	0.231133	0.099522	0.071556	0.0645241	0.0556942	0.0360493
a23	0.16508	0.0991585	0.103651	0.130768	0.157264	0.176559	0.167518
a53	0.380604	0.24247	0.165245	0.100474	0.0451221	0.0375922	0.0284934
a15	0.522213	0.3007	0.0899672	0.0342007	0.0170662	0.0186466	0.0172066
a94	0.344561	0.341187	0.15012	0.0875455	0.0328995	0.0212431	0.0224442
a32	0.272999	0.303326	0.177841	0.125815	0.0524576	0.0330326	0.0345293
a75	0.210359	0.236798	0.190732	0.1585	0.0879155	0.0605654	0.0551297
a98	0.246038	0.230908	0.183975	0.149358	0.0851589	0.0590345	0.0455287
a44	0.222713	0.190974	0.170262	0.151786	0.108621	0.087639	0.0680059
a26	0.164652	0.143203	0.170527	0.156495	0.140721	0.121342	0.103059
a11	0.08934	0.0866068	0.120445	0.112058	0.162316	0.203987	0.225248
a70	0.0623326	0.0665846	0.103294	0.116941	0.158546	0.203408	0.288894
a4	0.0471023	0.05047	0.0811884	0.11665	0.16583	0.203722	0.335037
a94	0.0522496	0.0566406	0.0810683	0.105558	0.155957	0.192189	0.356338
a98	0.0278228	0.0335138	0.0502153	0.075963	0.132111	0.19615	0.484224
a9	0.0251049	0.0263408	0.0352269	0.0457235	0.113847	0.203071	0.550686
a10	0.0108849	0.0130638	0.021624	0.0310362	0.0948951	0.212896	0.6156
a11	0.0113954	0.0124931	0.0190476	0.0262149	0.0948396	0.236158	0.599851
a62	0.0178474	0.016522	0.0229782	0.0270475	0.0933207	0.247505	0.574779
a47	0.0256311	0.0269194	0.0329568	0.0421775	0.0925367	0.217405	0.562374
a98	0.017847	0.0210076	0.0278495	0.0390118	0.108778	0.258567	0.526939
a9	0.0137232	0.0160337	0.0212963	0.0271819	0.0878606	0.228276	0.605629
a87	0.00978391	0.0123395	0.0207902	0.0304286	0.112676	0.271035	0.542947
</S>	0.0111774	0.0110884	0.0187621	0.0324646	0.140779	0.275647	0.510082
