 	les	bananes	sont	mures	</S>
a40	0.192045	0.102376	0.0877684	0.171834	0.445976
a41	0.228536	0.141497	0.172089	0.220345	0.237534
a2	0.564587	0.233017	0.102112	0.0579504	0.0423341
a38	0.471122	0.247212	0.124407	0.0853433	0.0719162
a25	0.335438	0.259888	0.175452	0.125863	0.103358
a76	0.355191	0.288019	0.18738	0.104934	0.0644757
a41	0.314432	0.248306	0.227521	0.132782	0.0769594
a94	0.200438	0.206976	0.291824	0.192603	0.108159
a24	0.143092	0.152993	0.259088	0.253097	0.191729
a98	0.106674	0.119672	0.256256	0.286464	0.230934
a66	0.0833849	0.100743	0.219821	0.287719	0.308333
a21	0.064884	0.0823516	0.18126	0.256784	0.414721
a12	0.0600049	0.0742358	0.140424	0.272765	0.452571
a98	0.0525704	0.0563769	0.116571	0.214675	0.559807
a50	0.0557438	0.0682175	0.132884	0.201026	0.542128
a98	0.0391434	0.0390203	0.0940557	0.175399	0.652381
a25	0.038733	0.053548	0.10937	0.185428	0.612921
a87	0.0268043	0.0389259	0.100294	0.198558	0.635418
</S>	0.0181841	0.0228793	0.0602106	0.164715	0.734011
