 	le	pic	pointillé	est	en	train	de	poursuivre	le	termite	</S>
a66	0.108648	0.0909808	0.131858	0.162188	0.170529	0.18544	0.100943	0.0315397	0.00856309	0.00508205	0.00422839
a87	0.421875	0.361775	0.0953465	0.047048	0.0229564	0.018019	0.0115881	0.00662363	0.00344588	0.00538386	0.00593952
a23	0.407433	0.296074	0.0836732	0.0571985	0.0373284	0.0396651	0.0310002	0.020199	0.0072772	0.00932366	0.0108271
a79	0.382766	0.230744	0.0510552	0.0329381	0.0223038	0.0229289	0.0244779	0.0302514	0.044084	0.0772266	0.0812233
a57	0.443698	0.189223	0.0488358	0.0404001	0.0387855	0.041157	0.0548401	0.049562	0.0281567	0.0279367	0.037405
a4	0.291212	0.139464	0.0709586	0.0692986	0.0644616	0.0573228	0.0639293	0.0679235	0.0566353	0.0538913	0.0649031
a44	0.270961	0.254534	0.150632	0.109126	0.0558968	0.0405337	0.0358261	0.0318224	0.0249518	0.0146784	0.0110371
a94	0.186809	0.269093	0.178745	0.128203	0.0754146	0.0547517	0.0436607	0.0336468	0.0182335	0.00683622	0.00460598
a54	0.116765	0.220082	0.17646	0.156189	0.111718	0.0798773	0.0543598	0.0439893	0.0241227	0.00939907	0.00703831
a79	0.103707	0.20197	0.169567	0.157006	0.115097	0.0991735	0.06988	0.036834	0.0204533	0.0129145	0.0133966
a7	0.0876176	0.175054	0.18065	0.161214	0.123654	0.0958174	0.0610556	0.0398774	0.0282616	0.0209639	0.025833
a53	0.0681451	0.0815254	0.157921	0.180707	0.155733	0.111268	0.0597457	0.0458047	0.0431603	0.0412018	0.0547877
a4	0.0644818	0.0703386	0.156771	0.18937	0.160703	0.122428	0.0656491	0.0400222	0.038485	0.0408223	0.0509282
a53	0.0490252	0.0489586	0.137312	0.176211	0.167452	0.136121	0.079147	0.0497764	0.0478282	0.0465922	0.0615774
a90	0.0290463	0.0260432	0.0840722	0.126329	0.138721	0.132669	0.100681	0.084367	0.0895412	0.0876171	0.100913
a15	0.0207153	0.0189994	0.0801307	0.119313	0.142205	0.140214	0.10843	0.108982	0.10312	0.0815223	0.0763687
a79	0.0130164	0.00831717	0.030159	0.0552615	0.0877812	0.10681	0.106258	0.14736	0.175115	0.143448	0.126474
a44	0.0103279	0.00594473	0.0207383	0.0415154	0.0717919	0.0889523	0.100597	0.148968	0.193795	0.176949	0.140421
a90	0.00664091	0.00393455	0.00748467	0.0125675	0.0244719	0.0394565	0.065054	0.107403	0.222614	0.276625	0.233748
a79	0.00284466	0.00184488	0.00399272	0.00665127	0.0132178	0.0220832	0.0383902	0.076648	0.196993	0.323845	0.313489
a37	0.00163666	0.00084954	0.00168261	0.00274265	0.00588914	0.0102613	0.0209085	0.0536423	0.178563	0.327611	0.396213
a92	0.00100758	0.000483933	0.000700771	0.000948798	0.00165546	0.00283141	0.00702882	0.0311137	0.153228	0.287822	0.513179
a37	0.000152266	6.53385e-05	0.000216008	0.000377761	0.00114568	0.00257497	0.00864877	0.0303304	0.137373	0.304649	0.514467
a18	0.000479677	0.000195911	0.000481408	0.000749679	0.00169533	0.0031793	0.0091095	0.0329592	0.140469	0.270541	0.54014
a56	0.00128979	0.00075836	0.00100975	0.0013958	0.00275349	0.00513015	0.0125038	0.0364559	0.116925	0.237798	0.58398
a37	0.000273746	0.000136608	0.000413608	0.000656115	0.00148467	0.00292245	0.00834223	0.0249521	0.10228	0.268562	0.589976
a18	0.000491877	0.000242147	0.000615961	0.000937456	0.00184253	0.00337274	0.0077782	0.0237356	0.086335	0.225194	0.649454
a71	0.00745134	0.00513959	0.00539951	0.0064524	0.00915289	0.013386	0.0213085	0.0362736	0.0808057	0.173896	0.640734
a82	0.0761092	0.0444492	0.0349693	0.0346885	0.0359682	0.0433358	0.0512895	0.0664286	0.106155	0.158618	0.347989
a87	0.218046	0.0920127	0.0509165	0.0501024	0.0468584	0.0513366	0.0507229	0.0550722	0.0776506	0.117174	0.190107
a23	0.333798	0.183587	0.07869	0.0683135	0.0549184	0.0559495	0.0437015	0.0329553	0.0333895	0.0427469	0.0719505
a87	0.1899	0.0886639	0.0240676	0.0186585	0.0184031	0.0225902	0.0320156	0.032627	0.0847992	0.153836	0.334439
</S>	0.0231145	0.0102643	0.00445211	0.00453125	0.00640146	0.00990355	0.0183833	0.0286845	0.110538	0.29373	0.489998
