 	il	a	contourné	ma	parcelle	parce	qu'	il	me	doit	de	l'	argent	</S>
a66	0.295724	0.14524	0.130585	0.0980592	0.0842616	0.0481791	0.0341564	0.0282119	0.0256402	0.0196352	0.0202112	0.0212122	0.0224317	0.0264517
a87	0.27421	0.161325	0.128827	0.0798293	0.07106	0.0559412	0.0394395	0.0290779	0.0274276	0.0247417	0.0253973	0.0275766	0.0254808	0.0296657
a79	0.298648	0.165165	0.119796	0.0633025	0.0492014	0.0498874	0.0458803	0.0341057	0.0312144	0.0292701	0.0279406	0.0283216	0.025303	0.0319638
a15	0.137899	0.12277	0.102059	0.073999	0.0581296	0.0661685	0.0595836	0.0459736	0.0522991	0.048254	0.0609145	0.0629291	0.0512629	0.0577577
a79	0.159658	0.152086	0.116273	0.0766461	0.0697353	0.0538203	0.045891	0.0396751	0.0415247	0.0374044	0.0498473	0.051259	0.050596	0.0555835
a21	0.172768	0.194022	0.162356	0.0709212	0.0658308	0.0431466	0.0304586	0.0272156	0.0307379	0.0269818	0.0408075	0.0425921	0.0428908	0.0492718
a96	0.239153	0.286265	0.22086	0.052295	0.0419318	0.024159	0.0175535	0.0127902	0.0128029	0.0106251	0.0159618	0.0192674	0.0208875	0.0254477
a21	0.237905	0.27147	0.220856	0.060211	0.051903	0.0341276	0.0243043	0.0166711	0.0147365	0.0109959	0.0129876	0.0133257	0.0138313	0.0166744
a61	0.154462	0.216455	0.235565	0.0751971	0.0668917	0.0444649	0.0295403	0.0217406	0.0208991	0.0174236	0.0217935	0.0262893	0.0300836	0.0391936
a43	0.194657	0.236709	0.241158	0.0751371	0.0598645	0.0372529	0.0264875	0.0187843	0.017644	0.0141277	0.0162279	0.0181724	0.0197159	0.024062
a96	0.0999583	0.142249	0.222236	0.115611	0.102086	0.0741499	0.0545064	0.0372059	0.0321904	0.0248764	0.022365	0.022095	0.023176	0.0272944
a83	0.0927018	0.126621	0.236422	0.129205	0.111233	0.069784	0.0492305	0.0329646	0.028881	0.0229688	0.0225396	0.0240021	0.0251149	0.0283321
a75	0.0484676	0.0647274	0.182256	0.153354	0.143079	0.104868	0.0740292	0.0455959	0.0381405	0.0292189	0.0264091	0.0275074	0.0292357	0.0331107
a85	0.0174187	0.027712	0.0994595	0.123619	0.124817	0.10066	0.0758805	0.0629568	0.0605334	0.0528532	0.0512079	0.0581844	0.0658266	0.0788707
a37	0.0116465	0.0209792	0.0920005	0.1339	0.133913	0.106463	0.0728872	0.059968	0.0525466	0.047461	0.0424597	0.0533417	0.0747469	0.0976861
a75	0.0121945	0.0191098	0.0551319	0.0863478	0.0923532	0.0789578	0.067595	0.0611426	0.0618013	0.0618828	0.0594988	0.079483	0.118272	0.146229
a47	0.00611278	0.0107781	0.0301519	0.0501811	0.0610111	0.0637104	0.0676057	0.084672	0.0926488	0.0900496	0.0833864	0.0980112	0.123308	0.138373
a6	0.0099442	0.0157477	0.0389399	0.0616205	0.0733507	0.0823114	0.0821998	0.0895695	0.0809823	0.0766631	0.0657236	0.0772756	0.111508	0.134163
a26	0.00801209	0.014082	0.0337139	0.0568329	0.0652765	0.0697058	0.0728164	0.0852619	0.0846873	0.079235	0.0723886	0.0874743	0.126234	0.144279
a43	0.0144286	0.0199967	0.0373447	0.0566765	0.0530592	0.0549314	0.0541375	0.0581614	0.057743	0.0643349	0.0552777	0.0821973	0.165096	0.226615
a96	0.0100934	0.0128626	0.0263562	0.0479251	0.052565	0.0544068	0.0548774	0.062652	0.0650801	0.0707812	0.0606178	0.0890531	0.162152	0.230577
a75	0.0145453	0.0155237	0.0274692	0.0476969	0.0466003	0.0509458	0.0545759	0.0609634	0.064781	0.0756974	0.0607287	0.0895103	0.161054	0.229908
a47	0.00191365	0.00327887	0.00764292	0.016606	0.0198576	0.0234048	0.0250875	0.0368793	0.0456548	0.0618784	0.0647624	0.11983	0.253554	0.31965
a15	0.00257213	0.00409259	0.00989574	0.0195938	0.0233651	0.0346414	0.0380228	0.0581406	0.0703777	0.0984898	0.0839222	0.117129	0.19725	0.242507
a79	0.00220143	0.00323098	0.00729103	0.0156557	0.0147588	0.0187858	0.0199077	0.0320242	0.0412075	0.0710182	0.0698925	0.122181	0.253823	0.328022
a98	0.00160107	0.0025094	0.00610824	0.0133254	0.0126665	0.0189503	0.0232079	0.0390474	0.0480453	0.0831378	0.0805287	0.130314	0.244502	0.296056
a92	0.00117447	0.0020812	0.00566617	0.0129657	0.0117705	0.0192553	0.0232963	0.0382318	0.044682	0.0788477	0.0777785	0.131519	0.251793	0.300939
a44	0.000582073	0.000871328	0.00203075	0.00604679	0.00604541	0.0103653	0.0150532	0.0309404	0.0436699	0.0848452	0.0862346	0.146165	0.259221	0.307929
a12	0.00120153	0.00163125	0.00368496	0.00884884	0.00833061	0.0132059	0.0173008	0.0317942	0.0385954	0.0719978	0.0763725	0.135287	0.254383	0.337367
a96	0.00149489	0.00195991	0.00443936	0.00956753	0.00883096	0.0134733	0.0172074	0.0280936	0.0327601	0.0613187	0.0646316	0.125526	0.254446	0.376251
a75	0.00147227	0.00205969	0.00454541	0.00926642	0.0085819	0.0129885	0.0161936	0.0254606	0.0299783	0.0575468	0.0604204	0.121587	0.258436	0.391463
a5	0.000679743	0.00105421	0.00225761	0.00581166	0.00594818	0.00943073	0.0118659	0.019506	0.0251305	0.0508591	0.0531256	0.115141	0.275029	0.424161
a61	0.00122472	0.0015425	0.00309307	0.00654413	0.00665622	0.0101961	0.0136966	0.02235	0.0288205	0.0564496	0.0592433	0.119958	0.259751	0.410474
a18	0.00149872	0.00217065	0.00456472	0.00876631	0.0085733	0.0129474	0.0161288	0.0240071	0.0282176	0.0540313	0.0581138	0.119531	0.256958	0.404491
a61	0.0136041	0.0141985	0.0230768	0.0363556	0.0327903	0.0408569	0.0514392	0.0695092	0.0649012	0.0858132	0.0887081	0.11235	0.173205	0.193192
a12	0.00229391	0.00358603	0.00809737	0.0146461	0.0133329	0.018436	0.021732	0.0299453	0.0341274	0.0624256	0.0714883	0.128069	0.26241	0.32941
a96	0.00123001	0.00169505	0.00366837	0.00890122	0.0080717	0.0118153	0.0152711	0.0226543	0.0254039	0.0482229	0.0521496	0.105322	0.266781	0.428814
a66	0.00136462	0.00186948	0.00378889	0.0095034	0.00844745	0.0116303	0.0160414	0.0248784	0.0291471	0.0546839	0.0595929	0.112491	0.264851	0.40171
a71	0.00191347	0.00288425	0.00607611	0.012985	0.0116865	0.0158658	0.0208451	0.0318606	0.0367411	0.0655674	0.0719256	0.124151	0.253168	0.34433
a9	0.0219164	0.0229764	0.0309087	0.0486511	0.0414838	0.0516299	0.0608699	0.0740746	0.0654617	0.0822497	0.0826532	0.100248	0.154444	0.162433
a3	0.072708	0.0527224	0.0667953	0.0770654	0.0561817	0.0705766	0.0709627	0.0728299	0.0603048	0.0669725	0.0642223	0.0730703	0.0914141	0.104174
a97	0.098169	0.0596033	0.0865752	0.0749622	0.0570797	0.0657522	0.0630075	0.0626893	0.0577961	0.06319	0.0609296	0.070954	0.0788047	0.100487
a57	0.0761935	0.0541098	0.0845776	0.0716907	0.0581429	0.0622083	0.062801	0.0698899	0.0725387	0.0761175	0.0714918	0.0774592	0.078563	0.0842162
</S>	0.0588859	0.0373822	0.0537943	0.0540489	0.0414655	0.0540409	0.0585767	0.0619389	0.0599761	0.0713877	0.0713445	0.0949351	0.122296	0.159928
