 	la	plantation	est	au-delà	du	village	</S>
a40	0.284448	0.138415	0.0969636	0.0952465	0.111228	0.135133	0.138567
a73	0.149187	0.064774	0.0653748	0.0970969	0.12984	0.202182	0.291546
a44	0.415653	0.208952	0.132759	0.0690985	0.0535291	0.0547062	0.065302
a70	0.41586	0.269381	0.20448	0.069123	0.0143608	0.0113419	0.0154525
a90	0.294042	0.298378	0.26995	0.0758278	0.0194588	0.0181903	0.0241527
a98	0.216012	0.272222	0.301707	0.110464	0.0346331	0.0295126	0.0354494
a75	0.163764	0.188249	0.227329	0.180792	0.0873882	0.0729265	0.0795517
a41	0.162043	0.181787	0.217583	0.182407	0.100976	0.0781573	0.0770461
a35	0.125752	0.123953	0.160647	0.246633	0.138752	0.10267	0.101593
a26	0.0916299	0.0869516	0.120468	0.260895	0.181459	0.134526	0.12407
a61	0.102603	0.0702263	0.0916718	0.267265	0.185656	0.134289	0.148288
a75	0.0892201	0.0602434	0.0849726	0.258655	0.248243	0.133996	0.12467
a25	0.125047	0.096307	0.0998625	0.18826	0.202876	0.148826	0.138821
a56	0.0551242	0.0428267	0.0593506	0.204784	0.276217	0.185908	0.175789
a43	0.0790089	0.0570324	0.0733711	0.187187	0.277962	0.181746	0.143693
a11	0.0566065	0.0351349	0.0469706	0.11672	0.254637	0.260696	0.229235
a21	0.0662209	0.0387382	0.0460999	0.0949336	0.198457	0.281015	0.274536
a85	0.0332252	0.022923	0.0254764	0.0523263	0.154438	0.31954	0.392071
a41	0.0160737	0.0100069	0.0126186	0.041587	0.16205	0.332267	0.425397
a56	0.0163091	0.00821292	0.0125214	0.0483384	0.169794	0.328117	0.416707
a98	0.0456118	0.0218334	0.0279828	0.0746153	0.164134	0.289407	0.376416
a73	0.0338167	0.0197018	0.0251287	0.0735322	0.171915	0.306503	0.369402
a44	0.0239916	0.00988782	0.0149336	0.0567558	0.165861	0.30025	0.42832
a57	0.0221593	0.0101926	0.0149666	0.0538124	0.155564	0.29498	0.448325
a53	0.00400097	0.00175944	0.00264114	0.00947979	0.0567678	0.250414	0.674937
a4	0.0315717	0.0143156	0.0199718	0.0578073	0.13866	0.288838	0.448836
a13	0.0229114	0.0078718	0.00996053	0.0247769	0.0673602	0.230659	0.63646
a9	0.00478257	0.00167916	0.00263892	0.0101687	0.0702691	0.292345	0.618117
a87	0.00500167	0.00173842	0.00312574	0.0125277	0.0696934	0.278727	0.629186
</S>	0.0251241	0.0180174	0.024465	0.0326858	0.0825119	0.2787	0.538496
