 	cette	femme	m'	a	dénigré	parce	que	je	lui	dois	de	l'	argent	</S>
a66	0.176992	0.156758	0.153345	0.112426	0.0623418	0.043768	0.0353592	0.0407467	0.0404223	0.0521309	0.043237	0.0341272	0.0267789	0.0215667
a87	0.320384	0.156087	0.144468	0.114004	0.044818	0.027624	0.0277562	0.0268488	0.0190159	0.0217406	0.0206195	0.0240327	0.0266558	0.0259458
a23	0.299976	0.173814	0.145152	0.152491	0.0840956	0.0294232	0.0249771	0.0145316	0.0112352	0.0121902	0.0113653	0.0120222	0.0128147	0.0159113
a87	0.291848	0.147575	0.154635	0.128371	0.0763383	0.0382911	0.0300145	0.0179807	0.011625	0.0110438	0.0136585	0.016802	0.0235423	0.0382758
a23	0.302874	0.167633	0.159449	0.125837	0.0687668	0.0276746	0.0212075	0.0139378	0.0102409	0.0124658	0.0165889	0.0208687	0.0242705	0.0281864
a13	0.204848	0.109956	0.118231	0.115012	0.0844999	0.0432925	0.0344308	0.0253459	0.0223565	0.0244886	0.0351909	0.045338	0.0582886	0.0787217
a50	0.178261	0.115598	0.123162	0.118416	0.0779334	0.031417	0.0239502	0.0179544	0.0160785	0.0187378	0.0327781	0.0555509	0.079432	0.11073
a70	0.222333	0.1467	0.140582	0.113472	0.0728114	0.0352842	0.0286983	0.0233379	0.0163947	0.0177718	0.0301847	0.0393972	0.0477144	0.0653181
a90	0.142916	0.130631	0.143514	0.134584	0.101802	0.0488802	0.0411901	0.0333352	0.0197516	0.0225738	0.0352077	0.0402199	0.0441419	0.0612536
a79	0.0712906	0.0832831	0.0977303	0.127353	0.147327	0.0827292	0.0706492	0.0578005	0.0309511	0.0280864	0.0387949	0.0442511	0.0501813	0.0695721
a56	0.0483369	0.0652716	0.0827605	0.1191	0.156752	0.100228	0.088948	0.0781088	0.043333	0.0376747	0.0410982	0.0409786	0.0428999	0.0545098
a32	0.0511284	0.0640152	0.0881207	0.119577	0.17471	0.109662	0.0993149	0.0879454	0.0407946	0.0304034	0.0256947	0.0264084	0.0335993	0.0486257
a21	0.0263937	0.0401931	0.0559604	0.096724	0.16217	0.123121	0.117988	0.104632	0.0518777	0.0412629	0.0331464	0.0343542	0.0437946	0.068382
a12	0.0292318	0.0419698	0.0576142	0.0882923	0.142867	0.125929	0.126391	0.112975	0.0694373	0.0573212	0.0386279	0.032166	0.0334647	0.0437125
a96	0.0160807	0.0290364	0.0410875	0.0737959	0.123097	0.13791	0.148929	0.131533	0.0805144	0.0672927	0.0425682	0.0338036	0.0329181	0.0414338
a0	0.0119718	0.0232868	0.0317377	0.064131	0.117004	0.164341	0.177311	0.147926	0.079345	0.0614826	0.0347248	0.026712	0.0263732	0.0336534
a96	0.0116151	0.0219179	0.0288285	0.0624809	0.111513	0.173331	0.177008	0.149561	0.0826065	0.0636841	0.0310259	0.0235541	0.0255461	0.0373274
a75	0.0171466	0.0287961	0.0373436	0.070384	0.106472	0.159263	0.159984	0.138368	0.0797834	0.064448	0.0343743	0.0280392	0.0313191	0.0442782
a5	0.0109003	0.0172096	0.0217597	0.033416	0.0372281	0.0891967	0.119469	0.127348	0.109139	0.114092	0.0855271	0.072488	0.0713935	0.0908334
a36	0.00970922	0.0154199	0.0209971	0.033049	0.0405381	0.0867621	0.124491	0.131653	0.123698	0.117371	0.0830092	0.0679073	0.0658894	0.0795057
a11	0.010925	0.0164067	0.0226072	0.0359404	0.042405	0.086608	0.10683	0.112231	0.117602	0.115515	0.0776471	0.0683164	0.0775368	0.109429
a61	0.0155746	0.0212887	0.0279318	0.0418809	0.0495257	0.0835811	0.0905167	0.0929637	0.103456	0.106803	0.0786716	0.0747117	0.0871913	0.125902
a12	0.00693157	0.00987876	0.0142383	0.0235153	0.0345521	0.0620591	0.0750658	0.0851538	0.115742	0.124952	0.100995	0.0923841	0.107848	0.146684
a18	0.00667493	0.0093924	0.013302	0.0178875	0.0219409	0.0367256	0.0483754	0.0604078	0.099988	0.115779	0.115716	0.114795	0.141564	0.197451
a62	0.00615934	0.00840744	0.0112203	0.0148389	0.0172	0.0331577	0.0353127	0.0375674	0.0611975	0.08549	0.105223	0.140923	0.178096	0.265207
a88	0.00489439	0.00681997	0.0096829	0.0135233	0.0174319	0.0325366	0.0422474	0.0503966	0.0860556	0.10637	0.117606	0.131325	0.159226	0.221885
a61	0.00320917	0.00442592	0.00583845	0.0072849	0.00804857	0.0152747	0.016392	0.0180658	0.0343659	0.0555918	0.0861938	0.155163	0.23809	0.352056
a47	0.00217897	0.00306277	0.00437196	0.00655031	0.0079424	0.0150201	0.0168654	0.0200523	0.0387654	0.0549207	0.0827702	0.139317	0.233984	0.374199
a88	0.00285572	0.00383322	0.00534968	0.00728172	0.00818504	0.013668	0.0143828	0.0156346	0.0290042	0.0414436	0.0717076	0.141494	0.252427	0.392733
a61	0.000967105	0.00136857	0.00194983	0.00280549	0.00343651	0.00818889	0.0100555	0.0117847	0.0209112	0.0307517	0.0512368	0.108986	0.245972	0.501586
a12	0.000544216	0.000770616	0.00105692	0.00159009	0.00178341	0.00383781	0.00416023	0.00507518	0.0115737	0.0194656	0.0415123	0.107469	0.266513	0.534648
a96	0.000520623	0.000691219	0.000979985	0.00134785	0.00146407	0.00360252	0.00452363	0.00582395	0.0121253	0.0184114	0.0389127	0.0981523	0.247095	0.56635
a70	0.000327005	0.000439434	0.000632675	0.000935978	0.00102566	0.00246172	0.00274315	0.003147	0.00656413	0.0111068	0.0266142	0.079988	0.241262	0.622753
a53	0.000397992	0.000511227	0.000698828	0.00112373	0.00133126	0.00314859	0.0032391	0.00315785	0.00605736	0.00993765	0.0239043	0.0768028	0.25018	0.619509
a69	0.000153124	0.00019313	0.000213487	0.000386091	0.000453902	0.00167477	0.00198817	0.00201269	0.00489268	0.0079621	0.0199817	0.070595	0.253716	0.635777
a58	0.000154293	0.000183304	0.000178185	0.000373413	0.00043031	0.00168275	0.0020101	0.00174971	0.00435801	0.00668575	0.0163401	0.0607134	0.23693	0.668211
