 	la	maman	voit	comment	mange	son	enfant	</S>
a66	0.448624	0.291914	0.150511	0.0565854	0.0226662	0.0121327	0.00939337	0.00817426
a87	0.295759	0.129298	0.145907	0.0924254	0.06587	0.0774124	0.0927497	0.100578
a97	0.274461	0.151824	0.0909788	0.0886358	0.0768437	0.0902195	0.102081	0.124956
a13	0.325967	0.156819	0.0718152	0.0692991	0.0662683	0.0930016	0.0983767	0.118453
a53	0.442605	0.175758	0.0806583	0.0568679	0.0441486	0.0630163	0.0655486	0.0713968
a90	0.5165	0.19192	0.079804	0.0422124	0.0326987	0.0424939	0.0474424	0.046929
a56	0.616352	0.177619	0.0665013	0.0320952	0.0241856	0.0253476	0.0291866	0.0287124
a98	0.550451	0.19566	0.0826377	0.0427855	0.0307346	0.0283782	0.0331549	0.0361986
a85	0.442608	0.222741	0.123185	0.0589281	0.0385998	0.0331111	0.037613	0.0432135
a47	0.378439	0.217775	0.153828	0.0857317	0.050848	0.0322771	0.0346027	0.0464984
a6	0.288696	0.239814	0.167371	0.0892471	0.055113	0.0409494	0.0502589	0.0685501
a36	0.282862	0.259681	0.177615	0.0863465	0.0489175	0.0354153	0.044615	0.0645469
a2	0.209397	0.242496	0.18207	0.103819	0.0637888	0.0482521	0.0598145	0.0903623
a75	0.100045	0.192809	0.194767	0.146352	0.0823594	0.067025	0.0868769	0.129765
a85	0.08614	0.128749	0.135963	0.101365	0.0984532	0.0942667	0.12813	0.226933
a92	0.0499049	0.129121	0.178616	0.136456	0.119224	0.0936681	0.107833	0.185178
a37	0.0388959	0.117269	0.168823	0.157829	0.152262	0.117538	0.107323	0.140059
a21	0.0312342	0.111471	0.17369	0.188292	0.141482	0.0891941	0.101622	0.163015
a12	0.0246315	0.0656609	0.129933	0.140146	0.164204	0.134917	0.14089	0.199617
a96	0.015604	0.0503897	0.126339	0.141574	0.175684	0.132935	0.140734	0.216741
a62	0.0133517	0.0421189	0.0999666	0.129677	0.173554	0.141966	0.153944	0.245421
a21	0.0114944	0.0315354	0.0698374	0.0974006	0.15121	0.173955	0.19639	0.268177
a12	0.00860279	0.0225005	0.0560422	0.0667286	0.1265	0.174926	0.223885	0.320815
a75	0.00709525	0.0193581	0.042702	0.0565751	0.104663	0.169949	0.247401	0.352256
a47	0.00294696	0.0100384	0.0237151	0.0344861	0.0769781	0.141198	0.261099	0.449538
a7	0.00118214	0.003882	0.0118094	0.0194806	0.0616058	0.164259	0.300511	0.437271
a54	0.00179778	0.00420323	0.00739522	0.013351	0.0273952	0.0900438	0.249443	0.606371
a47	0.00109925	0.00247663	0.00587425	0.0132188	0.0370831	0.134805	0.291501	0.513942
a7	0.000522644	0.0014241	0.00441865	0.00891631	0.0335269	0.127224	0.297631	0.526336
a26	0.000476112	0.000994631	0.00279054	0.00652491	0.0232541	0.0910156	0.260911	0.614033
a57	0.0129656	0.0143705	0.028315	0.0473266	0.0949268	0.148689	0.231886	0.421521
a97	0.0341237	0.0260883	0.0403704	0.0737907	0.112327	0.160212	0.204387	0.348701
a87	0.0684505	0.0404842	0.0626232	0.0914456	0.137084	0.199881	0.184493	0.215538
a97	0.0454175	0.0389425	0.0838943	0.120744	0.1714	0.220872	0.163827	0.154902
</S>	0.0489252	0.0554002	0.0773925	0.11277	0.139913	0.192613	0.182575	0.190411
