 	notre	oncle	a	déjà	construit	un	barrage	à	nasses	</S>
a23	0.491528	0.159658	0.0757329	0.044794	0.0284436	0.0223024	0.02669	0.038048	0.0456765	0.0671273
a13	0.456893	0.245478	0.113557	0.058595	0.0254484	0.0176179	0.0127199	0.0177878	0.020915	0.0309876
a90	0.31822	0.22507	0.114984	0.0591657	0.0303979	0.0267166	0.0241474	0.0409591	0.0588613	0.101478
a94	0.519239	0.192365	0.0739212	0.0314309	0.0205157	0.0192351	0.0183543	0.0252782	0.0347818	0.0648788
a25	0.269939	0.205554	0.123483	0.0800732	0.060033	0.0515748	0.0437872	0.0433049	0.0496441	0.0726072
a56	0.223034	0.21923	0.156185	0.104548	0.0709029	0.0575758	0.0455955	0.0384435	0.0382242	0.0462619
a15	0.158518	0.19024	0.161101	0.123174	0.090707	0.0719152	0.0595827	0.0455039	0.0451023	0.0541559
a73	0.147665	0.180415	0.153761	0.115145	0.0912641	0.0816767	0.0712058	0.0518471	0.0489489	0.0580718
a44	0.0978719	0.115594	0.125155	0.110593	0.106651	0.099992	0.109647	0.0789599	0.0737006	0.0818356
a11	0.0585985	0.0744454	0.0974373	0.11157	0.111104	0.115403	0.119824	0.0971204	0.0951466	0.119351
a75	0.0330996	0.0431281	0.0632535	0.0900777	0.102547	0.114262	0.130817	0.119217	0.127932	0.175666
a73	0.0214695	0.022354	0.0257119	0.0351261	0.0612828	0.105022	0.186852	0.173773	0.171293	0.197115
a36	0.0549355	0.0500919	0.0565891	0.0696049	0.0884659	0.105054	0.160892	0.135189	0.130564	0.148612
a56	0.0389051	0.0373154	0.0475226	0.0695175	0.0992529	0.116866	0.150428	0.133632	0.137653	0.168907
a90	0.0240863	0.0242202	0.031691	0.0452158	0.0713352	0.11514	0.171766	0.158319	0.161897	0.19633
a13	0.0178197	0.0184162	0.0252408	0.0393503	0.0642773	0.102816	0.173354	0.178559	0.179371	0.200796
a53	0.0143591	0.0147294	0.0218965	0.0385742	0.0719501	0.107338	0.161422	0.148523	0.167511	0.253696
a90	0.0072278	0.00767629	0.0121565	0.02187	0.0476375	0.0846996	0.169786	0.173492	0.197299	0.278155
a15	0.0105052	0.0108566	0.0143579	0.0224965	0.0459472	0.0906378	0.170057	0.18415	0.19917	0.251821
a73	0.00605693	0.00547875	0.00673824	0.010605	0.0245327	0.0550116	0.14476	0.209122	0.233875	0.303819
a44	0.0108583	0.00852268	0.00935448	0.0118734	0.0260529	0.0504948	0.135562	0.198199	0.231951	0.317131
a15	0.016809	0.0172457	0.0225269	0.0286843	0.0453007	0.0755043	0.177034	0.186509	0.198138	0.232248
a56	0.00509813	0.00429819	0.00551694	0.00807697	0.0179958	0.0360744	0.11438	0.173297	0.239054	0.396209
a66	0.0160576	0.0113888	0.0134896	0.01786	0.0334583	0.0607799	0.127743	0.158385	0.215156	0.345681
a9	0.00495738	0.00262376	0.00249816	0.00295312	0.00597711	0.0139278	0.0538864	0.142406	0.275559	0.495211
a10	0.0112214	0.00598616	0.00495038	0.00483977	0.00856982	0.0214666	0.0853583	0.192136	0.272883	0.392588
a87	0.10772	0.0690006	0.0577693	0.0432139	0.0392516	0.0518911	0.0939567	0.151514	0.169569	0.216114
</S>	0.124006	0.0846773	0.0729462	0.055707	0.045233	0.0556781	0.10006	0.142436	0.145695	0.17356
