 	mon	coeur	bat	trop	vite	</S>
a66	0.554742	0.196767	0.0825572	0.059648	0.0538268	0.0524584
a87	0.435803	0.254851	0.123457	0.106374	0.0453453	0.0341698
a23	0.59754	0.258729	0.0611881	0.0413665	0.0198551	0.0213215
a30	0.538643	0.298293	0.067766	0.0434749	0.0224414	0.0293817
a4	0.55362	0.195001	0.0545898	0.0637148	0.0539527	0.0791214
a57	0.449482	0.259068	0.135172	0.0892773	0.0387856	0.0282159
a90	0.309959	0.267601	0.215408	0.116374	0.0496966	0.0409607
a56	0.177268	0.258149	0.315249	0.167999	0.0485406	0.0327933
a94	0.117907	0.189552	0.287601	0.246881	0.0939378	0.0641215
a69	0.131136	0.168826	0.255686	0.256093	0.106779	0.0814801
a75	0.0737017	0.0969578	0.176642	0.287804	0.200531	0.164363
a5	0.066584	0.0693165	0.111901	0.218589	0.267348	0.266262
a6	0.0755677	0.0598763	0.0854137	0.139829	0.269351	0.369963
a36	0.0233703	0.0208805	0.0367395	0.0923393	0.313784	0.512886
a20	0.0221551	0.0176736	0.0352811	0.0636063	0.285802	0.575482
a15	0.010999	0.00876084	0.0186913	0.0453373	0.279684	0.636527
a36	0.00375495	0.00334794	0.00941118	0.0298888	0.251494	0.702103
a2	0.00586734	0.0055063	0.0149277	0.0375596	0.169272	0.766867
a57	0.0516905	0.0404053	0.0473725	0.0820582	0.15918	0.619293
a87	0.32935	0.131849	0.0695723	0.0887499	0.131937	0.248542
a23	0.516361	0.193497	0.0679294	0.0620452	0.0701235	0.0900438
a87	0.368187	0.170835	0.05492	0.0679423	0.135399	0.202717
</S>	0.0391055	0.028466	0.0254928	0.06032	0.229268	0.617348
