 	sa	mère	a	plus	d'	amour	pour	lui	que	pour	son	frère	</S>
a23	0.227118	0.123019	0.0831379	0.0882229	0.0986269	0.0876805	0.0744924	0.0596828	0.0425612	0.0348497	0.0283226	0.0265103	0.0257754
a87	0.270797	0.219342	0.131175	0.0737052	0.0500764	0.0559501	0.0350783	0.0261825	0.0217644	0.0238784	0.02505	0.0288791	0.0381213
a23	0.0938432	0.104007	0.095188	0.0698616	0.05327	0.0633061	0.0524407	0.0502954	0.0516506	0.065182	0.0821013	0.0931874	0.125667
a38	0.185588	0.203783	0.154002	0.0971595	0.0613521	0.0659742	0.0333487	0.027276	0.0218937	0.0267208	0.0292913	0.0373942	0.056217
a70	0.40006	0.313054	0.134059	0.0631778	0.0280621	0.022736	0.01163	0.00801864	0.00458357	0.00378403	0.00294621	0.00342041	0.00446731
a83	0.29603	0.291169	0.169235	0.0846244	0.0430091	0.0387001	0.0251226	0.0166992	0.00964778	0.00724651	0.00617814	0.00582133	0.00651684
a90	0.179267	0.186755	0.139608	0.097175	0.0712179	0.0681455	0.0555805	0.0457782	0.0360115	0.0313223	0.0309648	0.0284796	0.0296951
a20	0.114119	0.127835	0.116552	0.100426	0.0869908	0.0821668	0.0737944	0.0635897	0.0523417	0.0471871	0.0477879	0.0437061	0.0435048
a73	0.114866	0.135807	0.124984	0.106658	0.0910033	0.0854248	0.0797769	0.0674433	0.0506654	0.0423805	0.0380532	0.0327144	0.0302233
a76	0.0733977	0.0893981	0.0927566	0.0908348	0.0915118	0.0996349	0.104893	0.0941093	0.0701423	0.0571546	0.0498405	0.0439193	0.0424072
a14	0.076819	0.0900046	0.0998487	0.0995568	0.0967767	0.104388	0.114936	0.106247	0.0767687	0.0520453	0.0357476	0.0257448	0.0211172
a35	0.0585203	0.0752156	0.0860668	0.092888	0.0990374	0.120981	0.12602	0.113658	0.0833358	0.0575621	0.0379452	0.0265943	0.0221756
a26	0.0411777	0.0611882	0.0848518	0.108264	0.123116	0.144981	0.13786	0.109408	0.0692679	0.0455842	0.030437	0.0228375	0.0210278
a38	0.0319556	0.0511617	0.0693908	0.0906909	0.120786	0.158342	0.137332	0.110387	0.0776113	0.0550321	0.0381062	0.0294893	0.0297152
a24	0.0226555	0.0385691	0.0546995	0.0808272	0.124348	0.173599	0.147784	0.117992	0.0825988	0.0587602	0.0396097	0.0298212	0.0287365
a35	0.0272946	0.040044	0.0573246	0.0875959	0.12222	0.162613	0.162994	0.13012	0.0823776	0.0539907	0.0326352	0.0217445	0.0190454
a90	0.0217153	0.0355331	0.0498558	0.0750722	0.122918	0.180593	0.167388	0.129369	0.079003	0.0530389	0.0342888	0.0256253	0.0255998
