 	si	tu	ne	bouges	pas	je	ne	te	ferai	pas	de	mal	</S>
a23	0.22661	0.153417	0.0945354	0.0738517	0.0633445	0.0677492	0.053585	0.036637	0.030836	0.0349871	0.0446073	0.0558521	0.0639874
a87	0.18957	0.168699	0.128437	0.122016	0.07663	0.0585993	0.0354424	0.024139	0.0165564	0.0239114	0.0359515	0.0489537	0.0710946
a23	0.0866921	0.0854217	0.0853552	0.10998	0.101333	0.087529	0.0689545	0.054003	0.0356964	0.0464007	0.0614718	0.075624	0.101539
a87	0.0920649	0.10365	0.0933532	0.0857113	0.055731	0.0335131	0.0259534	0.0232885	0.0176423	0.0361546	0.0751851	0.130697	0.227055
a23	0.0767218	0.0780667	0.0712328	0.0656443	0.0525689	0.0386157	0.0327399	0.0305392	0.0256297	0.0446712	0.0824371	0.14825	0.252882
a99	0.107917	0.103957	0.0745309	0.0466463	0.0294597	0.0187346	0.0181562	0.0193993	0.0173543	0.0349516	0.0747422	0.149056	0.305095
a20	0.246602	0.230152	0.144201	0.0605001	0.0330791	0.0201307	0.0160195	0.019883	0.0149448	0.0309798	0.0481375	0.0610302	0.0743392
a30	0.333057	0.293507	0.153602	0.0523321	0.0267293	0.0183667	0.0138665	0.0133811	0.0104491	0.0134906	0.0190623	0.0232616	0.0288954
a35	0.235428	0.224778	0.17621	0.0988861	0.0667746	0.0495898	0.0357331	0.0265693	0.0182919	0.0168099	0.0179491	0.0168737	0.016106
a56	0.177266	0.184271	0.158297	0.110925	0.0859091	0.072518	0.0598173	0.0433259	0.0293954	0.02266	0.0209708	0.0183594	0.0162845
a35	0.137441	0.15359	0.148619	0.121632	0.10104	0.0893303	0.0738876	0.0523368	0.037056	0.0257586	0.0218509	0.0193046	0.0181526
a94	0.118579	0.121233	0.121962	0.119517	0.113923	0.108406	0.0955108	0.069181	0.0430994	0.0288058	0.0226688	0.0192665	0.0178468
a98	0.110097	0.115042	0.120109	0.125483	0.120734	0.114548	0.0998447	0.0728978	0.043338	0.0263441	0.019689	0.0165144	0.0153588
a41	0.0874685	0.0936804	0.110843	0.139094	0.148859	0.134041	0.110102	0.0751383	0.0401643	0.022365	0.0149522	0.0120222	0.0112701
a35	0.0842226	0.0961349	0.114856	0.126351	0.148347	0.127551	0.102212	0.0782595	0.0454053	0.0300095	0.0182902	0.0146757	0.0136866
a7	0.0589236	0.0740889	0.111726	0.135059	0.155776	0.132117	0.103364	0.0814432	0.0498812	0.0359319	0.0227046	0.0195046	0.0194798
a32	0.0408132	0.0534385	0.104951	0.150435	0.171986	0.148477	0.118244	0.0796694	0.0370064	0.0271665	0.018999	0.0202806	0.0285339
a26	0.0620608	0.0759293	0.122074	0.134189	0.153931	0.136759	0.108873	0.0756411	0.0397789	0.0279885	0.0195224	0.0194423	0.0238099
a35	0.0688721	0.0837844	0.133673	0.14268	0.150428	0.129068	0.101509	0.0670454	0.0351048	0.0242642	0.0179117	0.0186428	0.0270163
a14	0.0512834	0.0621099	0.105824	0.118857	0.140009	0.132466	0.117373	0.0899932	0.0537107	0.0435166	0.0282137	0.0260393	0.0306043
a2	0.0713118	0.0849398	0.131738	0.104778	0.107314	0.104485	0.102863	0.0878969	0.0593267	0.0499667	0.0335916	0.0293199	0.0324696
a40	0.0608815	0.0731946	0.121752	0.11852	0.107303	0.102779	0.102935	0.0828617	0.0441722	0.0389298	0.0319431	0.0422901	0.0724378
a30	0.049306	0.0550643	0.0807004	0.094621	0.112175	0.101569	0.09131	0.0777619	0.0558694	0.0725616	0.059231	0.064572	0.0852587
a2	0.0466161	0.0509182	0.0680968	0.0692151	0.0761092	0.0896345	0.119429	0.115054	0.0844508	0.0883906	0.0669119	0.0604821	0.0646919
a57	0.028537	0.0361509	0.0603249	0.0976658	0.106907	0.124848	0.139845	0.100166	0.0500056	0.0496402	0.0423579	0.0579549	0.105597
a87	0.0341448	0.0445222	0.074923	0.114833	0.128076	0.126028	0.117918	0.0888991	0.0430951	0.0430194	0.0358783	0.0514394	0.0972245
a23	0.0274346	0.0333266	0.0648992	0.0867184	0.0930897	0.0916269	0.0920232	0.105949	0.0744224	0.0943367	0.0692908	0.0701991	0.0966837
a25	0.0267767	0.0282688	0.0430345	0.0519874	0.0532863	0.0562986	0.0602168	0.0696986	0.0549455	0.0948905	0.0944671	0.129785	0.236344
a38	0.0261453	0.0296312	0.0549594	0.0582872	0.0542249	0.0549599	0.0623219	0.0793667	0.0610847	0.0996467	0.0939458	0.120044	0.205382
a26	0.0295562	0.0336152	0.0544534	0.0632156	0.0685893	0.0733064	0.0788634	0.0918616	0.0694241	0.101278	0.0885132	0.0971576	0.150166
a35	0.0293225	0.0371549	0.0676357	0.0852015	0.093161	0.0960113	0.0965962	0.100492	0.0722089	0.0863101	0.0681857	0.0689719	0.0987486
a54	0.0252576	0.0306906	0.0520072	0.0599171	0.0632169	0.0733607	0.0818099	0.0888288	0.0684971	0.0985997	0.0894635	0.106087	0.162264
a41	0.02485	0.0301603	0.0483709	0.0733252	0.104275	0.111865	0.113606	0.0978867	0.0654408	0.0782609	0.0689857	0.0801442	0.102829
a94	0.0160753	0.0202707	0.0321036	0.0416283	0.050562	0.0644524	0.0752621	0.075219	0.0654053	0.104884	0.109025	0.139943	0.205169
a7	0.0147099	0.0174343	0.0282642	0.0429593	0.0510446	0.0613786	0.074024	0.074539	0.0596319	0.100598	0.104471	0.140595	0.23035
a11	0.0149148	0.0170012	0.0275819	0.0398402	0.0442347	0.0553771	0.0713376	0.0722624	0.051379	0.0911358	0.10136	0.149019	0.264556
a75	0.014249	0.0156504	0.0228332	0.0365188	0.0474926	0.0606487	0.0727076	0.0743785	0.059442	0.105117	0.113854	0.150351	0.226758
a41	0.0124544	0.015403	0.0237849	0.0375435	0.0525694	0.0590219	0.0719529	0.069967	0.0565009	0.0950376	0.114613	0.161566	0.229585
a76	0.00725621	0.00959811	0.0156171	0.0193475	0.0218858	0.0274899	0.0377628	0.0471206	0.0479868	0.0930299	0.128903	0.206173	0.337829
a94	0.010017	0.0129625	0.0232428	0.0365254	0.0398303	0.0442293	0.0525026	0.0587141	0.049522	0.0849308	0.110298	0.173501	0.303724
a58	0.00618176	0.0072987	0.0135914	0.0243304	0.0247585	0.0298547	0.036139	0.0417183	0.0340504	0.0627696	0.0940689	0.194268	0.43097
a75	0.0050898	0.00533235	0.00946137	0.0180775	0.0169159	0.0214976	0.0299751	0.0358609	0.0288537	0.0626095	0.104178	0.218771	0.443378
a14	0.00625837	0.0067699	0.010115	0.015891	0.015085	0.0181107	0.0235952	0.0262042	0.024187	0.0514331	0.0984944	0.208003	0.495853
a0	0.00771837	0.0089264	0.0112544	0.0144782	0.0140728	0.0167513	0.0199262	0.0222539	0.0215648	0.0482035	0.111009	0.24986	0.453982
a54	0.00455488	0.00507338	0.00772406	0.0138159	0.0175172	0.0233068	0.0294574	0.0326559	0.0293793	0.0633199	0.121935	0.242642	0.408618
a14	0.0048312	0.00539934	0.00844697	0.0126702	0.0137133	0.018728	0.0257792	0.0317991	0.0319539	0.0626479	0.113778	0.234797	0.435455
a2	0.00508767	0.00525789	0.00603517	0.00747829	0.00748121	0.00972053	0.0126305	0.014844	0.0154642	0.0427103	0.114887	0.270042	0.488361
a40	0.00612865	0.00590929	0.00844988	0.016209	0.016831	0.0244513	0.0306812	0.0325603	0.0263647	0.0600681	0.117233	0.242544	0.41257
a54	0.00359986	0.00309173	0.00401544	0.00797378	0.00930593	0.0139384	0.0179576	0.0206741	0.0200283	0.0554382	0.120573	0.250222	0.473181
a14	0.00369553	0.00364164	0.00506944	0.0113074	0.0134904	0.0181078	0.0212396	0.023074	0.0231897	0.052147	0.106836	0.230621	0.48758
a30	0.0067649	0.00697873	0.00785324	0.0107851	0.0110448	0.0144095	0.0176042	0.0190851	0.0173735	0.0452308	0.11823	0.266581	0.458059
a2	0.00499229	0.00434657	0.00488383	0.00766521	0.00878176	0.014394	0.019877	0.0229952	0.0217762	0.0590468	0.137434	0.263987	0.429821
a57	0.00817056	0.00696123	0.00882358	0.0145709	0.0140114	0.0210507	0.0269651	0.026768	0.0225367	0.0550664	0.123602	0.253962	0.417511
a87	0.00602238	0.0042337	0.00418068	0.00668492	0.00691708	0.0113766	0.0159384	0.0172175	0.0254146	0.083629	0.17766	0.275794	0.364931
</S>	0.00657068	0.00405119	0.00432825	0.0078568	0.00777945	0.0112343	0.0163286	0.0220666	0.0326299	0.100086	0.171737	0.252462	0.36287
