 	le	trou	de	l'	aiguille	est	très	petit	</S>
a66	0.331267	0.18559	0.11497	0.0867394	0.0876106	0.0796345	0.059458	0.0329613	0.0217686
a87	0.344007	0.17862	0.121551	0.0984911	0.0957846	0.068473	0.0435799	0.0276501	0.021843
a23	0.334271	0.279354	0.185925	0.0990293	0.0454013	0.0183377	0.0139049	0.0116414	0.0121353
a83	0.357459	0.252238	0.158486	0.0956258	0.0492567	0.0166078	0.0144369	0.0223861	0.0335034
a50	0.347795	0.194359	0.123831	0.0839424	0.0638401	0.0362588	0.0380633	0.0501768	0.0617338
a70	0.24854	0.197059	0.179845	0.145155	0.100569	0.04577	0.0353924	0.0269333	0.0207364
a90	0.178577	0.17409	0.189862	0.176837	0.126017	0.0598871	0.0403887	0.0299553	0.0243862
a92	0.0775947	0.106482	0.151992	0.175603	0.173027	0.125447	0.0834402	0.059616	0.0467984
a85	0.0475992	0.0775578	0.136835	0.178546	0.191647	0.149988	0.09204	0.066449	0.0593372
a5	0.0340999	0.0576879	0.107234	0.151319	0.164986	0.174801	0.121479	0.0953108	0.0930826
a36	0.0819833	0.0985844	0.145465	0.19383	0.186163	0.132991	0.0688649	0.0469748	0.045143
a56	0.0585501	0.0688457	0.115487	0.178386	0.192474	0.152884	0.0911592	0.0683079	0.0739063
a96	0.0421536	0.0422547	0.0698717	0.119862	0.162441	0.175747	0.139391	0.117173	0.131106
a62	0.0198356	0.0181934	0.0296476	0.0555498	0.103538	0.16866	0.184297	0.187249	0.23303
a88	0.0179695	0.0155483	0.0217564	0.0361682	0.0707057	0.138788	0.209138	0.228262	0.261664
a31	0.00665742	0.00615136	0.00790529	0.0111051	0.0200726	0.0540135	0.150433	0.31804	0.425622
a88	0.00251367	0.00239913	0.00304224	0.0045872	0.00996645	0.0365124	0.128801	0.325984	0.486193
a38	0.00160669	0.0015844	0.00189661	0.00261738	0.00525594	0.0196778	0.0853438	0.304512	0.577506
a31	0.00259328	0.00268109	0.00276324	0.0037831	0.00757796	0.0226757	0.0845093	0.293116	0.580301
a0	0.000919541	0.00104448	0.00118083	0.00156348	0.00271655	0.0100273	0.0509998	0.263382	0.668166
a24	0.00304521	0.00327884	0.00327187	0.00445309	0.00899476	0.027552	0.0896865	0.272809	0.586909
a9	0.00474441	0.0050349	0.00460443	0.00599742	0.0114628	0.0308274	0.0946399	0.266057	0.576632
a87	0.0586474	0.0447988	0.0368063	0.0372946	0.0419643	0.0570575	0.102959	0.210537	0.409935
a23	0.310515	0.195704	0.127467	0.0856314	0.0541618	0.0448294	0.0507012	0.0600127	0.0709764
a99	0.119257	0.0805768	0.0581095	0.0427511	0.0326649	0.0500252	0.0916905	0.199355	0.32557
a87	0.0481562	0.0344604	0.0277845	0.0231319	0.0208254	0.0422422	0.0968985	0.242377	0.464124
a97	0.0388665	0.031157	0.024937	0.0204668	0.0182868	0.0373979	0.0877984	0.236194	0.504895
</S>	0.0765851	0.0710421	0.0619962	0.0538433	0.0478361	0.0681259	0.106066	0.190168	0.324338
