 	la	tornade	a	emporté	les	tôles	du	bâtiment	de	l'	école	</S>
a66	0.0478531	0.0625872	0.248403	0.415664	0.167849	0.0435181	0.00433398	0.00257739	0.00204255	0.00177673	0.0017412	0.00165323
a87	0.291691	0.163275	0.157742	0.122862	0.0383988	0.0140876	0.00851457	0.0154705	0.029105	0.0395648	0.0561844	0.0631043
a23	0.343398	0.220097	0.120154	0.0842832	0.0352764	0.0195555	0.00908881	0.0155368	0.0214579	0.0318804	0.0422558	0.0570162
a87	0.375164	0.198893	0.0961158	0.0384518	0.0221348	0.0169114	0.00967569	0.0182222	0.0264975	0.0378797	0.0635295	0.0965252
a23	0.342097	0.20626	0.100191	0.0506311	0.0324031	0.026022	0.014262	0.0256323	0.0326414	0.0410352	0.0538774	0.0749481
a50	0.282149	0.138935	0.0559364	0.0311393	0.029495	0.0267069	0.0200341	0.0363715	0.051171	0.0721033	0.107128	0.14883
a83	0.214973	0.182605	0.147979	0.0954389	0.0601272	0.0373854	0.0185129	0.0246286	0.0329957	0.0431838	0.061331	0.0808395
a0	0.253838	0.19532	0.230427	0.16161	0.0537707	0.0379466	0.0101287	0.00942221	0.0101781	0.0113778	0.0124473	0.0135331
a75	0.207189	0.172396	0.204008	0.139926	0.0471564	0.0499418	0.0275999	0.0277366	0.0281137	0.0308835	0.0317226	0.0333264
a96	0.133435	0.11457	0.216056	0.221637	0.0829756	0.0814954	0.0277293	0.0218487	0.0226519	0.023983	0.0255268	0.028091
a18	0.154194	0.131028	0.200673	0.203957	0.0748086	0.0879809	0.0279784	0.0229322	0.0217072	0.0222995	0.0255314	0.0269088
a75	0.102206	0.109102	0.15936	0.184986	0.0745323	0.103571	0.0493509	0.042175	0.0395762	0.0409831	0.0446842	0.0494727
a5	0.037275	0.0616978	0.151993	0.219665	0.118202	0.137958	0.0489976	0.0399852	0.0393883	0.0404696	0.0495586	0.0548092
a37	0.0547054	0.10631	0.200234	0.244212	0.113649	0.114864	0.0315662	0.0244674	0.0232215	0.0236039	0.0297514	0.0334144
a43	0.029065	0.0892019	0.175439	0.222596	0.123394	0.137573	0.0439824	0.0364935	0.0323911	0.0323293	0.036572	0.0409629
a75	0.0174148	0.070838	0.138563	0.196964	0.129702	0.153114	0.0559687	0.0470148	0.0422842	0.0431914	0.0491655	0.0557795
a6	0.00540173	0.0244864	0.0836989	0.135153	0.092184	0.13809	0.106528	0.088845	0.0848774	0.0767029	0.0798163	0.0842152
a37	0.00575742	0.0312357	0.077985	0.107969	0.0919148	0.130078	0.109261	0.0927699	0.088234	0.0848658	0.0875229	0.0924066
a92	0.012769	0.0554446	0.101289	0.121168	0.0975026	0.107321	0.0719148	0.0718604	0.0716912	0.0809622	0.0974981	0.11058
a37	0.00811053	0.0280822	0.0725026	0.0949503	0.0742064	0.0869314	0.0823178	0.0930421	0.10187	0.107889	0.120611	0.129486
a92	0.00689686	0.0238795	0.0569905	0.0721799	0.0674694	0.0884362	0.0960987	0.101067	0.0996866	0.104275	0.131571	0.15145
a37	0.0025518	0.00894791	0.0280136	0.0377349	0.0388932	0.0567758	0.0880491	0.101811	0.11862	0.140742	0.176763	0.201097
a92	0.00277641	0.00766194	0.0147119	0.0188638	0.0265185	0.0460556	0.0955749	0.118399	0.126622	0.139113	0.183547	0.220156
a37	0.00107026	0.00307117	0.00641905	0.00864977	0.0154496	0.0276222	0.0788512	0.110993	0.129184	0.158238	0.207822	0.252631
a21	0.0010786	0.00236503	0.00339843	0.00440078	0.00891501	0.0207894	0.0707378	0.107299	0.125885	0.154102	0.223565	0.277464
a5	0.000725708	0.00119155	0.00199129	0.00315375	0.00533097	0.0138433	0.052095	0.0860612	0.125441	0.179601	0.249454	0.281111
a36	0.000510049	0.000910151	0.00128053	0.00197712	0.00372728	0.0106813	0.0510979	0.085914	0.123743	0.174802	0.251837	0.293519
a27	0.00027379	0.000404668	0.000367563	0.000481091	0.000848157	0.00219616	0.0200503	0.042769	0.0728622	0.133678	0.283956	0.442113
a90	0.00496786	0.00693598	0.0060491	0.0109965	0.0153118	0.0276744	0.041559	0.0515446	0.0760036	0.111952	0.226862	0.420143
a79	0.000130819	0.000201615	0.000227991	0.000508172	0.00106157	0.00231873	0.0223688	0.0470423	0.0911589	0.16646	0.286173	0.382349
a44	2.6881e-05	3.43383e-05	4.13451e-05	0.000111733	0.000296803	0.000982887	0.0141992	0.0314868	0.0699481	0.142042	0.294994	0.445836
a58	3.96361e-05	6.81997e-05	8.44705e-05	0.000226942	0.000495312	0.00153281	0.0156671	0.0341688	0.0700728	0.13679	0.287831	0.453023
a57	0.00161407	0.00221607	0.00126636	0.00212173	0.00459116	0.00991684	0.0302671	0.0457701	0.0798895	0.131385	0.260549	0.430413
a82	0.0181873	0.016038	0.0132185	0.0245615	0.0283295	0.0490844	0.0625949	0.0677744	0.0970643	0.118807	0.201881	0.302459
a87	0.0480682	0.0320011	0.0264787	0.0380208	0.0340925	0.0453488	0.0494577	0.0542119	0.0858817	0.120046	0.193055	0.273337
a23	0.0744629	0.0641999	0.0373311	0.0364705	0.0377866	0.0594917	0.0671473	0.0684328	0.0961633	0.121209	0.152533	0.184771
a87	0.00611182	0.00255442	0.00164056	0.00129074	0.00120654	0.00241932	0.0161147	0.0432444	0.0969558	0.169561	0.288493	0.370408
</S>	0.00128282	0.000727391	0.000625701	0.000792612	0.000821005	0.00189109	0.0110576	0.0292481	0.0729655	0.139749	0.291401	0.449438
