 	la	mère	a	gardé	le	manioc	dans	le	panier	de	pêche	</S>
a66	0.279034	0.164939	0.0954032	0.0863056	0.0867305	0.083317	0.0871318	0.0602186	0.0276999	0.0128535	0.00839596	0.00797123
a87	0.297422	0.181685	0.1147	0.0812225	0.0554472	0.0529148	0.0467412	0.0393423	0.0273616	0.0277964	0.0357995	0.0395672
a23	0.398135	0.223727	0.122866	0.0619178	0.0439045	0.0348959	0.0280286	0.0195147	0.0137781	0.0123924	0.0175181	0.023321
a83	0.304916	0.177832	0.119579	0.0711888	0.058055	0.0493233	0.0403015	0.0317829	0.0253608	0.0275554	0.0380033	0.056102
a70	0.200497	0.15783	0.111988	0.0858975	0.0845237	0.0670268	0.0518774	0.0430921	0.0361085	0.042774	0.0534365	0.0649494
a93	0.250888	0.255954	0.195806	0.0969263	0.0699541	0.0391431	0.0281655	0.0195176	0.0133864	0.0118757	0.00960717	0.00877482
a90	0.149711	0.203174	0.218619	0.129823	0.109107	0.0619767	0.0397244	0.0257978	0.0174622	0.0151294	0.0140865	0.0153885
a25	0.0913055	0.136341	0.181765	0.150201	0.143987	0.0892233	0.0593726	0.041537	0.029799	0.0255238	0.0237591	0.0271859
a69	0.0636134	0.111842	0.163805	0.155477	0.156339	0.107025	0.0742436	0.0515169	0.0347308	0.0278662	0.025605	0.0279366
a93	0.0634239	0.097209	0.130335	0.137216	0.160123	0.11742	0.0795515	0.0540023	0.0375195	0.033645	0.0396299	0.0499237
a90	0.114827	0.139067	0.155078	0.129438	0.130275	0.104343	0.078501	0.0482298	0.0270883	0.0213195	0.0233052	0.0285292
a56	0.0617563	0.0805244	0.112542	0.132447	0.148173	0.140931	0.116583	0.0758154	0.0400854	0.028009	0.0290756	0.0340568
a75	0.0584934	0.0649427	0.0868962	0.115405	0.135756	0.139991	0.126704	0.0939701	0.0546548	0.0381664	0.0391702	0.04585
a92	0.0235221	0.0267373	0.0444229	0.0840175	0.115791	0.141482	0.145955	0.126545	0.0933976	0.0692444	0.0634137	0.0654724
a37	0.0162578	0.0170676	0.0282869	0.0588446	0.087818	0.121032	0.136732	0.135735	0.117455	0.0971458	0.0915186	0.0921071
a36	0.0186814	0.0171766	0.023053	0.0482573	0.0747434	0.115732	0.14296	0.151365	0.128323	0.0919494	0.0870406	0.100717
a25	0.0167563	0.0147992	0.0156404	0.0273755	0.0414882	0.0761289	0.100656	0.123919	0.130006	0.121182	0.148886	0.183162
a98	0.0124082	0.0111776	0.0100813	0.0154377	0.022987	0.0416574	0.0584318	0.0778418	0.0943584	0.127088	0.217562	0.310969
a56	0.00688006	0.00688474	0.00997454	0.0191536	0.0271572	0.0439028	0.0559851	0.0793842	0.124473	0.162679	0.204015	0.259511
a75	0.0036009	0.00348098	0.00450752	0.00903255	0.0140242	0.0263861	0.0401525	0.0678342	0.128836	0.199317	0.236737	0.266091
a5	0.0011776	0.0013222	0.00189321	0.00454775	0.00728561	0.0139455	0.0209865	0.0385768	0.0971634	0.206037	0.296297	0.310767
a75	0.00177864	0.00175553	0.00216386	0.00412327	0.00592742	0.0117591	0.0177808	0.0320803	0.0769993	0.17037	0.294752	0.38051
a47	0.000730194	0.000841506	0.00112677	0.00255084	0.00390135	0.00746571	0.0108108	0.0204842	0.059792	0.159473	0.317211	0.415613
a96	0.000860905	0.00104132	0.00132149	0.00234394	0.00331629	0.00658284	0.0106427	0.0220168	0.0584219	0.132873	0.283488	0.477091
a93	0.00259408	0.00270454	0.00281001	0.00375941	0.00388963	0.00687469	0.0113239	0.0254598	0.0626829	0.127792	0.296115	0.453994
a70	0.00145872	0.00157479	0.00162366	0.00248388	0.00293067	0.00548419	0.00900441	0.0199471	0.0526129	0.124288	0.307185	0.471407
a13	0.00390912	0.00470952	0.00439341	0.00644223	0.00689203	0.00950592	0.0147406	0.0325904	0.07266	0.134796	0.284018	0.425344
a9	0.018748	0.0203692	0.0172377	0.0227183	0.0239428	0.0297981	0.0385216	0.0601936	0.0922368	0.127877	0.216315	0.332042
a3	0.250357	0.118456	0.0735674	0.0640667	0.0572275	0.0639985	0.0582234	0.0563561	0.051951	0.05029	0.0625448	0.0929624
a97	0.312609	0.140245	0.0734809	0.0535487	0.043146	0.0475455	0.0475749	0.0455584	0.045945	0.0492538	0.0607389	0.0803538
</S>	0.22666	0.128253	0.0704153	0.0499283	0.0388523	0.0454351	0.0489925	0.0484078	0.0538707	0.0706335	0.0976306	0.12092
