 	ce	singe	a	un	grand	creux	séparant	le	front	du	nez	est-ce	une	maladie	</S>
a15	0.157258	0.112276	0.0957903	0.122659	0.125405	0.141319	0.0978156	0.0468276	0.0261977	0.013636	0.0110378	0.0106183	0.0122264	0.012893	0.0140399
a66	0.385797	0.189549	0.106924	0.0758434	0.0272032	0.0230931	0.0285628	0.0244602	0.0175315	0.0137364	0.0136039	0.0179058	0.0244338	0.0266895	0.0246664
a87	0.366335	0.180263	0.0930056	0.0701163	0.0323072	0.0264987	0.0254007	0.0202963	0.0159081	0.0195446	0.0185695	0.023682	0.0312212	0.0359478	0.0409039
a23	0.311022	0.189719	0.142018	0.123744	0.03857	0.032207	0.0273811	0.0223988	0.0148563	0.0149738	0.0131725	0.0143778	0.0169577	0.01772	0.020883
a87	0.204835	0.13922	0.108884	0.0849097	0.032849	0.0336168	0.0428542	0.0540019	0.0386126	0.0433509	0.0324171	0.037675	0.0449133	0.0491424	0.0527173
a23	0.184579	0.14012	0.129657	0.0974351	0.0402612	0.0386477	0.0530397	0.0544613	0.0398942	0.0419104	0.0315127	0.0344449	0.0390532	0.0391831	0.0358005
a24	0.119184	0.0992922	0.0814174	0.0576439	0.0339892	0.0388616	0.066149	0.0783416	0.0513165	0.0601562	0.0480536	0.0549068	0.0657604	0.0718434	0.0730844
a88	0.137688	0.149799	0.173268	0.106832	0.0462861	0.0370524	0.0610061	0.0683774	0.0420699	0.0337918	0.0225412	0.0253635	0.0284586	0.0310153	0.0364508
a94	0.106834	0.129038	0.152839	0.10325	0.0734012	0.0387054	0.0558292	0.0622044	0.0516817	0.0415202	0.0326688	0.035592	0.0379629	0.0372107	0.041262
a79	0.0757418	0.109271	0.128229	0.083839	0.0713254	0.0362559	0.0538736	0.0600768	0.0542681	0.0490977	0.0447836	0.0516578	0.0566072	0.0576149	0.0673581
a90	0.0485295	0.0805824	0.0960629	0.0632848	0.0728906	0.0431316	0.0673353	0.0748674	0.0685514	0.0610543	0.0519937	0.0572201	0.0621042	0.0676895	0.0847024
a15	0.0488308	0.0810827	0.0946046	0.0643241	0.0812183	0.0448978	0.0927158	0.11502	0.0841239	0.0602619	0.0439834	0.0414938	0.0425966	0.0452428	0.0596037
a85	0.0306529	0.0471446	0.0608781	0.0449273	0.0614691	0.0362493	0.0821416	0.138827	0.118702	0.0822335	0.0573926	0.0522076	0.0529189	0.0538737	0.080382
a6	0.0346885	0.0488495	0.0596103	0.0477966	0.0738394	0.0438486	0.105587	0.174628	0.128811	0.0731053	0.0482118	0.0366047	0.0348032	0.035332	0.054284
a21	0.0352279	0.0388209	0.062584	0.0677414	0.101836	0.0713881	0.133578	0.157185	0.0969109	0.0595486	0.0430247	0.0330673	0.0300466	0.0288029	0.040237
a92	0.0188492	0.0178137	0.0406482	0.0737766	0.109695	0.0777929	0.109547	0.153228	0.123935	0.0749607	0.0591962	0.040089	0.0343972	0.0303152	0.0357555
a37	0.00958968	0.00962478	0.0205136	0.0357384	0.0638131	0.0421415	0.0777186	0.144886	0.153193	0.121271	0.0981285	0.0676765	0.0562244	0.0486701	0.0508112
a90	0.0089843	0.00869348	0.0148368	0.0304203	0.0844979	0.0663005	0.133194	0.190091	0.168159	0.0943638	0.0638899	0.0396004	0.0326707	0.0298584	0.0344393
a25	0.00343328	0.00338208	0.0065182	0.0160168	0.0625459	0.0542208	0.130866	0.193957	0.162894	0.10547	0.0782494	0.0520953	0.0436141	0.0407429	0.045995
a21	0.00136314	0.00125854	0.00273144	0.00909967	0.0491235	0.0505246	0.109571	0.182507	0.170739	0.128148	0.0831963	0.0551821	0.0475708	0.0480042	0.0609807
a12	0.0040284	0.00408753	0.00525152	0.0106085	0.0337353	0.0384064	0.0673656	0.118273	0.182682	0.144451	0.116885	0.0754655	0.0627815	0.0606566	0.0753226
a61	0.00471943	0.00535213	0.00706039	0.0118029	0.0265826	0.0341926	0.0583362	0.112302	0.194512	0.154321	0.117376	0.0714667	0.0601544	0.0604253	0.081396
a12	0.00421174	0.00478331	0.00694026	0.0136573	0.0256513	0.0407808	0.0700923	0.14153	0.202307	0.162358	0.111893	0.0646103	0.0481314	0.0444986	0.0585545
a18	0.00510009	0.00563506	0.00759529	0.0123827	0.0213952	0.0282652	0.047295	0.0998245	0.158804	0.142804	0.131872	0.085413	0.0738253	0.0748944	0.104894
a25	0.0069087	0.0107267	0.0205032	0.0461814	0.0568029	0.109295	0.119761	0.133952	0.0985167	0.0832555	0.0662866	0.0477156	0.0483051	0.0563306	0.0954594
a87	0.00783962	0.00980939	0.0147259	0.0325929	0.0586277	0.122747	0.122193	0.113132	0.0815308	0.086866	0.0832805	0.0622235	0.0564377	0.0587674	0.089226
a23	0.023079	0.0208923	0.0254385	0.0381266	0.0895157	0.108026	0.116336	0.0942187	0.0856755	0.0768167	0.0660416	0.0546636	0.0553494	0.0545769	0.091243
a79	0.0149379	0.00929915	0.0101289	0.0135171	0.031398	0.0367396	0.0532738	0.0745103	0.131011	0.123311	0.0941643	0.084225	0.0865328	0.0869825	0.149968
a54	0.000491428	0.000540704	0.000707306	0.00100184	0.00685506	0.0079714	0.0296074	0.0771844	0.112677	0.115573	0.0778242	0.101786	0.126529	0.142128	0.199124
a5	0.001181	0.00146156	0.00275615	0.00579449	0.0274397	0.0266213	0.055923	0.095975	0.0967475	0.0996241	0.0745203	0.0779098	0.0985905	0.117509	0.217947
a85	0.00120989	0.00126289	0.00218668	0.0044561	0.0164289	0.0170385	0.0301814	0.0418868	0.0585986	0.0758132	0.0822756	0.102924	0.137661	0.171018	0.257059
a5	0.00117701	0.00120241	0.00204886	0.00384341	0.0110644	0.0122603	0.0196927	0.0400317	0.0659424	0.0916774	0.102456	0.110127	0.136712	0.151973	0.249792
a12	0.000934611	0.000886755	0.00135275	0.0030078	0.00834129	0.00958762	0.0168057	0.0374048	0.0585505	0.0928235	0.110703	0.135333	0.157203	0.162535	0.204531
a96	0.000732165	0.000697517	0.000870807	0.00184929	0.00463731	0.00592662	0.0094309	0.0211435	0.0453373	0.0927591	0.117472	0.134807	0.160236	0.175248	0.228853
a75	0.00132981	0.00149455	0.00218996	0.00473528	0.00924582	0.0130769	0.0171309	0.0297871	0.050031	0.0692221	0.0835739	0.110553	0.157263	0.200539	0.249828
a47	0.000266206	0.000274445	0.000392087	0.000957521	0.00297467	0.00338992	0.0058125	0.0134832	0.0287544	0.0661777	0.092889	0.118219	0.165094	0.207048	0.294267
a36	0.000141049	0.000153404	0.000242185	0.000564776	0.00179245	0.00219282	0.00593262	0.0176849	0.0332259	0.0846819	0.100614	0.12185	0.166231	0.204703	0.25999
a2	0.00136555	0.0013701	0.00197268	0.00480211	0.0104219	0.0247029	0.0385196	0.0525806	0.0429209	0.0566213	0.0561837	0.0864063	0.133799	0.191173	0.29716
a57	0.0111612	0.00983598	0.0117131	0.0172854	0.0456384	0.0590702	0.0652594	0.060183	0.0553434	0.0582105	0.0637299	0.0862177	0.119592	0.15339	0.18337
a87	0.022824	0.0132838	0.0107635	0.0119369	0.0448906	0.0451244	0.0639627	0.0681434	0.0829055	0.0983868	0.0993624	0.104671	0.113112	0.115536	0.105097
</S>	0.0245129	0.0167009	0.00954708	0.0107209	0.062013	0.0540591	0.105862	0.119017	0.121976	0.119639	0.0798876	0.074805	0.071729	0.0647163	0.0648149
