 	qui	vous	a	encouragé	dans	cette	voie	</S>
a66	0.382254	0.240256	0.133077	0.0880572	0.0559143	0.0461981	0.0362765	0.017967
a87	0.579528	0.2506	0.0857266	0.0252481	0.0145017	0.0176575	0.0170796	0.00965838
a23	0.627345	0.219504	0.0913472	0.0253186	0.0101038	0.00836813	0.00879313	0.00922037
a79	0.543674	0.200713	0.101764	0.0318586	0.0203967	0.0286435	0.0305099	0.0424408
a90	0.44491	0.16527	0.109549	0.0765749	0.0490859	0.0463694	0.0496562	0.0585836
a92	0.31289	0.193572	0.170664	0.135978	0.0775071	0.04556	0.0347684	0.0290611
a34	0.155795	0.196663	0.203753	0.156194	0.11622	0.0868728	0.0550452	0.0294565
a31	0.126045	0.229586	0.345077	0.188597	0.0600284	0.0272886	0.015105	0.0082728
a0	0.0739899	0.15071	0.271901	0.278129	0.123871	0.0576291	0.0300089	0.0137617
a88	0.0410602	0.0861487	0.175914	0.307196	0.21696	0.09759	0.0467578	0.0283737
a31	0.0218397	0.0450062	0.106356	0.342302	0.271323	0.126494	0.0557369	0.030943
a61	0.017802	0.0381069	0.0768762	0.263028	0.28803	0.175881	0.0884648	0.0518113
a12	0.0146866	0.027406	0.049574	0.19072	0.281983	0.220287	0.130229	0.0851148
a96	0.0157781	0.0261693	0.0433306	0.139741	0.267334	0.239945	0.157433	0.110269
a88	0.0138359	0.0211958	0.0338265	0.0918712	0.228012	0.248498	0.198248	0.164512
a71	0.00802837	0.0119442	0.0190157	0.0513642	0.168305	0.232472	0.239247	0.269624
a58	0.00681284	0.00792243	0.00983215	0.0214922	0.0908031	0.179157	0.263582	0.420398
a93	0.0122574	0.0115365	0.0123606	0.0185146	0.0463569	0.130903	0.254264	0.513808
a70	0.00255285	0.00240881	0.0032756	0.00903268	0.0359126	0.106676	0.219341	0.6208
a93	0.00122039	0.00156353	0.00227944	0.00589568	0.0203849	0.0653671	0.169545	0.733744
a90	0.000655386	0.000862097	0.00128253	0.00390476	0.0171327	0.0634898	0.174639	0.738034
a98	0.000456058	0.000634995	0.000933559	0.00289227	0.0148276	0.0564679	0.155996	0.767792
a92	0.000395525	0.000589173	0.000882802	0.00315322	0.0172197	0.0583763	0.13175	0.787634
a56	0.000510856	0.000710572	0.00102165	0.00309599	0.0164458	0.060754	0.123858	0.793603
a47	0.000704643	0.000965658	0.00127459	0.00298798	0.0130095	0.0597627	0.151423	0.769872
a96	0.00208718	0.00300252	0.00366438	0.00742132	0.0229127	0.0821993	0.178558	0.700154
a88	0.0047245	0.0076287	0.00805015	0.0153526	0.0274348	0.0872893	0.185742	0.663778
a75	0.00437109	0.00728053	0.00898376	0.0201787	0.0368789	0.0956088	0.200577	0.626121
a36	0.000784135	0.00112919	0.00153017	0.00387643	0.0133524	0.0687772	0.173436	0.737115
a27	0.00420794	0.00635683	0.00728877	0.0134261	0.0259135	0.0778742	0.188449	0.676484
a2	0.0983831	0.0970049	0.0909941	0.059424	0.0771913	0.0984131	0.14575	0.33284
a30	0.230471	0.144072	0.108965	0.0697634	0.0763014	0.0781683	0.100887	0.191372
a87	0.376029	0.135457	0.093604	0.0559967	0.0503332	0.0681861	0.0897395	0.130655
a23	0.50471	0.224668	0.104425	0.025841	0.0155695	0.0234014	0.0348741	0.0665103
a87	0.315954	0.193367	0.121283	0.0329752	0.0244281	0.0543929	0.0795684	0.178031
</S>	0.131955	0.0847598	0.0656856	0.0314732	0.0475274	0.124335	0.161301	0.352964
