 	le	repas	qu'	on	lui	a	donné	n'	était	insuffisant	</S>
a66	0.117812	0.0676755	0.0526024	0.0545662	0.100116	0.146286	0.179024	0.193354	0.0682326	0.0145323	0.00579792
a87	0.373978	0.177623	0.102194	0.0683444	0.0489043	0.0485843	0.052308	0.0647615	0.0407589	0.0130791	0.00946475
a23	0.331496	0.14793	0.0838202	0.0576196	0.053991	0.0601683	0.0633004	0.0676142	0.0788871	0.0399348	0.0152393
a5	0.300184	0.198946	0.122494	0.0771912	0.0733645	0.0726134	0.057604	0.034475	0.0290525	0.0192817	0.0147945
a23	0.242995	0.170715	0.118841	0.0841853	0.0748129	0.0625678	0.0633938	0.0658409	0.0458915	0.0375454	0.0332113
a96	0.223629	0.177279	0.137817	0.115103	0.0752161	0.051421	0.0436342	0.0443733	0.0592965	0.0524942	0.0197364
a88	0.198172	0.230079	0.164247	0.119204	0.0778574	0.0612608	0.0474374	0.0336738	0.0316379	0.0279434	0.0084863
a21	0.118902	0.185843	0.162687	0.145374	0.1024	0.0762967	0.0533711	0.0352204	0.0457211	0.0540836	0.0201019
a85	0.121664	0.145998	0.125929	0.132615	0.116299	0.10081	0.0873927	0.0637441	0.0482509	0.0436196	0.0136776
a6	0.0414832	0.0766967	0.105529	0.14686	0.148959	0.119397	0.101855	0.0888084	0.0713586	0.060198	0.0388558
a36	0.0732984	0.0808148	0.109204	0.152225	0.161155	0.134766	0.107069	0.0720106	0.0399503	0.0320552	0.0374518
a37	0.0417636	0.0510861	0.0809026	0.145082	0.192884	0.170194	0.136435	0.0760596	0.0378096	0.0287342	0.0390492
a96	0.0276222	0.0323296	0.0484966	0.0967165	0.181685	0.195458	0.17278	0.104179	0.0439624	0.0323897	0.064381
a18	0.0244448	0.0261037	0.0356376	0.0687739	0.142332	0.184729	0.183823	0.123787	0.0539851	0.0452558	0.111128
a75	0.0278747	0.0179097	0.0204674	0.0373012	0.0723397	0.127114	0.184084	0.14969	0.0850609	0.087696	0.190462
a92	0.00684945	0.00792354	0.011096	0.0238297	0.060049	0.101074	0.137006	0.12486	0.0839721	0.104005	0.339335
a37	0.00628661	0.00796577	0.0113281	0.0232207	0.0601205	0.100511	0.129058	0.117795	0.0954976	0.126784	0.321432
a98	0.00786319	0.00748518	0.0103606	0.0228511	0.0528976	0.0892405	0.127561	0.114557	0.0811298	0.0977105	0.388344
a15	0.0046235	0.00627616	0.00968864	0.0201194	0.0435812	0.0708671	0.103562	0.0917928	0.0774463	0.151838	0.420204
a79	0.00550557	0.00802168	0.0125292	0.024528	0.0439042	0.0634318	0.0923885	0.0860525	0.0847276	0.163744	0.415167
a5	0.00725668	0.00960917	0.0138911	0.025783	0.04924	0.0785235	0.116183	0.107031	0.102407	0.164778	0.325298
a18	0.00373538	0.00374701	0.00516819	0.0104687	0.0242428	0.043195	0.0706755	0.0697825	0.0744574	0.193792	0.500735
a88	0.00287485	0.0021335	0.00255273	0.00495239	0.00942378	0.0152633	0.0278376	0.0271618	0.0369711	0.202443	0.668386
a9	0.00126267	0.000957721	0.00109008	0.00209122	0.00415966	0.00665282	0.0114394	0.0122824	0.0229574	0.171076	0.766031
a24	0.00895015	0.0068788	0.00709035	0.0114496	0.0176409	0.0262	0.0418001	0.0479341	0.0533941	0.152005	0.626657
a0	0.00114023	0.000806884	0.00076317	0.00139437	0.00270201	0.00498419	0.0100155	0.0151609	0.0378547	0.227985	0.697193
a10	0.00371371	0.00266734	0.00262325	0.00396303	0.00624721	0.00956392	0.0153727	0.0172319	0.0284208	0.140143	0.770053
a9	0.0283572	0.0139973	0.0122553	0.0166433	0.0227013	0.0292954	0.0383965	0.0462688	0.0542922	0.112276	0.625517
a10	0.130992	0.073025	0.0580253	0.0666909	0.0691637	0.08265	0.0964016	0.143492	0.113843	0.0543422	0.111374
a87	0.147593	0.0890757	0.0658655	0.0680972	0.0719398	0.0891482	0.107564	0.142752	0.109816	0.0464125	0.061736
a23	0.148717	0.0982404	0.0702389	0.0682031	0.0759277	0.0957565	0.115122	0.135672	0.104227	0.0469512	0.0409441
a87	0.16865	0.100624	0.0659145	0.0555769	0.0383505	0.0432967	0.0542033	0.0721846	0.105314	0.0763028	0.219582
</S>	0.0709167	0.035896	0.0225526	0.0250363	0.0255718	0.0355032	0.0411973	0.0474101	0.0747339	0.0949302	0.526252
