 	il	coupe	le	bout	du	bâton	</S>
a23	0.446099	0.197397	0.122187	0.0663025	0.0505948	0.0577727	0.0596472
a79	0.602304	0.13858	0.0715431	0.0442916	0.0370767	0.0478008	0.058404
a54	0.177	0.10441	0.135986	0.134928	0.130161	0.14958	0.167934
a47	0.277179	0.166915	0.13542	0.129123	0.113811	0.107536	0.0700173
a85	0.303536	0.163327	0.135759	0.109902	0.0966487	0.102221	0.0886056
a36	0.311022	0.240001	0.192058	0.0929977	0.0543612	0.0577564	0.0518036
a27	0.39193	0.265193	0.151802	0.0690234	0.0417739	0.0422934	0.0379848
a11	0.344671	0.225636	0.150158	0.0961668	0.0658937	0.0632964	0.0541779
a21	0.300322	0.283812	0.166112	0.0898566	0.0575175	0.0541704	0.0482094
a5	0.270911	0.306451	0.170127	0.0949341	0.0599291	0.0515777	0.0460703
a85	0.161808	0.235991	0.182994	0.12643	0.100973	0.0963984	0.095405
a0	0.107047	0.123109	0.115089	0.124145	0.141419	0.168214	0.220978
a47	0.147055	0.155173	0.121997	0.116664	0.125693	0.141477	0.191941
a31	0.190488	0.17582	0.118455	0.101668	0.106445	0.121673	0.18545
a62	0.0746384	0.107861	0.107692	0.123614	0.164466	0.196457	0.225272
a88	0.050775	0.0774228	0.0959073	0.130444	0.189395	0.218705	0.23735
a11	0.0241203	0.0488295	0.0652064	0.103964	0.165808	0.237266	0.354806
a90	0.0163349	0.035798	0.039646	0.0773662	0.146586	0.246537	0.437732
a98	0.00506215	0.0112436	0.0176456	0.0448119	0.132098	0.268276	0.520863
a73	0.0040275	0.0087709	0.0181863	0.0565563	0.149636	0.283045	0.479778
a2	0.00603048	0.0137555	0.0281065	0.0730626	0.164512	0.257586	0.456947
a57	0.00370484	0.00604057	0.00897646	0.0248221	0.0623579	0.183619	0.710479
a87	0.0218853	0.0204316	0.0354999	0.056891	0.109122	0.208799	0.547372
a23	0.107814	0.0728944	0.120633	0.10873	0.140252	0.187322	0.262354
a87	0.0516154	0.0389428	0.0688772	0.121373	0.192506	0.282291	0.244395
</S>	0.00937638	0.014951	0.050734	0.103906	0.179984	0.276137	0.364912
