 	il	bégayait	encore	de	colère	</S>
a85	0.580791	0.257475	0.0602672	0.0328557	0.0333394	0.0352725
a87	0.612786	0.128116	0.043252	0.0677772	0.077985	0.0700836
a23	0.200489	0.222925	0.154732	0.176494	0.129224	0.116137
a20	0.317991	0.203727	0.0919041	0.088754	0.117798	0.179826
a94	0.734842	0.150781	0.0212443	0.0271528	0.0338963	0.0320832
a12	0.330421	0.430815	0.123248	0.0760152	0.0236866	0.0158139
a18	0.211969	0.371889	0.215359	0.136518	0.0371006	0.0271644
a62	0.172835	0.2711	0.275403	0.171928	0.0573414	0.0513917
a12	0.129002	0.229584	0.31437	0.207305	0.0672265	0.0525123
a88	0.103731	0.170076	0.34469	0.231857	0.0823558	0.067291
a12	0.0724509	0.0978929	0.316242	0.280522	0.13446	0.0984322
a96	0.0547707	0.059103	0.240489	0.310443	0.202048	0.133147
a62	0.076556	0.062553	0.188893	0.290257	0.224032	0.157709
a31	0.0592383	0.0472028	0.138057	0.265764	0.290774	0.198964
a24	0.0453996	0.0353671	0.103531	0.214977	0.348583	0.252142
a31	0.0814182	0.0719489	0.109687	0.143732	0.313155	0.280059
a24	0.0181831	0.0141696	0.0424957	0.100575	0.355873	0.468704
a41	0.0247177	0.0156421	0.0313353	0.0670627	0.295239	0.566004
a14	0.0170358	0.00881046	0.0151993	0.0421782	0.282699	0.634077
a73	0.0108637	0.00630711	0.0143335	0.0433787	0.319725	0.605392
a94	0.0137764	0.00442663	0.00933273	0.0310973	0.278656	0.662711
a26	0.00929508	0.00227486	0.00493312	0.0212774	0.233852	0.728367
a76	0.00541748	0.00128351	0.00309313	0.016536	0.203286	0.770384
a90	0.00702321	0.00364308	0.0105799	0.0383258	0.245797	0.694631
a58	0.00293219	0.00152283	0.0064182	0.0254943	0.205409	0.758224
a11	0.00407947	0.00150806	0.00404606	0.0204868	0.18652	0.783359
a75	0.00437811	0.00243947	0.00665077	0.0320406	0.221167	0.733324
a5	0.00374651	0.00498268	0.00997932	0.0358601	0.20764	0.737792
a23	0.00431812	0.00304484	0.00797104	0.0263133	0.177516	0.780836
a18	0.00773979	0.00498115	0.0130218	0.0467478	0.232627	0.694882
a82	0.0125443	0.00504858	0.00641753	0.023703	0.171122	0.781164
a87	0.0376199	0.0205982	0.0114134	0.0203434	0.14511	0.764915
</S>	0.0478238	0.0493274	0.0378786	0.0516531	0.201893	0.611424
