 	elle	fait	rôtir	la	viande	sur	la	braise	</S>
a23	0.499615	0.214221	0.0982838	0.0481146	0.0291493	0.0261984	0.0253133	0.029216	0.0298882
a40	0.584608	0.202882	0.0390249	0.0173901	0.0163538	0.0153371	0.0229988	0.0393423	0.062063
a47	0.108195	0.0754665	0.0402668	0.0583102	0.0666295	0.0905722	0.138924	0.217813	0.203824
a85	0.202388	0.181607	0.166767	0.128953	0.0990244	0.0636163	0.058031	0.056311	0.0433024
a47	0.261451	0.197962	0.139834	0.0883128	0.0731062	0.0486112	0.0565022	0.0688786	0.0653421
a36	0.223202	0.13997	0.096545	0.0686763	0.0543479	0.0485467	0.073993	0.124755	0.169964
a7	0.176059	0.124692	0.0874047	0.0754196	0.0651351	0.0552063	0.0811337	0.139673	0.195276
a98	0.120865	0.110927	0.109383	0.0950736	0.07993	0.062933	0.0836966	0.140972	0.196219
a73	0.120182	0.102335	0.0981095	0.0841502	0.0879536	0.0788292	0.093329	0.146967	0.188144
a54	0.0203869	0.021475	0.0335462	0.062871	0.0962464	0.113039	0.146777	0.226286	0.279372
a85	0.0143069	0.0154819	0.0228577	0.0474233	0.0747245	0.0978421	0.141273	0.256288	0.329803
a37	0.00544182	0.00677425	0.0141076	0.0398251	0.0746205	0.103754	0.142873	0.265379	0.347225
a75	0.00389684	0.00440077	0.00929041	0.0261769	0.050649	0.0877123	0.151645	0.294112	0.372116
a85	0.00311823	0.00403828	0.0107789	0.0304843	0.0541345	0.0840796	0.134198	0.288203	0.390965
a6	0.00271534	0.00340862	0.00926559	0.0260012	0.052559	0.0910281	0.157016	0.314298	0.343708
a37	0.00210215	0.0029581	0.00746416	0.0200862	0.0348298	0.0609926	0.11584	0.305038	0.450689
a7	0.00166676	0.00224756	0.0070894	0.0221626	0.0481915	0.082555	0.147342	0.285298	0.403447
a2	0.00376248	0.0047939	0.0107562	0.0250354	0.0478911	0.0744704	0.121917	0.24821	0.463164
a57	0.010713	0.00836173	0.0119709	0.0248424	0.0402478	0.0647776	0.114773	0.230848	0.493466
a87	0.115557	0.0860774	0.0913647	0.0824223	0.0816774	0.101778	0.118763	0.146302	0.176058
a23	0.200062	0.179511	0.157888	0.115155	0.0825143	0.0747922	0.0657217	0.0637398	0.0606162
a87	0.111218	0.0967153	0.0914236	0.0859899	0.110332	0.128147	0.130996	0.120506	0.124673
</S>	0.0141736	0.0134088	0.0247869	0.0344205	0.0605883	0.102496	0.170396	0.254108	0.325622
