 	l'	arbre	ipopoo	a	de	larges	feuilles	</S>
a66	0.251501	0.23156	0.228551	0.151333	0.0786251	0.0377278	0.0119811	0.0087215
a87	0.378851	0.19778	0.164019	0.119095	0.0656174	0.0362823	0.0199816	0.0183724
a97	0.474874	0.173356	0.177256	0.0667452	0.0362175	0.0217419	0.0203809	0.029428
a83	0.452428	0.204548	0.240246	0.0614132	0.020872	0.0085178	0.00571401	0.00626053
a9	0.385262	0.18009	0.329162	0.06622	0.0208301	0.00812386	0.00477037	0.00554202
a93	0.246011	0.161536	0.405865	0.126945	0.0382217	0.0117776	0.0049629	0.00468098
a4	0.366545	0.19196	0.288133	0.10582	0.0301426	0.00990281	0.00402091	0.00347587
a93	0.263963	0.15849	0.302032	0.155069	0.0624057	0.0284955	0.0149764	0.0145694
a96	0.232585	0.146068	0.25063	0.176845	0.0938908	0.0509869	0.0254908	0.0235039
a62	0.259837	0.132753	0.219392	0.13871	0.09016	0.0674577	0.0438463	0.0478441
a88	0.237775	0.173948	0.175881	0.154781	0.109846	0.0749883	0.0342271	0.0385532
a75	0.118513	0.129584	0.185216	0.13893	0.12801	0.115797	0.0772402	0.10671
a5	0.0829172	0.122079	0.14235	0.172335	0.139885	0.122171	0.0918453	0.126419
a56	0.106455	0.167126	0.154491	0.169765	0.133998	0.112231	0.0680297	0.0879045
a18	0.0789851	0.168651	0.153454	0.181726	0.149458	0.112754	0.0697514	0.0852203
a38	0.0191909	0.0692955	0.154207	0.179011	0.17088	0.142185	0.119237	0.145994
a93	0.0157755	0.0665576	0.153374	0.17442	0.177831	0.153341	0.12338	0.135322
a70	0.0179905	0.0491138	0.0641115	0.111058	0.162221	0.183772	0.188994	0.22274
a93	0.00989382	0.0254347	0.0401308	0.0699754	0.122255	0.162106	0.252684	0.31752
a4	0.00574432	0.0131125	0.016883	0.029513	0.0695179	0.121724	0.310334	0.433171
a66	0.00193896	0.00425415	0.00609391	0.0114296	0.0365051	0.0812177	0.334703	0.523858
a4	0.00531437	0.010248	0.0107415	0.0112103	0.0309729	0.0772613	0.328479	0.525773
a93	0.00381863	0.00557244	0.00455577	0.00584025	0.0181665	0.0577672	0.333263	0.571017
a4	0.000152604	0.000406714	0.000688841	0.00178357	0.0104923	0.0406613	0.342022	0.603793
a57	0.000373201	0.00100056	0.00140483	0.00250871	0.0119541	0.0456591	0.357588	0.579511
a3	0.00523737	0.00582922	0.00472046	0.00736622	0.024744	0.0745269	0.337098	0.540477
a87	0.0827998	0.0785196	0.0518318	0.0594421	0.0771503	0.133438	0.23802	0.278798
a23	0.13821	0.129109	0.140501	0.114632	0.112354	0.127442	0.112959	0.124792
a99	0.0828071	0.0611544	0.058487	0.0753775	0.117935	0.13858	0.210335	0.255324
a97	0.0460663	0.0272261	0.0258687	0.0485572	0.0893741	0.129913	0.262884	0.370111
a87	0.0363058	0.0245555	0.0317431	0.0397939	0.054987	0.0802275	0.244854	0.487533
a23	0.0584164	0.0356765	0.0412066	0.042381	0.0521561	0.0751416	0.216662	0.478359
a99	0.0343087	0.0245211	0.0275887	0.0523298	0.0772822	0.0990501	0.249345	0.435574
a97	0.0431558	0.0394092	0.0425105	0.0682304	0.0897263	0.114318	0.233574	0.369075
</S>	0.0503134	0.040097	0.0390116	0.0413317	0.0527377	0.0751645	0.218066	0.483279
