 	qui	a	cuit	mes	safous	</S>
a15	0.479167	0.248679	0.117687	0.0604687	0.0525007	0.0414983
a66	0.504909	0.259079	0.145683	0.0510982	0.0242951	0.0149361
a87	0.563605	0.236967	0.0966408	0.0420729	0.0353461	0.0253678
a23	0.470532	0.283269	0.129576	0.0522359	0.0355899	0.028797
a79	0.438517	0.214592	0.1157	0.0879382	0.0693402	0.0739127
a69	0.438717	0.291086	0.145207	0.0553155	0.0357272	0.0339485
a54	0.407374	0.330287	0.17458	0.0531237	0.0213412	0.0132944
a47	0.232707	0.278976	0.228583	0.132694	0.0791103	0.0479292
a6	0.111488	0.185858	0.235658	0.191532	0.174475	0.10099
a56	0.113339	0.1648	0.195916	0.192774	0.204366	0.128805
a43	0.122699	0.135469	0.150039	0.17895	0.227498	0.185346
a75	0.0804487	0.0856079	0.107699	0.148674	0.270557	0.307012
a85	0.0279888	0.0380696	0.0948281	0.193539	0.330656	0.314918
a6	0.0159325	0.0233881	0.0702668	0.157898	0.321717	0.410797
a85	0.00990824	0.0120983	0.0340568	0.101297	0.311535	0.531104
a5	0.00228211	0.00355806	0.013479	0.0613114	0.305569	0.613801
a21	0.00261306	0.00384124	0.0126441	0.0488512	0.231913	0.700137
a12	0.00356202	0.00538378	0.0130877	0.0376158	0.188298	0.752052
a96	0.00112396	0.00231309	0.00992638	0.0335354	0.183253	0.769848
a36	0.00193475	0.00389693	0.0176032	0.0543833	0.236616	0.685566
a26	0.00544741	0.00956221	0.0247458	0.0610017	0.257818	0.641425
a82	0.0811649	0.05169	0.0623882	0.105162	0.248103	0.451491
a10	0.369462	0.197411	0.103489	0.0781026	0.10317	0.148365
a87	0.328478	0.258628	0.148561	0.0930019	0.0877164	0.0836143
a23	0.211132	0.182612	0.127615	0.105946	0.163155	0.20954
a99	0.0243695	0.0233164	0.0275159	0.0597885	0.266086	0.598924
a97	0.00765631	0.00873547	0.0130955	0.0455852	0.283347	0.641581
</S>	0.00376877	0.00522782	0.0143976	0.0691851	0.323863	0.583558
