 	ngala	a	calé	avec	une	pierre	son	panier	de	manioc	qui	a	failli	tomber	</S>
a15	0.339381	0.303596	0.0833435	0.0208592	0.0128356	0.011079	0.0206992	0.0287486	0.0290016	0.0373714	0.0362677	0.0262982	0.019132	0.0163326	0.0150543
a66	0.398622	0.344527	0.0974241	0.0210905	0.0110024	0.00757913	0.00633973	0.00678928	0.00755869	0.0102332	0.0122067	0.0152451	0.0168289	0.0222037	0.0223495
a87	0.470185	0.330465	0.108679	0.0221729	0.0156572	0.00899602	0.00560121	0.00405774	0.00361269	0.00394254	0.0036894	0.00341558	0.00377595	0.00642796	0.00932157
a23	0.347187	0.289486	0.170187	0.0384847	0.0209884	0.010266	0.00854463	0.0091437	0.0103196	0.0147419	0.0174241	0.0153157	0.0138933	0.0161962	0.0178219
a99	0.431917	0.235516	0.100733	0.0298275	0.0169561	0.00852411	0.00875888	0.0133521	0.0176245	0.0243158	0.0278735	0.0240254	0.0192016	0.0190244	0.0223495
a40	0.267306	0.132252	0.0638326	0.0269416	0.0177315	0.0133552	0.0241218	0.038928	0.0502245	0.0620312	0.0644725	0.0620002	0.0566078	0.0584211	0.0617738
a37	0.153809	0.145948	0.204004	0.120992	0.0857357	0.0562769	0.0333031	0.0220645	0.0190194	0.0195639	0.0200813	0.0225011	0.028101	0.0316813	0.0369188
a36	0.0382572	0.0466406	0.166778	0.241565	0.215723	0.0758298	0.0326978	0.0266366	0.0232253	0.0238561	0.0238251	0.0222767	0.0209493	0.0205765	0.0211626
a7	0.0295874	0.0266237	0.0884196	0.192172	0.198096	0.106096	0.0551299	0.0477445	0.040429	0.0397171	0.0395871	0.0341632	0.0321375	0.0333217	0.036775
a27	0.0213854	0.0202149	0.0673149	0.173569	0.193107	0.124976	0.0636987	0.0490721	0.0410895	0.0376599	0.0359021	0.0317265	0.0351819	0.0458174	0.0592843
a13	0.0164629	0.0154261	0.038386	0.0844939	0.100297	0.0923123	0.0626185	0.0594656	0.0593238	0.0572721	0.0593849	0.0624928	0.0770649	0.0957464	0.119253
a70	0.0200827	0.0197022	0.0532031	0.115171	0.135347	0.116974	0.0632211	0.0476408	0.0455089	0.0419353	0.0399264	0.042585	0.056389	0.0829982	0.119315
a44	0.0243447	0.0197887	0.0478097	0.102455	0.108332	0.128204	0.0786577	0.0578746	0.0524624	0.0472593	0.0438619	0.0443955	0.0559526	0.0791941	0.109407
a54	0.017115	0.0125664	0.0257863	0.0542105	0.0684584	0.130174	0.102075	0.0732821	0.0655293	0.0571661	0.0485509	0.0484584	0.0620364	0.0944225	0.140169
a44	0.0112919	0.00775882	0.0124235	0.0256545	0.0375888	0.0994072	0.115113	0.0992744	0.0954211	0.0835251	0.0579649	0.0548607	0.063857	0.0962916	0.139568
a70	0.0134435	0.00759551	0.0115738	0.0231685	0.0302624	0.0791532	0.110041	0.101269	0.0935546	0.0782506	0.0545113	0.0495611	0.0636411	0.106626	0.177349
a83	0.00588306	0.00302922	0.00420068	0.00947265	0.0124971	0.0453614	0.0965169	0.124619	0.125028	0.107875	0.0781694	0.0625698	0.0693279	0.100782	0.154667
a9	0.00492058	0.00294248	0.00367484	0.00687032	0.00920277	0.0319634	0.0823699	0.12869	0.132735	0.115248	0.0868375	0.0667487	0.070301	0.100468	0.157028
a53	0.00269748	0.00162062	0.00165064	0.00277427	0.00461755	0.0144439	0.0485402	0.109385	0.137294	0.125013	0.100718	0.0818293	0.0836813	0.116847	0.168888
a4	0.00187991	0.00113163	0.00153175	0.00315026	0.0049933	0.0209752	0.0533317	0.100174	0.148385	0.146791	0.107512	0.0935616	0.0883589	0.0982614	0.129963
a44	0.00128275	0.000683727	0.000782857	0.00164656	0.00314031	0.0130853	0.034548	0.0725307	0.125503	0.129281	0.0974004	0.0988328	0.111067	0.131367	0.178848
a4	0.000538389	0.000283956	0.000250454	0.00050484	0.0010837	0.0046279	0.0148105	0.0422772	0.0833747	0.0910594	0.0820855	0.0976429	0.131682	0.184161	0.265617
a70	0.00056312	0.000298752	0.000255636	0.000509243	0.0010878	0.00453834	0.0134211	0.0330085	0.0682288	0.078241	0.070358	0.0906203	0.133118	0.197051	0.308701
a93	0.000544276	0.000244643	0.000154271	0.000260061	0.000591041	0.00259453	0.00764645	0.0227476	0.0471221	0.0573427	0.0666898	0.0970123	0.155785	0.220655	0.32061
a70	0.000672589	0.000393332	0.000257722	0.000390476	0.000753726	0.00284504	0.00826407	0.0212999	0.0443266	0.0517201	0.0515596	0.0756235	0.142026	0.241999	0.357868
a53	0.000365874	0.000164007	0.000106204	0.000182221	0.000388684	0.00159371	0.00430155	0.0129189	0.028985	0.036638	0.0437791	0.074058	0.15233	0.262042	0.382147
a4	0.000218659	0.000118201	8.95092e-05	0.000164309	0.000376802	0.00170893	0.00493554	0.0145596	0.0340209	0.0421744	0.0482839	0.0831234	0.159758	0.267149	0.343319
a53	0.000223292	9.64454e-05	6.18457e-05	0.000118034	0.000274064	0.00127085	0.00346359	0.01013	0.0232007	0.0297241	0.0369709	0.0733398	0.159083	0.281054	0.380989
a7	0.000121256	5.42963e-05	4.21929e-05	9.20423e-05	0.000215591	0.00109421	0.00353382	0.0115789	0.0274197	0.0354318	0.0437486	0.0820616	0.158995	0.271616	0.363995
a44	0.000200942	9.3508e-05	7.31924e-05	0.000157085	0.000286778	0.00127227	0.00414274	0.013074	0.0293425	0.0351228	0.0409446	0.0689952	0.129725	0.263496	0.413074
a83	0.000158998	6.72058e-05	5.12582e-05	0.000123027	0.000230261	0.00107025	0.00333021	0.0098175	0.0218321	0.0249219	0.0285845	0.0594071	0.141147	0.295817	0.413441
a9	0.000165183	7.62361e-05	5.74171e-05	0.000138398	0.00030089	0.00126726	0.00309581	0.00763638	0.0140862	0.015667	0.0210826	0.0471518	0.121733	0.309671	0.457871
a71	0.00897312	0.00511828	0.0026987	0.00289155	0.00446152	0.00906821	0.0154474	0.0326683	0.0512627	0.0510553	0.0548027	0.0960521	0.154233	0.234394	0.276873
a9	0.0289424	0.021308	0.00927671	0.00638988	0.00794288	0.0127521	0.0191579	0.0340381	0.0529121	0.0571572	0.0619775	0.0997184	0.146803	0.209505	0.232118
a99	0.0447921	0.0388338	0.0167775	0.00813735	0.00863893	0.0117059	0.0170887	0.0314682	0.0512307	0.0620682	0.0721279	0.106911	0.140264	0.186142	0.203813
a87	0.0648615	0.0626963	0.0301357	0.0134508	0.0135154	0.0153627	0.0195382	0.0314494	0.0465274	0.0607286	0.0760742	0.102417	0.121947	0.161682	0.179614
a23	0.0751359	0.0773859	0.0427409	0.0211809	0.0196245	0.0185744	0.0228663	0.0431552	0.0607729	0.0815405	0.100441	0.101251	0.0995895	0.115826	0.119915
a87	0.0964292	0.105701	0.0631096	0.0264338	0.0210043	0.0238198	0.0241631	0.0348658	0.0460868	0.0586998	0.0632329	0.0804241	0.0904403	0.110096	0.155494
</S>	0.0261989	0.0424851	0.0370774	0.0214592	0.01829	0.0176562	0.0193464	0.0340524	0.0510679	0.0644295	0.0612269	0.079408	0.107639	0.165373	0.25429
