 	les	légumes	qu'	elle	a	préparés	sont	mous	</S>
a66	0.234208	0.212513	0.210809	0.134087	0.105254	0.0507831	0.0290469	0.0130099	0.0102875
a87	0.34972	0.191264	0.150833	0.0922701	0.0668592	0.0452159	0.035713	0.0294445	0.0386805
a23	0.439494	0.210812	0.166271	0.0845876	0.0409715	0.018469	0.00989572	0.00903637	0.0204634
a87	0.426884	0.220493	0.161244	0.069986	0.0441491	0.0228647	0.0141003	0.0133691	0.0269103
a23	0.366223	0.202518	0.166142	0.0823158	0.0619134	0.0357018	0.0253999	0.0250285	0.0347573
a40	0.339983	0.144918	0.112165	0.0809355	0.0776548	0.0624384	0.0627885	0.0512864	0.0678301
a7	0.424925	0.214036	0.137421	0.0776981	0.0473598	0.0301001	0.0249002	0.0214661	0.0220938
a84	0.2977	0.1773	0.132526	0.083194	0.0680656	0.0624875	0.0771014	0.0586364	0.0429891
a44	0.162395	0.155202	0.154257	0.107856	0.0916001	0.0858586	0.0926572	0.0861403	0.0640345
a13	0.125852	0.15636	0.174227	0.124534	0.104745	0.0896273	0.08651	0.0815045	0.0566395
a4	0.110472	0.131786	0.152771	0.115947	0.0995405	0.0909991	0.0927549	0.102683	0.103046
a13	0.0967151	0.130326	0.149409	0.117132	0.111531	0.102018	0.0893045	0.101327	0.102238
a54	0.0744813	0.110259	0.138272	0.116522	0.0961724	0.0832852	0.0773531	0.11613	0.187524
a47	0.0393055	0.060938	0.0913892	0.0990164	0.109345	0.113833	0.107368	0.161107	0.217699
a92	0.049136	0.0772523	0.105818	0.102523	0.112302	0.114745	0.105479	0.138837	0.193907
a6	0.0519977	0.0831516	0.114081	0.119487	0.136677	0.158709	0.122543	0.121238	0.0921161
a37	0.0510272	0.0822033	0.117707	0.129853	0.137637	0.149132	0.10336	0.120819	0.108261
a34	0.0524355	0.0817682	0.114056	0.149517	0.149969	0.142258	0.082503	0.102741	0.124751
a70	0.0420678	0.0631826	0.0827385	0.119408	0.156399	0.173801	0.11484	0.122172	0.125391
a53	0.0276119	0.0414175	0.052035	0.0750239	0.1154	0.163641	0.147323	0.192105	0.185442
a15	0.0187279	0.0287875	0.0365517	0.0581409	0.0942235	0.156555	0.151567	0.236022	0.219425
a7	0.0113273	0.0161561	0.0201123	0.0312336	0.0580568	0.116703	0.152523	0.271809	0.322079
a36	0.00713556	0.00774253	0.0098278	0.0198999	0.034297	0.0645296	0.0991781	0.235637	0.521753
a47	0.0164261	0.0150148	0.0177747	0.0301889	0.0484177	0.0668154	0.0997503	0.182911	0.522701
a36	0.00974136	0.0103077	0.0128256	0.0235949	0.0416161	0.0759887	0.115796	0.241139	0.468991
a2	0.00445954	0.00476703	0.00540201	0.00946892	0.016629	0.0329863	0.0811725	0.260205	0.58491
a44	0.00538169	0.00399703	0.00396068	0.00586373	0.00866228	0.0118369	0.0425723	0.166462	0.751263
a58	0.00632976	0.00507945	0.00483626	0.00688106	0.0100812	0.014914	0.0522183	0.198992	0.700668
a82	0.00497299	0.00381645	0.00368527	0.00558698	0.00831101	0.0106174	0.0359613	0.171666	0.755382
a87	0.0778849	0.0416038	0.0362466	0.0385015	0.0377549	0.0440013	0.100547	0.218477	0.404983
a23	0.233147	0.109783	0.0915513	0.0860553	0.0777649	0.0740982	0.0879211	0.106604	0.133075
a87	0.3059	0.102468	0.0758542	0.0659119	0.0558003	0.069837	0.068264	0.109665	0.146299
</S>	0.0715023	0.0260945	0.0220327	0.0233247	0.0273012	0.0475882	0.0725236	0.21903	0.490603
