 	le	manioc	que	ngala	a	préparé	hier	a	déjà	moisi	</S>
a87	0.0780368	0.0626125	0.0641639	0.119318	0.203619	0.247995	0.124739	0.0697868	0.0161883	0.00734313	0.00619795
a23	0.230828	0.141977	0.113211	0.113336	0.114209	0.11461	0.0611796	0.0476639	0.0260961	0.0196121	0.0172768
a5	0.12685	0.111578	0.107673	0.128359	0.135005	0.157996	0.0755882	0.0482921	0.0298561	0.0327169	0.0460865
a18	0.283697	0.210969	0.148284	0.0764144	0.078521	0.0635366	0.0421271	0.0407814	0.0243233	0.0170199	0.0143259
a82	0.33246	0.264447	0.168891	0.0831913	0.0641567	0.0310113	0.0142526	0.0119077	0.00920622	0.0102015	0.0102747
a40	0.241372	0.212347	0.135056	0.0670444	0.0513958	0.0378495	0.0332475	0.0423383	0.0519441	0.0684192	0.0589854
a76	0.247921	0.214252	0.161053	0.087064	0.0732778	0.0469648	0.0339039	0.0311813	0.0275966	0.0339582	0.0428266
a98	0.16624	0.152707	0.143611	0.096432	0.104065	0.0892723	0.0780842	0.0557725	0.0348807	0.0370915	0.0418443
a5	0.134375	0.149564	0.160262	0.130265	0.139122	0.0913374	0.0600797	0.0382621	0.0254698	0.0309719	0.0402916
a21	0.146838	0.148059	0.160305	0.128765	0.153512	0.110975	0.0595821	0.0318831	0.0156867	0.0190662	0.0253267
a61	0.0847127	0.107052	0.139442	0.149248	0.181015	0.142745	0.0814901	0.0393998	0.0193228	0.0248318	0.0307415
a11	0.0613889	0.0787544	0.103232	0.1674	0.188455	0.147214	0.0941226	0.0455085	0.0270525	0.0392426	0.0476293
a24	0.0421453	0.0533053	0.0691269	0.139731	0.131648	0.110009	0.105695	0.0607926	0.0512305	0.100248	0.136069
a62	0.0528702	0.0638878	0.0790397	0.138321	0.125856	0.107653	0.113499	0.0617118	0.0438807	0.088182	0.125099
a61	0.0538071	0.0635085	0.0745833	0.125304	0.113579	0.106013	0.13295	0.0794066	0.0503391	0.0868005	0.113709
a96	0.0601536	0.0693707	0.0785799	0.114897	0.100682	0.0941909	0.1316	0.0848824	0.0547002	0.0886616	0.122281
a75	0.0479195	0.0577038	0.0650798	0.083106	0.074145	0.0741047	0.147781	0.112559	0.0749927	0.114967	0.147642
a85	0.0571492	0.0642938	0.0666443	0.0580749	0.0453398	0.0372146	0.0693039	0.0563765	0.0651738	0.168574	0.311855
a47	0.0526938	0.0564002	0.0585732	0.0524165	0.0438454	0.0351527	0.0727496	0.0594586	0.0734255	0.179556	0.315729
a73	0.040018	0.0388352	0.038444	0.0394449	0.0355535	0.0319218	0.0631527	0.0716427	0.0928131	0.222075	0.326099
a57	0.0294071	0.0269948	0.0254923	0.0266523	0.0178894	0.015224	0.0356548	0.045972	0.0892391	0.261857	0.425617
a53	0.0272301	0.0227673	0.022524	0.0291995	0.0323218	0.0392325	0.0781016	0.0869856	0.110688	0.245875	0.305075
a56	0.01334	0.0118011	0.0118149	0.0128662	0.0120423	0.0144833	0.0300236	0.0398192	0.0806073	0.240733	0.532469
a70	0.00693682	0.00677207	0.00722377	0.00818685	0.0064418	0.00768013	0.0273754	0.0420225	0.115597	0.288492	0.483271
a50	0.00199654	0.00209056	0.00248206	0.00385572	0.00344615	0.00495317	0.0192176	0.028498	0.094525	0.314039	0.524896
a0	0.00176418	0.0017525	0.00217103	0.00416526	0.00408643	0.00459783	0.0152609	0.0305904	0.110248	0.325403	0.49996
a11	0.00243283	0.00208455	0.0021944	0.0029354	0.00262037	0.0024618	0.00761843	0.0162959	0.0659632	0.276633	0.61876
a93	0.00355465	0.00262669	0.00229558	0.00223463	0.00191429	0.00170184	0.0057003	0.012699	0.0550659	0.268644	0.643564
a13	0.00029439	0.000310933	0.000364487	0.000568846	0.00041663	0.000599837	0.00290369	0.00584375	0.0322841	0.233971	0.722442
a38	0.00229677	0.00191199	0.00170651	0.00164994	0.00134658	0.00135923	0.00517355	0.0109054	0.0482168	0.272706	0.652727
a66	0.00370979	0.00274931	0.00228225	0.0018655	0.0015136	0.00154499	0.00372941	0.0078168	0.0418882	0.261562	0.671338
a44	0.018753	0.0120501	0.00830753	0.00514197	0.00399702	0.00437814	0.0117166	0.0223164	0.0683851	0.246827	0.598127
a57	0.00279005	0.00213132	0.00177655	0.00142133	0.00124118	0.00154984	0.00506895	0.0117954	0.0532337	0.266628	0.652363
a87	0.0233826	0.0147077	0.0100732	0.00640024	0.00560381	0.007395	0.0181524	0.0309074	0.0842309	0.252826	0.546321
a99	0.078013	0.0529552	0.0409774	0.0392644	0.052065	0.0872838	0.114167	0.119106	0.113607	0.138816	0.163745
a87	0.0457782	0.0310595	0.0250559	0.0346759	0.0363155	0.0539542	0.0796624	0.0805993	0.122465	0.196951	0.293483
a23	0.0258177	0.0209276	0.0200605	0.0313358	0.0406507	0.0636887	0.0755892	0.0704266	0.11192	0.197859	0.341724
a87	0.0258632	0.0185951	0.015011	0.02335	0.0251047	0.0423524	0.0642272	0.0663406	0.12185	0.213726	0.38358
</S>	0.0218166	0.0147809	0.0113713	0.0190899	0.021385	0.0394806	0.0611419	0.0671095	0.131461	0.231027	0.381336
