 	les	abeilles	font	beaucoup	de	miel	</S>
a40	0.193962	0.181042	0.160413	0.150208	0.114171	0.105031	0.0951734
a30	0.0978589	0.0867399	0.123006	0.165046	0.179952	0.192363	0.155034
a35	0.36315	0.171035	0.114923	0.0994679	0.0838355	0.0821758	0.0854123
a70	0.464763	0.19793	0.103315	0.0722316	0.0535894	0.051182	0.0569883
a38	0.490684	0.218571	0.0851161	0.0583965	0.0464523	0.0461208	0.054659
a35	0.350177	0.251603	0.116262	0.0814597	0.0643814	0.0633243	0.0727921
a41	0.300977	0.245215	0.137885	0.102155	0.0786128	0.0668122	0.068342
a66	0.261067	0.254829	0.152645	0.115188	0.0855807	0.0689971	0.061693
a38	0.200505	0.230029	0.143599	0.120119	0.091843	0.0933555	0.120549
a14	0.151033	0.22319	0.178223	0.159184	0.103328	0.086806	0.0982371
a30	0.174184	0.247069	0.180497	0.154139	0.105383	0.0756004	0.0631282
a57	0.125301	0.240598	0.216774	0.177034	0.108047	0.0708597	0.0613859
a87	0.0524338	0.123215	0.194122	0.228857	0.161367	0.121503	0.118503
a23	0.0371748	0.0703774	0.166093	0.244575	0.221422	0.149003	0.111355
a87	0.068257	0.0819152	0.169725	0.207806	0.180448	0.132123	0.159724
a23	0.0615277	0.0755947	0.170473	0.212174	0.207581	0.140563	0.132088
a87	0.0430464	0.060343	0.152004	0.195093	0.201923	0.157506	0.190085
a23	0.034066	0.0517324	0.11996	0.176373	0.215704	0.192617	0.209548
a87	0.0241998	0.0355075	0.111123	0.176646	0.227336	0.219822	0.205367
a23	0.016368	0.0327484	0.0870387	0.129271	0.19559	0.233293	0.30569
a99	0.013396	0.0222789	0.0801376	0.131535	0.205304	0.246138	0.30121
a20	0.0129679	0.0168048	0.0522581	0.114999	0.180872	0.247437	0.374661
a30	0.0547791	0.0558192	0.0858531	0.11253	0.144638	0.199476	0.346905
a44	0.0549875	0.0822318	0.132922	0.17022	0.180674	0.162769	0.216197
a57	0.0308296	0.0603691	0.106017	0.156184	0.168997	0.189353	0.288249
a53	0.0220761	0.036195	0.0772377	0.141148	0.186431	0.231367	0.305545
a76	0.063805	0.0971638	0.119516	0.141727	0.142209	0.172686	0.262893
a94	0.0771866	0.117024	0.112478	0.13332	0.148802	0.184876	0.226314
a66	0.0384544	0.058883	0.0681551	0.100937	0.137762	0.216581	0.379227
a76	0.0133379	0.0273353	0.0528106	0.108549	0.155968	0.257904	0.384094
a94	0.0391827	0.0609859	0.0741027	0.11187	0.154177	0.237488	0.322193
a35	0.0165738	0.0267126	0.0343527	0.0630075	0.104198	0.228226	0.52693
a38	0.0115803	0.0188693	0.0286192	0.0582405	0.102831	0.228976	0.550884
a94	0.0069786	0.0127007	0.02403	0.0571595	0.106411	0.247304	0.545416
a76	0.00956447	0.0179395	0.0310669	0.0657542	0.112531	0.242778	0.520365
a41	0.0124332	0.0211416	0.0298971	0.0555446	0.09309	0.214516	0.573377
a21	0.00423207	0.00806384	0.0177656	0.0425671	0.0875932	0.222676	0.617102
a12	0.0107409	0.0141534	0.0241351	0.0424769	0.0799508	0.194399	0.634144
a83	0.0117368	0.0132826	0.0231355	0.0420603	0.0748095	0.170689	0.664286
a38	0.0142898	0.0177254	0.0304955	0.0595859	0.102536	0.196573	0.578794
a24	0.0177845	0.0250274	0.0428456	0.0690157	0.109609	0.203375	0.532343
a9	0.0188253	0.0227168	0.0328172	0.051052	0.0907634	0.20703	0.576795
a87	0.0177667	0.0238618	0.0449645	0.0598141	0.0951694	0.203967	0.554457
a23	0.0201226	0.0155364	0.0334929	0.0491142	0.0884171	0.203686	0.58963
a87	0.0624792	0.0394913	0.0733206	0.0928761	0.136638	0.214952	0.380243
a97	0.0325516	0.0253472	0.0559257	0.0728866	0.112621	0.21022	0.490448
a87	0.0748468	0.0578239	0.0801146	0.0925715	0.121182	0.196067	0.377394
</S>	0.0723045	0.0559428	0.0700615	0.0773711	0.110369	0.202185	0.411766
