 	dans	ce	champ	de	chasse	on	ne	trouve	plus	de	gibier	</S>
a85	0.233837	0.171184	0.122589	0.0801708	0.0684736	0.0777906	0.088798	0.0791742	0.0372563	0.0163321	0.012477	0.0119172
a66	0.304447	0.144072	0.0786222	0.0589318	0.0550842	0.0636915	0.0635188	0.0675751	0.0642806	0.0439366	0.0278891	0.0279515
a87	0.220165	0.160557	0.136788	0.129258	0.0939461	0.0710516	0.047352	0.031063	0.0184357	0.0204892	0.0283402	0.0425545
a23	0.278506	0.215098	0.178597	0.130832	0.0717141	0.0450505	0.0268832	0.0149744	0.00809217	0.00748596	0.00866294	0.0141034
a83	0.233243	0.182534	0.160379	0.13693	0.0827356	0.0584812	0.0321154	0.0176138	0.015236	0.0200712	0.0247851	0.0358762
a54	0.165119	0.126975	0.119204	0.102519	0.077704	0.0658802	0.0553222	0.0476397	0.0495178	0.0607856	0.0682003	0.0611328
a47	0.121871	0.119477	0.124598	0.110643	0.0957289	0.0813062	0.0716438	0.0683656	0.0533684	0.0537182	0.0557374	0.0435423
a6	0.0611697	0.0833926	0.113306	0.118297	0.119995	0.102028	0.0876415	0.0592655	0.049434	0.0612659	0.0791461	0.0650587
a36	0.0733432	0.0930104	0.141402	0.143669	0.132751	0.106163	0.0898602	0.0625703	0.0385566	0.0373116	0.0443861	0.0369762
a21	0.0713274	0.0800377	0.123481	0.162846	0.172412	0.146622	0.109203	0.0481349	0.0223093	0.0174699	0.0229377	0.023219
a85	0.0681864	0.0702122	0.090649	0.130517	0.163805	0.168113	0.14179	0.0731665	0.0288058	0.0181513	0.0224093	0.0241942
a6	0.035974	0.0394425	0.0559462	0.098677	0.144457	0.159458	0.141714	0.0868529	0.0515094	0.040346	0.0623194	0.0833042
a37	0.0204225	0.0198355	0.0283905	0.0603329	0.115436	0.163998	0.176717	0.12132	0.069498	0.0580628	0.0765124	0.0894754
a21	0.0186924	0.0170212	0.024211	0.0508329	0.105512	0.181286	0.212366	0.146425	0.067169	0.0455097	0.0576495	0.0733249
a85	0.0168521	0.0144164	0.0162335	0.0259622	0.0508474	0.103631	0.153975	0.18246	0.146557	0.0900431	0.0921848	0.106837
a5	0.0123214	0.0102535	0.0114379	0.0157733	0.027496	0.0536011	0.0837257	0.103168	0.120053	0.123614	0.175506	0.263051
a37	0.0120703	0.0103078	0.0124405	0.0198113	0.0359622	0.0735735	0.125145	0.178534	0.161758	0.102398	0.118329	0.149672
a44	0.0151918	0.0140784	0.0163491	0.0236289	0.0367684	0.0573524	0.0791991	0.124043	0.149589	0.100545	0.140672	0.242583
a15	0.00886382	0.00774544	0.00929845	0.0135188	0.0207321	0.0319923	0.0433236	0.0739124	0.134619	0.120274	0.18963	0.346089
a7	0.00652153	0.005485	0.00656282	0.0091711	0.0114357	0.0151742	0.0181959	0.0332092	0.0914784	0.117097	0.229292	0.456377
a54	0.00783423	0.00687373	0.00759221	0.00906822	0.00967439	0.0110583	0.011663	0.0182319	0.0491298	0.093137	0.239712	0.536025
a36	0.00458665	0.00354405	0.00382788	0.00467521	0.00534977	0.00693815	0.00816066	0.0144444	0.0457581	0.100452	0.24678	0.555483
a2	0.00443654	0.00360226	0.00361434	0.00358034	0.00362256	0.00413195	0.00458577	0.00796824	0.029207	0.0900223	0.240828	0.604401
a57	0.0320807	0.0243679	0.019418	0.0152995	0.0160957	0.013786	0.013925	0.0226998	0.0514027	0.0950061	0.205923	0.489995
a87	0.139166	0.0910696	0.0726149	0.0483031	0.0503804	0.0481681	0.0522977	0.0650238	0.0899829	0.0860136	0.104167	0.152812
a23	0.188963	0.130094	0.0951157	0.0576551	0.0512495	0.0463171	0.048728	0.0615151	0.085589	0.0712731	0.0730564	0.0904442
a87	0.123609	0.0995761	0.0772499	0.0505142	0.0429455	0.0358984	0.0362854	0.0512884	0.090561	0.12302	0.124646	0.144406
</S>	0.0213015	0.0171617	0.0192576	0.0163716	0.0178946	0.0202935	0.0253729	0.0416407	0.0724913	0.161241	0.271193	0.315781
