 	dans	cette	région	la	terre	est	brune	</S>
a87	0.29365	0.188201	0.109432	0.10394	0.079904	0.0843303	0.0764805	0.0640617
a10	0.15021	0.129399	0.116495	0.111486	0.100186	0.109834	0.127939	0.154451
a75	0.226507	0.153455	0.114133	0.122297	0.0962434	0.0848685	0.101431	0.101065
a47	0.417315	0.222446	0.12117	0.0848975	0.0560622	0.0338608	0.0305216	0.0337262
a88	0.394448	0.30108	0.139908	0.0800322	0.0386291	0.0165985	0.0139181	0.015386
a25	0.315191	0.315439	0.192231	0.106796	0.0404441	0.0137631	0.00903977	0.00709641
a62	0.237573	0.253029	0.212304	0.154736	0.0859	0.0306852	0.0154622	0.0103101
a21	0.241177	0.276931	0.23813	0.139806	0.0607886	0.02249	0.01233	0.00834764
a61	0.204141	0.238364	0.243779	0.156559	0.0785164	0.0381437	0.0245737	0.015923
a75	0.110203	0.143923	0.242063	0.210851	0.159695	0.0758869	0.0367745	0.0206031
a85	0.12656	0.133385	0.210828	0.185424	0.156525	0.0937534	0.058711	0.0348136
a41	0.0736181	0.0903336	0.1534	0.153474	0.171901	0.146939	0.121475	0.0888588
a21	0.0586445	0.0587478	0.1013	0.114272	0.187656	0.21623	0.163213	0.0999369
a18	0.0793047	0.0846356	0.121578	0.123057	0.171718	0.209014	0.146358	0.0643347
a38	0.0506131	0.0515754	0.0792366	0.0905381	0.153328	0.227247	0.200814	0.146648
a21	0.0256064	0.0239029	0.0415648	0.0529503	0.123552	0.255952	0.274402	0.20207
a61	0.0493269	0.043485	0.0614338	0.0623903	0.101777	0.199161	0.256663	0.225764
a21	0.00969543	0.00976517	0.0227565	0.0284321	0.0672273	0.191404	0.338107	0.332612
a61	0.0133343	0.0127877	0.0269631	0.0304331	0.0646687	0.161987	0.31867	0.371157
a31	0.00528001	0.00529186	0.0122735	0.0149417	0.0358382	0.116921	0.329968	0.479486
a88	0.00418379	0.00407727	0.00908313	0.0111432	0.0280454	0.104054	0.3265	0.512913
a9	0.00277969	0.00305599	0.00685896	0.00861041	0.0202584	0.0785714	0.290428	0.589437
a10	0.00558478	0.00497308	0.00745437	0.00872138	0.0171236	0.0614791	0.202191	0.692472
a11	0.0156134	0.00917196	0.00984023	0.0123166	0.02424	0.0774523	0.211283	0.640083
a90	0.0187585	0.00975296	0.00909523	0.0115252	0.0204009	0.0617867	0.20404	0.664641
a82	0.00117619	0.00125329	0.00197718	0.00322032	0.00761573	0.032019	0.12428	0.828458
a10	0.00112376	0.00104465	0.00172806	0.00265551	0.00708575	0.0310009	0.111709	0.843652
a87	0.00244913	0.0019104	0.00260571	0.00372071	0.00971698	0.0407581	0.152411	0.786427
a23	0.0242348	0.0146507	0.0154975	0.021073	0.0420574	0.0961936	0.201988	0.584305
a87	0.0116554	0.00755884	0.010679	0.0159014	0.03981	0.100874	0.234723	0.578798
</S>	0.0213881	0.0139116	0.0221956	0.0336581	0.072448	0.116102	0.187816	0.532481
