 	nous	venons	de	couper	les	lattes	dans	la	forêt	</S>
a97	0.279831	0.198721	0.176521	0.147231	0.0775234	0.0333497	0.0270806	0.0256682	0.0204058	0.0136671
a99	0.286723	0.219376	0.188312	0.101926	0.0675203	0.0700465	0.0265108	0.0162206	0.011543	0.0118221
a87	0.27076	0.29216	0.181396	0.0926709	0.0534248	0.0647174	0.0157681	0.00681005	0.00942349	0.0128689
a23	0.261288	0.277751	0.21479	0.0968988	0.0471424	0.0678379	0.0138256	0.00597866	0.00634942	0.00813799
a50	0.249896	0.326261	0.160864	0.0747444	0.0471952	0.0825941	0.0161777	0.0103975	0.012996	0.0188736
a0	0.286099	0.310398	0.157255	0.0937052	0.0647647	0.0497133	0.00911488	0.0055024	0.00865521	0.0147934
a75	0.295235	0.304358	0.153898	0.0978236	0.076811	0.049738	0.00748132	0.00349969	0.00455735	0.0065979
a56	0.215301	0.167545	0.167352	0.186116	0.178425	0.0662629	0.00813392	0.00394154	0.00331118	0.00361157
a75	0.145346	0.164616	0.181022	0.181639	0.170296	0.11847	0.024847	0.00589717	0.00351726	0.00435051
a25	0.0711471	0.0591203	0.0850083	0.14196	0.244014	0.247725	0.100093	0.0247173	0.0121599	0.0140545
a69	0.0326031	0.0334729	0.067574	0.148283	0.248206	0.265351	0.139342	0.0321099	0.0150929	0.0179649
a90	0.0238183	0.0221312	0.0466849	0.116586	0.200667	0.20926	0.197602	0.0841524	0.0449685	0.0541301
a92	0.0314515	0.0310729	0.0618572	0.151556	0.209225	0.201903	0.164843	0.0739765	0.0373583	0.0367574
a21	0.0240336	0.0269149	0.0610261	0.17323	0.208039	0.181863	0.156162	0.076052	0.0438564	0.0488239
a5	0.0181391	0.0235187	0.047473	0.110292	0.13881	0.161453	0.193223	0.126959	0.0859155	0.0942168
a21	0.0070149	0.00749751	0.0164971	0.0556401	0.0752567	0.0979979	0.193363	0.199654	0.159325	0.187754
a12	0.00382247	0.00360529	0.00673774	0.0214153	0.0326871	0.0636046	0.192887	0.235102	0.197447	0.242692
a21	0.00264948	0.00172021	0.00254057	0.00693968	0.0121526	0.0322065	0.126347	0.244126	0.261486	0.309832
a12	0.0015876	0.00110569	0.00144521	0.0035503	0.00629998	0.0184363	0.078285	0.218277	0.301578	0.369435
a43	0.00102061	0.000654356	0.000849203	0.00235409	0.00434205	0.0126002	0.0351344	0.114246	0.302051	0.526748
a75	0.000645263	0.00032971	0.000438096	0.00105652	0.0018278	0.00334962	0.00880309	0.0502334	0.307491	0.625826
a6	0.000131288	9.45401e-05	0.000136298	0.00055604	0.0012259	0.002849	0.00719963	0.0368464	0.273619	0.677342
a7	9.46396e-05	6.16665e-05	9.27882e-05	0.000353192	0.000859065	0.00219751	0.00610477	0.0311191	0.276493	0.682624
a44	0.000329079	0.00018986	0.000197076	0.000382453	0.000882925	0.00192355	0.00675411	0.0353115	0.258595	0.695434
a58	0.000233717	0.000116121	0.000130916	0.00030478	0.000910246	0.00209668	0.0100878	0.0473398	0.286441	0.652339
a82	0.00232122	0.00119101	0.00120081	0.00156822	0.00444744	0.00907818	0.0290504	0.0845459	0.28189	0.584707
a3	0.0575251	0.030226	0.0288157	0.0290999	0.0564893	0.0713894	0.107722	0.138686	0.215406	0.264641
a87	0.253695	0.164756	0.0760417	0.0353989	0.0396848	0.0582093	0.0660278	0.071276	0.108313	0.126597
a23	0.268182	0.195179	0.115804	0.0543664	0.0519101	0.0747951	0.0519163	0.0455869	0.0732045	0.0690555
a10	0.013559	0.00941654	0.00709487	0.00593206	0.0096882	0.027627	0.0623699	0.149933	0.335644	0.378736
</S>	0.00166837	0.00128211	0.00108717	0.00100531	0.00188902	0.00780308	0.0423011	0.154383	0.344695	0.443886
