 	ils	s'	accroupissent	autour	du	feu	</S>
a23	0.208375	0.191502	0.201734	0.161943	0.101747	0.0718434	0.0628551
a97	0.206421	0.159884	0.180739	0.150876	0.106835	0.104036	0.09121
a79	0.186283	0.137046	0.112293	0.0902757	0.11884	0.162964	0.192298
a30	0.258714	0.234149	0.158963	0.117377	0.0847067	0.0733578	0.0727331
a14	0.272096	0.29975	0.184641	0.0928237	0.0565743	0.0479008	0.0462139
a44	0.314361	0.273781	0.164056	0.104946	0.0653167	0.0422862	0.0352529
a75	0.339447	0.293495	0.153574	0.0874853	0.0578837	0.0361758	0.031939
a30	0.296375	0.277051	0.19895	0.103771	0.0638892	0.0332936	0.0266706
a14	0.325828	0.295128	0.210754	0.0866651	0.0466713	0.0198184	0.0151355
a26	0.304698	0.314155	0.21587	0.0790165	0.0448537	0.0228794	0.0185266
a38	0.236517	0.286507	0.232895	0.115574	0.0652798	0.0347645	0.0284619
a61	0.232253	0.282237	0.222785	0.132159	0.0713249	0.0336919	0.025549
a75	0.225165	0.238229	0.169811	0.160915	0.11776	0.0548074	0.0333121
a35	0.173044	0.198337	0.186685	0.142809	0.13073	0.0940262	0.0743688
a66	0.167227	0.176105	0.158528	0.143881	0.148201	0.116896	0.0891627
a54	0.0809094	0.0977476	0.105509	0.14942	0.203181	0.194099	0.169134
a35	0.0992908	0.114883	0.119343	0.119198	0.163437	0.192578	0.19127
a98	0.0680118	0.0834961	0.111705	0.144344	0.203646	0.20798	0.180817
a73	0.0365511	0.0460738	0.0688016	0.124539	0.224839	0.261778	0.237417
a76	0.0209181	0.0233824	0.034731	0.0887441	0.220904	0.31792	0.293401
a35	0.0157114	0.0189011	0.03606	0.0771241	0.203216	0.323428	0.32556
a98	0.013572	0.0157853	0.0316495	0.0738835	0.189199	0.349499	0.326411
a76	0.00674024	0.008161	0.0177511	0.0585775	0.164796	0.358215	0.385758
a94	0.0147016	0.0166884	0.0307809	0.0690508	0.159219	0.333335	0.376224
a76	0.00600879	0.00603039	0.0136505	0.0412608	0.104729	0.314305	0.514015
a35	0.0121748	0.0121118	0.0226687	0.0811718	0.15539	0.325054	0.391429
a76	0.00440787	0.0042781	0.0104405	0.0441357	0.115043	0.317946	0.503749
a90	0.00611044	0.00617584	0.0119606	0.0627243	0.135702	0.338586	0.438741
a82	0.00704018	0.00720202	0.0137975	0.0458773	0.107381	0.300863	0.517839
a38	0.0030043	0.0031888	0.00654502	0.034013	0.103965	0.322484	0.5268
a75	0.00219335	0.00227441	0.0050375	0.02696	0.0998958	0.330528	0.533111
a14	0.00392693	0.00425287	0.00945617	0.040218	0.111522	0.319214	0.51141
a30	0.00198466	0.00202899	0.00415048	0.0284765	0.0989148	0.326083	0.538362
a35	0.00487823	0.00469621	0.00593565	0.0242472	0.0858481	0.318144	0.556251
a24	0.00410272	0.00398953	0.00685931	0.0290903	0.0939465	0.319468	0.542544
a41	0.00567435	0.00514506	0.00811722	0.0253024	0.0809398	0.306729	0.568092
a14	0.00911334	0.00824923	0.0117363	0.0355067	0.0958867	0.302777	0.53673
a30	0.0106859	0.00985726	0.0124784	0.0431892	0.111222	0.305872	0.506695
a57	0.0127254	0.0123958	0.0144966	0.0525107	0.132717	0.311931	0.463224
a87	0.0168497	0.0148556	0.0181996	0.062648	0.152159	0.342396	0.392893
</S>	0.0124812	0.012094	0.0264685	0.0717587	0.187744	0.33658	0.352873
