 	j'	ai	abattu	l'	arbre	otsányii	dans	mon	champ	</S>
a15	0.301957	0.204484	0.18998	0.15297	0.0719159	0.0220203	0.0108132	0.0158988	0.0139222	0.0160398
a66	0.382054	0.214349	0.140756	0.0877323	0.0651856	0.0332546	0.0237	0.0210403	0.0154741	0.0164542
a87	0.407994	0.27264	0.15156	0.0766419	0.0325989	0.0179654	0.0111781	0.00871173	0.00848464	0.0122258
a23	0.34139	0.293184	0.200792	0.103693	0.030189	0.00947576	0.00499551	0.00470024	0.00462215	0.00695857
a3	0.357469	0.308527	0.186887	0.0704365	0.0174094	0.00518394	0.00336464	0.00626814	0.0128879	0.0315671
a38	0.430196	0.290205	0.153969	0.0643842	0.0203646	0.00570122	0.00289362	0.00476449	0.00920801	0.0183133
a88	0.294401	0.1987	0.169246	0.0844176	0.044582	0.0223646	0.0216511	0.0347458	0.051122	0.0787704
a71	0.135459	0.140412	0.151424	0.132762	0.126863	0.134667	0.0607794	0.050399	0.0359794	0.0312555
a90	0.0561161	0.0783875	0.0989345	0.118966	0.135532	0.156929	0.127541	0.0974005	0.0692572	0.0609353
a79	0.0221973	0.0395883	0.0532879	0.0836519	0.174897	0.355218	0.15599	0.0588556	0.0324008	0.0239131
a25	0.0180778	0.0308513	0.0430701	0.0817078	0.200235	0.383711	0.154722	0.0454651	0.0246703	0.01749
a79	0.0259008	0.03886	0.049595	0.0843612	0.196592	0.358894	0.154763	0.0463677	0.0259952	0.018671
a7	0.0398124	0.0435986	0.0547366	0.0770516	0.135066	0.284182	0.190532	0.0727605	0.0557434	0.0465159
a75	0.039812	0.0347678	0.0344197	0.0420384	0.063531	0.123514	0.208336	0.135434	0.153557	0.164589
a5	0.0381353	0.0310578	0.0289551	0.0355447	0.0541362	0.0944159	0.20876	0.164789	0.175626	0.16858
a12	0.0146711	0.00928939	0.00791378	0.00929245	0.0150277	0.0284232	0.113391	0.178639	0.272981	0.350372
a43	0.00815487	0.00422961	0.00379899	0.00392544	0.00491882	0.0111252	0.0513154	0.151388	0.299105	0.462039
a54	0.00469354	0.00262936	0.00248318	0.00176391	0.00109653	0.00249752	0.0165688	0.074779	0.266226	0.627262
a7	0.00107135	0.000524932	0.000535654	0.000445898	0.000490327	0.00179925	0.0131529	0.0655342	0.257369	0.659076
a44	0.00105382	0.000539635	0.000512133	0.000377195	0.00039884	0.00142159	0.00820907	0.0413157	0.198957	0.747215
a4	0.00128321	0.000590358	0.000526916	0.000456908	0.000780108	0.0042752	0.0202743	0.0785626	0.248152	0.645099
a57	0.00280232	0.00129555	0.00109782	0.000936447	0.00137849	0.00675939	0.0332002	0.103241	0.258862	0.590427
a27	0.00943082	0.00482323	0.0045805	0.00343493	0.00431213	0.00804771	0.0269575	0.0773686	0.225078	0.635966
a10	0.231546	0.105983	0.066564	0.0455213	0.0415122	0.0492301	0.0654696	0.0818503	0.111359	0.200965
a87	0.403295	0.217549	0.100287	0.0578873	0.0363521	0.0342763	0.0313963	0.0349559	0.0389816	0.0450195
a23	0.347362	0.251787	0.148644	0.0847589	0.0451216	0.0288095	0.0172239	0.0189355	0.0242016	0.0331561
a87	0.215088	0.178873	0.12401	0.0823325	0.0423319	0.0295736	0.0418305	0.0675125	0.0927231	0.125725
</S>	0.0618861	0.0413534	0.0251252	0.0195674	0.0164874	0.024427	0.052076	0.115449	0.233974	0.409655
