 	si	tu	me	donnes	un	coup	de	bâton	je	ripo	sterai	</S>
a66	0.136433	0.123666	0.125148	0.125529	0.0546293	0.0622801	0.0784142	0.104866	0.148474	0.0299766	0.00674048	0.0038424
a87	0.291697	0.212776	0.148771	0.100227	0.0407586	0.0387613	0.0404356	0.0442096	0.0495498	0.0184024	0.00751054	0.00690135
a23	0.218433	0.197152	0.148729	0.0962255	0.062153	0.0546973	0.0603755	0.0690435	0.0513605	0.0234083	0.00955248	0.0088694
a87	0.255172	0.270961	0.166948	0.0877671	0.0481305	0.0487356	0.0417131	0.0306098	0.0149783	0.00789574	0.00861187	0.0184769
a23	0.24356	0.243168	0.154777	0.0936074	0.057734	0.0571909	0.0487251	0.0425734	0.0277092	0.0118614	0.00844199	0.0106519
a53	0.207283	0.23939	0.153182	0.102147	0.0439873	0.0447191	0.042642	0.0395168	0.0312098	0.0291234	0.0275288	0.0392708
a20	0.146515	0.163492	0.136031	0.160383	0.0576508	0.0434587	0.038967	0.0509644	0.0767671	0.0759144	0.0343635	0.0154932
a15	0.0647992	0.0833791	0.0780869	0.141266	0.0703375	0.0487157	0.0372884	0.0446663	0.0850195	0.214058	0.102386	0.0299973
a79	0.0395743	0.0597457	0.0689052	0.140618	0.0895308	0.0607547	0.0437463	0.0439323	0.0793765	0.193893	0.14437	0.0355531
a44	0.0556842	0.0752402	0.0853977	0.154153	0.11702	0.0868795	0.0658389	0.0616928	0.0903895	0.10191	0.0763167	0.0294775
a12	0.0828371	0.094165	0.100724	0.159754	0.118692	0.0956977	0.076219	0.0661377	0.0677207	0.0661426	0.0504871	0.0214227
a96	0.0594512	0.0564551	0.0673919	0.120087	0.133581	0.123834	0.104813	0.0930997	0.105492	0.0689291	0.0458947	0.0209716
a94	0.0302965	0.0256275	0.0346552	0.0724065	0.13941	0.166056	0.145069	0.122837	0.106109	0.0606579	0.0582456	0.0386292
a62	0.018896	0.0168243	0.0220145	0.0424834	0.0977044	0.156866	0.168832	0.158824	0.125441	0.0608287	0.0654274	0.0658579
a96	0.0161712	0.0125562	0.0141708	0.0266494	0.0795993	0.130043	0.150039	0.165367	0.147423	0.0861526	0.0926922	0.0791363
a18	0.0130152	0.0107439	0.0107071	0.0166672	0.0506992	0.0814085	0.104443	0.119251	0.114708	0.109671	0.160574	0.208112
a90	0.0143479	0.0123181	0.0114884	0.0154932	0.0457608	0.0553294	0.0624165	0.0640509	0.0752854	0.119684	0.200887	0.322938
a15	0.00680625	0.00530971	0.00546568	0.00741673	0.0205364	0.0293847	0.0356488	0.0395932	0.0486072	0.100941	0.204991	0.495299
a79	0.0039077	0.00289315	0.00257428	0.00339386	0.00986668	0.0144202	0.0154124	0.0168275	0.0207682	0.0784163	0.219612	0.611907
a98	0.00283821	0.00192465	0.00143188	0.00195022	0.0072299	0.0121357	0.0121402	0.0112406	0.0107536	0.0897579	0.306116	0.542481
a85	0.00360856	0.00247573	0.00166482	0.00239297	0.00891705	0.0150855	0.0138194	0.0122703	0.0148003	0.11783	0.301611	0.505524
a5	0.0013157	0.000925192	0.000661688	0.00101105	0.00393848	0.00558474	0.00555531	0.0053909	0.00726522	0.0771972	0.336502	0.554653
a18	0.00466403	0.00340092	0.00220328	0.00277962	0.00572263	0.00684923	0.00686214	0.00628736	0.00873424	0.0514885	0.299367	0.601641
a75	0.00238676	0.00155586	0.0009539	0.00116183	0.00259519	0.00281253	0.00295851	0.00309276	0.00597366	0.033869	0.22313	0.71951
a5	0.00134207	0.000939808	0.000616201	0.000787226	0.00167009	0.00171764	0.00191724	0.00234321	0.0045704	0.0379314	0.280627	0.665538
a43	0.0025049	0.00166955	0.000900866	0.00097885	0.00231031	0.00250122	0.00259053	0.00257864	0.00444346	0.0177351	0.155213	0.806574
a36	0.00105024	0.000728156	0.000439213	0.000524552	0.00120568	0.00124163	0.0013689	0.00151315	0.00375199	0.0208695	0.166127	0.80118
a27	0.00241331	0.00168739	0.00138669	0.00189792	0.00307229	0.00294737	0.00521121	0.0080013	0.0261227	0.0651264	0.178078	0.704055
a57	0.0387737	0.0262513	0.0194097	0.0299208	0.0352643	0.0331101	0.0620772	0.0830994	0.0807133	0.080887	0.158049	0.352444
a99	0.202539	0.144831	0.101803	0.0713387	0.0631733	0.0692055	0.0911473	0.0927082	0.052062	0.022176	0.0286433	0.0603735
a87	0.155973	0.0930951	0.0523745	0.0325434	0.0300441	0.0304422	0.0403585	0.0453669	0.0325898	0.0442426	0.150304	0.292666
a23	0.179707	0.130099	0.101755	0.071904	0.0632953	0.0560026	0.0747507	0.0881769	0.0566996	0.0359379	0.0577914	0.08388
a87	0.0791678	0.047105	0.0311793	0.0251934	0.0317816	0.028041	0.033519	0.0451327	0.0385154	0.0553949	0.162864	0.422105
</S>	0.0244244	0.0155593	0.0117537	0.00973114	0.0105457	0.00898254	0.00944903	0.0130671	0.0148444	0.043332	0.174107	0.664204
