 	es-tu	devenu	législateur	de	cette	localité	</S>
a66	0.292361	0.385529	0.18182	0.0514566	0.0420636	0.0286744	0.0180957
a87	0.614311	0.274006	0.0339383	0.0227635	0.0178394	0.0163054	0.0208363
a23	0.644429	0.201746	0.0594364	0.0238233	0.0212126	0.0251191	0.0242333
a99	0.612124	0.211035	0.084698	0.0318128	0.0181991	0.0182872	0.0238433
a83	0.567461	0.255356	0.110881	0.0190822	0.012448	0.0140577	0.0207142
a93	0.499281	0.304433	0.161199	0.0155083	0.00671251	0.00613532	0.00673114
a44	0.355339	0.359745	0.24592	0.0230935	0.00665455	0.00499876	0.0042482
a34	0.237083	0.284257	0.364861	0.0660176	0.0206425	0.0138003	0.013338
a75	0.158828	0.215686	0.456892	0.115058	0.0284778	0.0126473	0.0124104
a92	0.101919	0.226631	0.404752	0.155974	0.0616171	0.0251055	0.0240012
a36	0.136744	0.238435	0.331916	0.156784	0.0711933	0.0341229	0.0308047
a75	0.117081	0.227468	0.360702	0.170414	0.0652617	0.0293178	0.0297557
a92	0.0421397	0.141264	0.297023	0.219438	0.138083	0.0905064	0.0715457
a37	0.0313981	0.121998	0.261165	0.203411	0.154699	0.122491	0.104837
a85	0.0320941	0.130417	0.24631	0.233954	0.146382	0.0978734	0.112969
a21	0.00616385	0.0376803	0.160072	0.250134	0.184313	0.177722	0.183914
a85	0.0138351	0.0567085	0.119095	0.166984	0.206084	0.213988	0.223306
a6	0.0035714	0.0138941	0.0699239	0.173216	0.215032	0.254939	0.269423
a36	0.00282059	0.0122623	0.0469038	0.110914	0.20472	0.332762	0.289618
a37	0.00130563	0.00352766	0.0154126	0.0715144	0.183085	0.363848	0.361306
a93	0.000438632	0.000709958	0.00227023	0.022125	0.109025	0.359388	0.506043
a12	0.000537109	0.00109708	0.00350269	0.0230263	0.0966592	0.347086	0.528091
a47	0.000151808	0.000351821	0.000973061	0.0082688	0.0621923	0.330278	0.597784
a62	0.000139766	0.000276169	0.000648437	0.00862611	0.0761518	0.367496	0.546662
a88	0.000141346	0.000322133	0.000671354	0.00938935	0.0828259	0.330984	0.575666
a66	0.000160686	0.000307243	0.000592715	0.00716493	0.0775069	0.335939	0.578328
a25	0.00111421	0.00183816	0.0036765	0.033672	0.160162	0.336612	0.462925
a3	0.0142929	0.00961288	0.0131978	0.0478526	0.154543	0.300846	0.459655
a97	0.136977	0.0457983	0.0274021	0.0640473	0.170783	0.257032	0.297961
a87	0.181458	0.0789501	0.0430087	0.0970566	0.170081	0.216334	0.213112
a23	0.144241	0.078891	0.049931	0.083355	0.135172	0.234908	0.273501
a99	0.0228849	0.0114805	0.00991607	0.0336285	0.0889914	0.271452	0.561646
</S>	0.0133857	0.00795903	0.015976	0.0498143	0.106389	0.274499	0.531976
