 	il	exalte	sa	bravoure	</S>
a66	0.602286	0.122817	0.0993063	0.105061	0.0705295
a79	0.394682	0.211201	0.196666	0.131218	0.0662335
a54	0.225944	0.340483	0.228479	0.102367	0.102728
a98	0.54997	0.182738	0.0926851	0.0817411	0.0928655
a85	0.559212	0.246226	0.0958012	0.0554779	0.0432837
a6	0.521983	0.293452	0.103176	0.0506048	0.0307842
a75	0.428011	0.3103	0.120669	0.0779044	0.0631151
a12	0.342268	0.225387	0.141089	0.146649	0.144607
a31	0.40702	0.187617	0.116954	0.101392	0.187018
a88	0.276614	0.204459	0.195917	0.141704	0.181306
a93	0.0718303	0.11804	0.170935	0.184618	0.454576
a90	0.0450514	0.0832744	0.153429	0.185311	0.532934
a15	0.00768928	0.0273608	0.0930788	0.209278	0.662593
a20	0.00148535	0.00903976	0.0449847	0.148205	0.796285
a7	0.00407224	0.0152237	0.0558252	0.153063	0.771816
a84	0.00523198	0.024902	0.0793636	0.189317	0.701186
a82	0.250437	0.160825	0.12129	0.15282	0.314628
a87	0.490841	0.22482	0.146647	0.0856748	0.052017
a23	0.517712	0.236587	0.134437	0.0780152	0.0332492
a99	0.0692714	0.121368	0.288813	0.306026	0.214521
a87	0.0354211	0.0965534	0.20214	0.273821	0.392064
a57	0.0105911	0.042318	0.151067	0.284957	0.511066
</S>	0.0484243	0.125047	0.218388	0.249979	0.358161
