 	il	mit	la	tête	en	bas	</S>
a23	0.360259	0.138457	0.0934814	0.0845105	0.0966328	0.115464	0.111194
a87	0.433847	0.149973	0.116764	0.0837098	0.0736933	0.0719147	0.0700981
a23	0.431454	0.163052	0.112261	0.0764341	0.0666568	0.0729715	0.0771701
a20	0.345968	0.135307	0.0907947	0.0828202	0.0823172	0.120815	0.141978
a84	0.373461	0.160291	0.117651	0.0962414	0.0841104	0.0873901	0.0808551
a54	0.36451	0.247275	0.168113	0.0785255	0.0580628	0.0444093	0.0391043
a73	0.330584	0.233493	0.1587	0.0894532	0.0757568	0.0588328	0.0531798
a94	0.361985	0.229207	0.14671	0.080727	0.0708914	0.0559306	0.0545486
a71	0.294612	0.214832	0.158553	0.101232	0.091231	0.0710854	0.0684545
a53	0.219752	0.19021	0.148154	0.110488	0.113019	0.103641	0.114736
a90	0.203242	0.177689	0.136142	0.110001	0.122693	0.119526	0.130707
a38	0.159582	0.1278	0.117176	0.123013	0.146856	0.153198	0.172376
a32	0.0627845	0.0544263	0.0692063	0.116946	0.175996	0.229809	0.290832
a62	0.0521449	0.0421017	0.0471357	0.0853905	0.155036	0.241983	0.376208
a98	0.0264817	0.0233519	0.0296116	0.067833	0.143698	0.268548	0.440475
a9	0.0151535	0.0142434	0.0200372	0.0590571	0.139491	0.280569	0.471449
a87	0.0122844	0.0117326	0.0116626	0.0323607	0.0852575	0.242077	0.604625
</S>	0.0171162	0.0159243	0.0231055	0.0563589	0.112158	0.248875	0.526462
