 	la	lune	est	apparue	</S>
a66	0.304319	0.409976	0.203911	0.0604689	0.0213257
a10	0.265011	0.356403	0.281723	0.0892003	0.00766161
a87	0.411881	0.383552	0.169105	0.0285815	0.00687926
a23	0.338024	0.365972	0.262002	0.0264618	0.00754021
a87	0.345178	0.350603	0.270323	0.0245811	0.00931546
a23	0.378147	0.352955	0.237401	0.0212162	0.0102814
a10	0.331135	0.377021	0.244854	0.0325657	0.0144244
a62	0.309	0.333189	0.261341	0.0825977	0.0138721
a12	0.227638	0.26689	0.32614	0.162039	0.0172928
a18	0.124154	0.156834	0.35375	0.333055	0.0322079
a61	0.0694689	0.0868265	0.278548	0.50229	0.062867
a12	0.0580323	0.0876952	0.238014	0.533222	0.0830368
a18	0.0514531	0.0798284	0.123159	0.556284	0.189276
a85	0.00788704	0.0145208	0.0293619	0.625342	0.322889
a37	0.00570767	0.00916086	0.0139048	0.372172	0.599055
a61	0.00715971	0.0082953	0.0147546	0.265702	0.704089
a88	0.00392942	0.00429829	0.0102506	0.186881	0.79464
a38	0.00303712	0.00235837	0.00642005	0.152706	0.835478
a21	0.0115043	0.0143502	0.0279992	0.195005	0.751142
a12	0.00259499	0.00362994	0.0085472	0.0607433	0.924484
a18	0.00370012	0.00439667	0.011512	0.0958975	0.884494
a25	0.00760022	0.0110787	0.0238898	0.214823	0.742608
a87	0.0168402	0.0180447	0.0256965	0.178212	0.761206
a23	0.269191	0.151312	0.0625673	0.140017	0.376913
a87	0.183556	0.131866	0.129736	0.188026	0.366817
a23	0.0659117	0.0386938	0.0431671	0.188562	0.663665
a87	0.101003	0.0773785	0.12791	0.171255	0.522454
</S>	0.0122758	0.0126185	0.0378351	0.119767	0.817503
