 	ce	vêtement	te	va	très	bien	</S>
a10	0.359799	0.240254	0.202428	0.0925703	0.0446354	0.0329891	0.0273241
a87	0.285274	0.187278	0.162901	0.136464	0.081318	0.0712895	0.075475
a23	0.392269	0.238449	0.0991945	0.0664869	0.0516667	0.0638737	0.0880598
a79	0.29794	0.245117	0.15659	0.0847501	0.0593318	0.0700848	0.0861865
a90	0.405159	0.308046	0.155633	0.0641245	0.0301935	0.0193357	0.0175092
a57	0.383604	0.337677	0.168986	0.0706077	0.022803	0.00932094	0.00700168
a40	0.282071	0.310072	0.177656	0.09294	0.0515825	0.0400211	0.0456571
a75	0.243239	0.31477	0.225693	0.117956	0.0528479	0.024735	0.0207594
a30	0.215452	0.269132	0.226282	0.143495	0.0724236	0.0410704	0.0321457
a35	0.238596	0.311338	0.222602	0.120592	0.0536349	0.028997	0.0242403
a66	0.23638	0.316795	0.212953	0.112364	0.0534451	0.0354931	0.0325696
a75	0.20615	0.295288	0.201025	0.137338	0.0704591	0.0436883	0.0460509
a30	0.168749	0.253392	0.198407	0.144459	0.0918936	0.0709821	0.0721163
a35	0.186789	0.241632	0.198269	0.145679	0.0867364	0.0683388	0.0725552
a94	0.116397	0.199133	0.184673	0.171485	0.123206	0.0976697	0.107436
a35	0.0885793	0.176966	0.19482	0.188043	0.134814	0.103798	0.11298
a76	0.0645962	0.120506	0.149877	0.172323	0.163626	0.154813	0.174259
a94	0.0752065	0.110519	0.109366	0.122207	0.155119	0.191496	0.236085
a57	0.036782	0.0584394	0.0665854	0.0914796	0.144327	0.2624	0.339987
a53	0.0125854	0.026473	0.0335482	0.0514051	0.136522	0.306974	0.432492
a20	0.0347389	0.0459058	0.0453104	0.0531676	0.0999944	0.270834	0.450049
a14	0.0284259	0.0376452	0.0406915	0.0537443	0.094201	0.279885	0.465407
a35	0.0140552	0.0210729	0.0304229	0.0555969	0.103806	0.305451	0.469595
a14	0.0108328	0.0118997	0.0145323	0.0314781	0.070483	0.286363	0.574411
a35	0.0111052	0.0126818	0.01992	0.0446786	0.0985658	0.305435	0.507614
a76	0.00513741	0.0054627	0.00752794	0.018983	0.0535212	0.264007	0.64536
a90	0.0127316	0.0139329	0.0226799	0.0502428	0.102301	0.284787	0.513325
a57	0.0137603	0.0139787	0.0175139	0.0338763	0.0703022	0.257936	0.592632
a38	0.0185504	0.0199697	0.020783	0.032102	0.0619938	0.220436	0.626165
a75	0.00991642	0.0131893	0.013834	0.0212954	0.0468736	0.217871	0.67702
a41	0.00920755	0.0106032	0.0126347	0.0235765	0.0440677	0.221079	0.678832
a14	0.0105438	0.0100549	0.0105546	0.0197643	0.0431054	0.2211	0.684877
a76	0.0230454	0.0188218	0.0174463	0.0311365	0.071582	0.260704	0.577264
a73	0.0182065	0.0161166	0.0224472	0.0419381	0.0915018	0.264505	0.545285
a35	0.0140475	0.0143526	0.0197221	0.0358841	0.0682231	0.241666	0.606104
a41	0.0169534	0.0203953	0.0210548	0.0266845	0.0478732	0.214431	0.652607
a35	0.0235157	0.0237696	0.0222074	0.0261344	0.0513574	0.223335	0.62968
a66	0.0173864	0.0158904	0.0163632	0.0210957	0.0432572	0.212613	0.673394
a83	0.0192151	0.0303368	0.04708	0.0565652	0.0693492	0.206485	0.570969
a9	0.0154716	0.0272213	0.0454406	0.060588	0.0751731	0.222308	0.553797
a87	0.0318136	0.0600097	0.0702857	0.0636352	0.0778468	0.208656	0.487753
a23	0.0341016	0.0529557	0.0521017	0.0488105	0.0755465	0.241116	0.495368
a87	0.0726171	0.0960538	0.0724451	0.0637288	0.0879599	0.219217	0.387978
</S>	0.0440924	0.0473625	0.0463873	0.0712192	0.122763	0.256616	0.41156
