 	il	se	prosterne	devant	le	chef	</S>
a23	0.324237	0.252884	0.183306	0.0491451	0.036555	0.0693278	0.0845458
a54	0.207284	0.12829	0.138419	0.0998359	0.114264	0.145633	0.166274
a47	0.255514	0.220419	0.201365	0.132931	0.0648421	0.0586616	0.0662669
a36	0.313233	0.203355	0.238452	0.118889	0.0542982	0.0364124	0.0353612
a7	0.331871	0.229347	0.19725	0.110356	0.0489819	0.0396336	0.0425615
a44	0.265467	0.223482	0.137439	0.120305	0.0854174	0.0835597	0.0843306
a70	0.191428	0.170211	0.118048	0.147454	0.123719	0.120968	0.128173
a44	0.14221	0.134362	0.0906809	0.162848	0.157748	0.149372	0.162779
a96	0.124674	0.120827	0.0730019	0.140717	0.163412	0.18147	0.195898
a34	0.0908326	0.08921	0.0523477	0.109381	0.170985	0.235402	0.251842
a70	0.0571898	0.0631117	0.0462759	0.115131	0.206299	0.273594	0.238399
a44	0.0301739	0.0316739	0.026487	0.0722064	0.15467	0.31851	0.366279
a70	0.0180117	0.0185259	0.0169741	0.0478106	0.126811	0.332908	0.438958
a96	0.00744209	0.00556576	0.00593856	0.0130696	0.0571606	0.302837	0.607986
a66	0.00498878	0.00386928	0.00593205	0.0175002	0.0584333	0.273026	0.63625
a38	0.0114858	0.0114836	0.016729	0.0284961	0.055055	0.211803	0.664948
a9	0.0210912	0.0217174	0.0240258	0.0437841	0.0784695	0.234053	0.576859
a82	0.099902	0.0845901	0.0508643	0.0554808	0.0693272	0.18551	0.454326
a87	0.239365	0.165811	0.0724528	0.0513701	0.0564612	0.12674	0.2878
a97	0.256457	0.198813	0.0973046	0.0506096	0.0526682	0.123907	0.220241
a87	0.157559	0.121255	0.0727389	0.0502848	0.0662052	0.189528	0.342429
a23	0.151183	0.118944	0.0752584	0.0456896	0.0672623	0.195068	0.346595
a87	0.236766	0.18932	0.0916749	0.0512272	0.0639359	0.128826	0.23825
a23	0.130818	0.117697	0.0840793	0.0578155	0.089113	0.192845	0.327632
a87	0.240951	0.196336	0.122386	0.0570911	0.0660029	0.123317	0.193916
</S>	0.186242	0.158722	0.110427	0.0686821	0.0972449	0.162949	0.215733
