 	nous	sommes	sur	le	point	de	partir	</S>
a23	0.389534	0.342725	0.0938723	0.0424188	0.0225126	0.0277843	0.0358661	0.0452872
a50	0.445695	0.3182	0.104846	0.0618835	0.0182098	0.0161835	0.0180394	0.0169434
a0	0.483899	0.294685	0.129681	0.0357128	0.0122326	0.0123164	0.0149559	0.0165169
a61	0.372584	0.268424	0.198461	0.0745871	0.0234694	0.0247251	0.0198643	0.0178855
a21	0.361984	0.339277	0.208474	0.0577138	0.0112841	0.00941023	0.00620302	0.00565412
a61	0.346404	0.264401	0.184583	0.0918834	0.0331567	0.0309049	0.0262303	0.0224368
a21	0.106472	0.0913019	0.13729	0.143978	0.129018	0.153552	0.129668	0.10872
a5	0.16911	0.11057	0.113312	0.104592	0.101667	0.140498	0.140247	0.120003
a18	0.0546674	0.0399816	0.0531024	0.0630223	0.104344	0.216517	0.250737	0.217628
a11	0.00268251	0.00193886	0.0029918	0.00575233	0.0380356	0.153333	0.352727	0.442539
a75	0.00121182	0.000822968	0.0012405	0.00252215	0.0176783	0.0933759	0.342475	0.540674
a54	0.0017888	0.00143483	0.00241883	0.00468623	0.0271176	0.0992881	0.340613	0.522653
a7	0.00118749	0.000958138	0.00191433	0.00501276	0.0297494	0.0917728	0.304406	0.564999
a84	0.00127695	0.000803838	0.00140889	0.00398236	0.0195363	0.0520105	0.28484	0.636141
a57	0.0134358	0.00661445	0.00508684	0.00854169	0.0211518	0.0601441	0.259732	0.625293
a87	0.0604048	0.0336487	0.0239251	0.0324732	0.0590825	0.135195	0.286892	0.368378
a10	0.0497578	0.0368874	0.0316402	0.0319956	0.0537426	0.134527	0.297308	0.364141
a87	0.0295128	0.0206148	0.0180073	0.0202066	0.0440566	0.154103	0.340695	0.372804
a10	0.0591301	0.0348679	0.0255077	0.0279085	0.0557992	0.155841	0.30822	0.332726
a87	0.0285024	0.01667	0.0138816	0.0181652	0.0467907	0.151748	0.335735	0.388507
</S>	0.0259142	0.0150288	0.0137588	0.0207962	0.0575223	0.166726	0.334231	0.366022
